Background characteristics,Category,Gender,variable,value
Type of violence experienced,Sexual only,Female,"Know where or from whom to seek help if
ever experienced violence",95.9
Type of violence experienced,Both physical and sexual,Female,"Know where or from whom to seek help if
ever experienced violence",94.5
Age,15-19,Female,"Know where or from whom to seek help if
ever experienced violence",96.9
Age,20-24,Female,"Know where or from whom to seek help if
ever experienced violence",94.4
Age,25-29,Female,"Know where or from whom to seek help if
ever experienced violence",93.1
Age,30-39,Female,"Know where or from whom to seek help if
ever experienced violence",95.5
Age,40-49,Female,"Know where or from whom to seek help if
ever experienced violence",96
Residence,Urban,Female,"Know where or from whom to seek help if
ever experienced violence",93.6
Residence,Rural,Female,"Know where or from whom to seek help if
ever experienced violence",96.5
Marital status,Never married,Female,"Know where or from whom to seek help if
ever experienced violence",95.6
Marital status,Never ever had intimate partner,Female,"Know where or from whom to seek help if
ever experienced violence",100
Marital status,Ever had intimate partner,Female,"Know where or from whom to seek help if
ever experienced violence",94
Marital status,Ever married,Female,"Know where or from whom to seek help if
ever experienced violence",94.8
Marital status,Married/living together,Female,"Know where or from whom to seek help if
ever experienced violence",94.8
Marital status,Divorced/separated/widowed,Female,"Know where or from whom to seek help if
ever experienced violence",94.6
Employment,Employed for cash,Female,"Know where or from whom to seek help if
ever experienced violence",94
Employment,Employed not for cash,Female,"Know where or from whom to seek help if
ever experienced violence",97.8
Employment,Not employed,Female,"Know where or from whom to seek help if
ever experienced violence",96.5
Education,Primary,Female,"Know where or from whom to seek help if
ever experienced violence",93.4
Education,Secondary,Female,"Know where or from whom to seek help if
ever experienced violence",96.5
Education,More than secondary,Female,"Know where or from whom to seek help if
ever experienced violence",95.1
Wealth quintile,Lowest,Female,"Know where or from whom to seek help if
ever experienced violence",93.7
Wealth quintile,Second,Female,"Know where or from whom to seek help if
ever experienced violence",97.8
Wealth quintile,Middle,Female,"Know where or from whom to seek help if
ever experienced violence",99.8
Wealth quintile,Fourth,Female,"Know where or from whom to seek help if
ever experienced violence",89.5
Wealth quintile,Highest,Female,"Know where or from whom to seek help if
ever experienced violence",96.9
