Background characteristics,Category,variable,value
Age,15-19,<5,2.9
Age,20-24,<5,5.3
Age,25-29,<5,1.5
Age,30-34,<5,1.1
Age,35-39,<5,2
Age,40-44,<5,2.2
Age,45-49,<5,2.9
Residence,Urban,<5,5.3
Residence,Rural,<5,1.4
Wealth quintile,Lowest,<5,0.7
Wealth quintile,Second,<5,1.5
Wealth quintile,Middle,<5,2.1
Wealth quintile,Fourth,<5,1.3
Wealth quintile,Highest,<5,11.2
Age,15-19,5-9,45.6
Age,20-24,5-9,37.8
Age,25-29,5-9,37
Age,30-34,5-9,31.5
Age,35-39,5-9,24.1
Age,40-44,5-9,17.8
Age,45-49,5-9,18
Residence,Urban,5-9,41.3
Residence,Rural,5-9,25.4
Wealth quintile,Lowest,5-9,29.8
Wealth quintile,Second,5-9,24.9
Wealth quintile,Middle,5-9,28.3
Wealth quintile,Fourth,5-9,34.1
Wealth quintile,Highest,5-9,33.3
Age,15-19,10-14,39.1
Age,20-24,10-14,40.4
Age,25-29,10-14,43.7
Age,30-34,10-14,45.3
Age,35-39,10-14,47.3
Age,40-44,10-14,50.7
Age,45-49,10-14,44.5
Residence,Urban,10-14,42.6
Residence,Rural,10-14,45.6
Wealth quintile,Lowest,10-14,41.7
Wealth quintile,Second,10-14,48
Wealth quintile,Middle,10-14,45.2
Wealth quintile,Fourth,10-14,47.2
Wealth quintile,Highest,10-14,44.2
Age,15-19,15>,11.7
Age,20-24,15>,14.8
Age,25-29,15>,16.4
Age,30-34,15>,19.6
Age,35-39,15>,24.6
Age,40-44,15>,28.1
Age,45-49,15>,33.1
Residence,Urban,15>,8.5
Residence,Rural,15>,26.2
Wealth quintile,Lowest,15>,25.8
Wealth quintile,Second,15>,24.8
Wealth quintile,Middle,15>,22.7
Wealth quintile,Fourth,15>,15.1
Wealth quintile,Highest,15>,10.4
Age,15-19,Don't know,0.6
Age,20-24,Don't know,1.7
Age,25-29,Don't know,1.4
Age,30-34,Don't know,2.5
Age,35-39,Don't know,2
Age,40-44,Don't know,1.2
Age,45-49,Don't know,1.5
Residence,Urban,Don't know,2.3
Residence,Rural,Don't know,1.4
Wealth quintile,Lowest,Don't know,2
Wealth quintile,Second,Don't know,0.9
Wealth quintile,Middle,Don't know,1.7
Wealth quintile,Fourth,Don't know,2.2
Wealth quintile,Highest,Don't know,0.9
