Characteristic of circumcision,Category,variable,value
Person who performed the circumcision,Traditional agent,0-4,NA
Person who performed the circumcision,Traditional circumciser,0-4,NA
Person who performed the circumcision,Traditional birth attendant,0-4,NA
Person who performed the circumcision,Other traditional agent,0-4,NA
Person who performed the circumcision,Medical professional,0-4,NA
Person who performed the circumcision,Doctor,0-4,NA
Person who performed the circumcision,Nurse/midwife,0-4,NA
Person who performed the circumcision,Don't know,0-4,NA
Type of circumcision,Sewn closed,0-4,NA
Type of circumcision,Not sewn closed,0-4,NA
Type of circumcision,Don't know,0-4,NA
Person who performed the circumcision,Traditional agent,9-May,92.8
Person who performed the circumcision,Traditional circumciser,9-May,92.8
Person who performed the circumcision,Traditional birth attendant,9-May,0
Person who performed the circumcision,Other traditional agent,9-May,0
Person who performed the circumcision,Medical professional,9-May,7.2
Person who performed the circumcision,Doctor,9-May,2
Person who performed the circumcision,Nurse/midwife,9-May,5.2
Person who performed the circumcision,Don't know,9-May,0
Type of circumcision,Sewn closed,9-May,6.4
Type of circumcision,Not sewn closed,9-May,93.6
Type of circumcision,Don't know,9-May,0
Person who performed the circumcision,Traditional agent,14-Oct,84.1
Person who performed the circumcision,Traditional circumciser,14-Oct,83.8
Person who performed the circumcision,Traditional birth attendant,14-Oct,0.3
Person who performed the circumcision,Other traditional agent,14-Oct,0
Person who performed the circumcision,Medical professional,14-Oct,15.9
Person who performed the circumcision,Doctor,14-Oct,1.2
Person who performed the circumcision,Nurse/midwife,14-Oct,14.6
Person who performed the circumcision,Don't know,14-Oct,0
Type of circumcision,Sewn closed,14-Oct,9.6
Type of circumcision,Not sewn closed,14-Oct,89.9
Type of circumcision,Don't know,14-Oct,0.5
