Age,variable,value
<1,Girls age 0-14 percent circumcised,0
1,Girls age 0-14 percent circumcised,0
2,Girls age 0-14 percent circumcised,0
3,Girls age 0-14 percent circumcised,0
4,Girls age 0-14 percent circumcised,0.2
5,Girls age 0-14 percent circumcised,0.1
6,Girls age 0-14 percent circumcised,0.6
7,Girls age 0-14 percent circumcised,1.2
8,Girls age 0-14 percent circumcised,2.1
9,Girls age 0-14 percent circumcised,2.6
10,Girls age 0-14 percent circumcised,3.5
11,Girls age 0-14 percent circumcised,3
12,Girls age 0-14 percent circumcised,3.6
13,Girls age 0-14 percent circumcised,3.9
14,Girls age 0-14 percent circumcised,4.7
NA,Girls age 0-14 percent circumcised,NA
>14,Girls age 0-14 percent circumcised,NA
<1,Women age 15-49 percent circumcised by exact age,NA
1,Women age 15-49 percent circumcised by exact age,NA
2,Women age 15-49 percent circumcised by exact age,NA
3,Women age 15-49 percent circumcised by exact age,NA
4,Women age 15-49 percent circumcised by exact age,NA
5,Women age 15-49 percent circumcised by exact age,0.4
6,Women age 15-49 percent circumcised by exact age,0.6
7,Women age 15-49 percent circumcised by exact age,1.1
8,Women age 15-49 percent circumcised by exact age,2.1
9,Women age 15-49 percent circumcised by exact age,3.8
10,Women age 15-49 percent circumcised by exact age,4.8
11,Women age 15-49 percent circumcised by exact age,7.3
12,Women age 15-49 percent circumcised by exact age,7.9
13,Women age 15-49 percent circumcised by exact age,9.4
14,Women age 15-49 percent circumcised by exact age,10.4
NA,Women age 15-49 percent circumcised by exact age,NA
>14,Women age 15-49 percent circumcised by exact age,14.6
