County,weighted_perc,weighted_no,unweighted_no
Mombasa,3.2,442,372
Kwale,1.5,209,320
Kilifi,3.0,405,319
Tana River,0.5,64,293
Lamu,0.3,41,253
Taita Taveta,0.8,103,192
Garissa,0.9,117,282
Wajir,0.5,63,314
Mandera,0.6,81,293
Marsabit,0.3,45,192
Isiolo,0.4,55,253
Meru,3.6,489,305
Tharaka Nithi,1.0,137,279
Embu,1.3,176,280
Kitui,2.3,312,296
Machakos,3.5,480,354
Makueni,2.0,279,308
Nyandarua,1.2,168,255
Nyeri,1.7,235,267
Kirinyaga,1.4,191,254
Muranga,2.2,297,253
Kiambu,6.7,911,267
Turkana,0.8,111,225
West Pokot,1.1,150,288
Samburu,0.4,51,182
Trans Nzoia,2.0,272,308
Uasin Gishu,3.3,451,342
Elgeyo Marakwet,0.8,110,296
Nandi,1.9,265,334
Baringo,1.2,165,300
Laikipia,1.1,145,243
Nakuru,4.9,670,327
Narok,2.3,313,320
Kajiado,2.5,339,228
Kericho,2.4,330,368
Bomet,2.0,268,353
Kakamega,3.9,532,341
Vihiga,1.1,156,290
Bungoma,3.3,448,328
Busia,1.9,262,296
Siaya,1.7,227,282
Kisumu,2.5,345,356
Homa Bay,1.9,258,263
Migori,1.8,246,296
Kisii,2.4,326,300
Nyamira,1.0,133,246
Nairobi,13.0,"1,777",356
