County,Category,Proportion,Names
Mombasa,Children whose births are registered,90.6,"Mombasa, 90.6%"
Mombasa,Children with birth certs,46.3,"Mombasa, 46.3%"
Mombasa,Children without birth certs,44.3,"Mombasa, 44.3%"
Kwale,Children whose births are registered,75.1,"Kwale, 75.1%"
Kwale,Children with birth certs,20.9,"Kwale, 20.9%"
Kwale,Children without birth certs,54.1,"Kwale, 54.1%"
Kilifi,Children whose births are registered,81.3,"Kilifi, 81.3%"
Kilifi,Children with birth certs,23.3,"Kilifi, 23.3%"
Kilifi,Children without birth certs,58,"Kilifi, 58%"
Tana River,Children whose births are registered,57.8,"Tana River, 57.8%"
Tana River,Children with birth certs,18.7,"Tana River, 18.7%"
Tana River,Children without birth certs,39.2,"Tana River, 39.2%"
Lamu,Children whose births are registered,80.8,"Lamu, 80.8%"
Lamu,Children with birth certs,48.8,"Lamu, 48.8%"
Lamu,Children without birth certs,32,"Lamu, 32%"
Taita Taveta,Children whose births are registered,90,"Taita Taveta, 90%"
Taita Taveta,Children with birth certs,45,"Taita Taveta, 45%"
Taita Taveta,Children without birth certs,45,"Taita Taveta, 45%"
Garissa,Children whose births are registered,65.2,"Garissa, 65.2%"
Garissa,Children with birth certs,46.2,"Garissa, 46.2%"
Garissa,Children without birth certs,18.9,"Garissa, 18.9%"
Wajir,Children whose births are registered,49.6,"Wajir, 49.6%"
Wajir,Children with birth certs,34.2,"Wajir, 34.2%"
Wajir,Children without birth certs,15.4,"Wajir, 15.4%"
Mandera,Children whose births are registered,53.6,"Mandera, 53.6%"
Mandera,Children with birth certs,34,"Mandera, 34%"
Mandera,Children without birth certs,19.6,"Mandera, 19.6%"
Marsabit,Children whose births are registered,52.3,"Marsabit, 52.3%"
Marsabit,Children with birth certs,31.2,"Marsabit, 31.2%"
Marsabit,Children without birth certs,21,"Marsabit, 21%"
Isiolo,Children whose births are registered,56.4,"Isiolo, 56.4%"
Isiolo,Children with birth certs,33.8,"Isiolo, 33.8%"
Isiolo,Children without birth certs,22.6,"Isiolo, 22.6%"
Meru,Children whose births are registered,85.6,"Meru, 85.6%"
Meru,Children with birth certs,21,"Meru, 21%"
Meru,Children without birth certs,64.6,"Meru, 64.6%"
Tharaka Nithi,Children whose births are registered,93.2,"Tharaka Nithi, 93.2%"
Tharaka Nithi,Children with birth certs,41.8,"Tharaka Nithi, 41.8%"
Tharaka Nithi,Children without birth certs,51.4,"Tharaka Nithi, 51.4%"
Embu,Children whose births are registered,94.2,"Embu, 94.2%"
Embu,Children with birth certs,46.7,"Embu, 46.7%"
Embu,Children without birth certs,47.6,"Embu, 47.6%"
Kitui,Children whose births are registered,88.6,"Kitui, 88.6%"
Kitui,Children with birth certs,32.8,"Kitui, 32.8%"
Kitui,Children without birth certs,55.7,"Kitui, 55.7%"
Machakos,Children whose births are registered,93.4,"Machakos, 93.4%"
Machakos,Children with birth certs,35.1,"Machakos, 35.1%"
Machakos,Children without birth certs,58.3,"Machakos, 58.3%"
Makueni,Children whose births are registered,70.5,"Makueni, 70.5%"
Makueni,Children with birth certs,24,"Makueni, 24%"
Makueni,Children without birth certs,46.5,"Makueni, 46.5%"
Nyandarua,Children whose births are registered,90.6,"Nyandarua, 90.6%"
Nyandarua,Children with birth certs,51.8,"Nyandarua, 51.8%"
Nyandarua,Children without birth certs,38.7,"Nyandarua, 38.7%"
Nyeri,Children whose births are registered,96.2,"Nyeri, 96.2%"
Nyeri,Children with birth certs,58.2,"Nyeri, 58.2%"
Nyeri,Children without birth certs,38.1,"Nyeri, 38.1%"
Kirinyaga,Children whose births are registered,87.1,"Kirinyaga, 87.1%"
Kirinyaga,Children with birth certs,50,"Kirinyaga, 50%"
Kirinyaga,Children without birth certs,37.1,"Kirinyaga, 37.1%"
Muranga,Children whose births are registered,87.2,"Muranga, 87.2%"
Muranga,Children with birth certs,39.5,"Muranga, 39.5%"
Muranga,Children without birth certs,47.7,"Muranga, 47.7%"
Kiambu,Children whose births are registered,92.9,"Kiambu, 92.9%"
Kiambu,Children with birth certs,46.7,"Kiambu, 46.7%"
Kiambu,Children without birth certs,46.2,"Kiambu, 46.2%"
Turkana,Children whose births are registered,56.7,"Turkana, 56.7%"
Turkana,Children with birth certs,8.1,"Turkana, 8.1%"
Turkana,Children without birth certs,48.6,"Turkana, 48.6%"
West Pokot,Children whose births are registered,75.2,"West Pokot, 75.2%"
West Pokot,Children with birth certs,10.6,"West Pokot, 10.6%"
West Pokot,Children without birth certs,64.6,"West Pokot, 64.6%"
Samburu,Children whose births are registered,76.3,"Samburu, 76.3%"
Samburu,Children with birth certs,17,"Samburu, 17%"
Samburu,Children without birth certs,59.3,"Samburu, 59.3%"
Trans Nzoia,Children whose births are registered,74.6,"Trans Nzoia, 74.6%"
Trans Nzoia,Children with birth certs,25.1,"Trans Nzoia, 25.1%"
Trans Nzoia,Children without birth certs,49.5,"Trans Nzoia, 49.5%"
Uasin Gishu,Children whose births are registered,86.8,"Uasin Gishu, 86.8%"
Uasin Gishu,Children with birth certs,43.3,"Uasin Gishu, 43.3%"
Uasin Gishu,Children without birth certs,43.5,"Uasin Gishu, 43.5%"
Elgeyo Marakwet,Children whose births are registered,75.3,"Elgeyo Marakwet, 75.3%"
Elgeyo Marakwet,Children with birth certs,30.4,"Elgeyo Marakwet, 30.4%"
Elgeyo Marakwet,Children without birth certs,44.9,"Elgeyo Marakwet, 44.9%"
Nandi,Children whose births are registered,68.7,"Nandi, 68.7%"
Nandi,Children with birth certs,29.2,"Nandi, 29.2%"
Nandi,Children without birth certs,39.5,"Nandi, 39.5%"
Baringo,Children whose births are registered,60.3,"Baringo, 60.3%"
Baringo,Children with birth certs,26.7,"Baringo, 26.7%"
Baringo,Children without birth certs,33.6,"Baringo, 33.6%"
Laikipia,Children whose births are registered,80.4,"Laikipia, 80.4%"
Laikipia,Children with birth certs,48,"Laikipia, 48%"
Laikipia,Children without birth certs,32.4,"Laikipia, 32.4%"
Nakuru,Children whose births are registered,57.3,"Nakuru, 57.3%"
Nakuru,Children with birth certs,39.6,"Nakuru, 39.6%"
Nakuru,Children without birth certs,17.7,"Nakuru, 17.7%"
Narok,Children whose births are registered,74,"Narok, 74%"
Narok,Children with birth certs,22.3,"Narok, 22.3%"
Narok,Children without birth certs,51.6,"Narok, 51.6%"
Kajiado,Children whose births are registered,81,"Kajiado, 81%"
Kajiado,Children with birth certs,31,"Kajiado, 31%"
Kajiado,Children without birth certs,50,"Kajiado, 50%"
Kericho,Children whose births are registered,64.2,"Kericho, 64.2%"
