"","Value","Category","Proportion","Participants","Characteristics"
"1","In the house","Urban",85,"Household","Cooking place"
"2","In the house","Rural",26,"Household","Cooking place"
"3","Separate room/kitchen","Urban",32,"Household","Cooking place"
"4","Separate room/kitchen","Rural",11,"Household","Cooking place"
"5","No separate room/kitchen","Urban",53,"Household","Cooking place"
"6","No separate room/kitchen","Rural",15,"Household","Cooking place"
"7","In a separate building","Urban",8,"Household","Cooking place"
"8","In a separate building","Rural",63,"Household","Cooking place"
"9","Outdoors","Urban",6,"Household","Cooking place"
"10","Outdoors","Rural",10,"Household","Cooking place"
"11","No food cooked in household","Urban",2,"Household","Cooking place"
"12","No food cooked in household","Rural",1,"Household","Cooking place"
"13","Clean fuels and technologies","Urban",63,"Household","Cooking technology"
"14","Clean fuels and technologies","Rural",10,"Household","Cooking technology"
"15","Electric stove","Urban",0.4,"Household","Cooking technology"
"16","Electric stove","Rural",0.1,"Household","Cooking technology"
"17","LPG/natural gas stove","Urban",60,"Household","Cooking technology"
"18","LPG/natural gas stove","Rural",9,"Household","Cooking technology"
"19","Piped natural gas stove","Urban",2,"Household","Cooking technology"
"20","Piped natural gas stove","Rural",0.4,"Household","Cooking technology"
"21","Biogas stove","Urban",0.3,"Household","Cooking technology"
"22","Biogas stove","Rural",0.2,"Household","Cooking technology"
"23","Liquid fuel stove using alcohol/ethanol","Urban",1,"Household","Cooking technology"
"24","Liquid fuel stove using alcohol/ethanol","Rural",0,"Household","Cooking technology"
"25","Liquid fuel stove not using alcohol/ethanol","Urban",8,"Household","Cooking technology"
"26","Liquid fuel stove not using alcohol/ethanol","Rural",1,"Household","Cooking technology"
"27","Manufactured solid fuel stove","Urban",17,"Household","Cooking technology"
"28","Manufactured solid fuel stove","Rural",7,"Household","Cooking technology"
"29","With a chimney","Urban",2,"Household","Cooking technology"
"30","With a chimney","Rural",1,"Household","Cooking technology"
"31","Without a chimney","Urban",14,"Household","Cooking technology"
"32","Without a chimney","Rural",6,"Household","Cooking technology"
"33","Traditional solid fuel stove","Urban",1,"Household","Cooking technology"
"34","Traditional solid fuel stove","Rural",5,"Household","Cooking technology"
"35","With a chimney","Urban",0.2,"Household","Cooking technology"
"36","With a chimney","Rural",2,"Household","Cooking technology"
"37","Without a chimney","Urban",0.5,"Household","Cooking technology"
"38","Without a chimney","Rural",3,"Household","Cooking technology"
"39","Three stone stove/open fire","Urban",9,"Household","Cooking technology"
"40","Three stone stove/open fire","Rural",76,"Household","Cooking technology"
"41","No food cooked in household","Urban",2,"Household","Cooking technology"
"42","No food cooked in household","Rural",1,"Household","Cooking technology"
"43","Clean fuels and technologies","Urban",63,"Household","Cooking fuel"
"44","Clean fuels and technologies","Rural",10,"Household","Cooking fuel"
"45","Solid fuels for cooking","Urban",26,"Household","Cooking fuel"
"46","Solid fuels for cooking","Rural",88,"Household","Cooking fuel"
"47","Charcoal","Urban",17,"Household","Cooking fuel"
"48","Charcoal","Rural",8,"Household","Cooking fuel"
"49","Wood","Urban",9,"Household","Cooking fuel"
"50","Wood","Rural",80,"Household","Cooking fuel"
"51","Straw/shrubs/grass","Urban",0.1,"Household","Cooking fuel"
"52","Straw/shrubs/grass","Rural",0.3,"Household","Cooking fuel"
"53","Agricultural crop","Urban",0,"Household","Cooking fuel"
"54","Agricultural crop","Rural",0.1,"Household","Cooking fuel"
"55","Sawdust","Urban",0,"Household","Cooking fuel"
"56","Sawdust","Rural",0.1,"Household","Cooking fuel"
"57","Gasoline/diesel","Urban",0.1,"Household","Cooking fuel"
"58","Gasoline/diesel","Rural",0,"Household","Cooking fuel"
"59","Kerosene/paraffin","Urban",8,"Household","Cooking fuel"
"60","Kerosene/paraffin","Rural",1,"Household","Cooking fuel"
"61","No food cooked in household","Urban",2,"Household","Cooking fuel"
"62","No food cooked in household","Rural",1,"Household","Cooking fuel"
