"","Value","Category","Proportion","Participants","Characteristics"
"1","Yes","Urban",90,"Household","Electricity"
"2","Yes","Rural",36,"Household","Electricity"
"3","No","Urban",10,"Household","Electricity"
"4","No","Rural",64,"Household","Electricity"
"5","Earth, sand","Urban",6,"Household","Flooring material"
"6","Earth, sand","Rural",35,"Household","Flooring material"
"7","Dung","Urban",1,"Household","Flooring material"
"8","Dung","Rural",18,"Household","Flooring material"
"9","Wood/planks","Urban",0.4,"Household","Flooring material"
"10","Wood/planks","Rural",0.2,"Household","Flooring material"
"11","Parquet or polished wood","Urban",1,"Household","Flooring material"
"12","Parquet or polished wood","Rural",0,"Household","Flooring material"
"13","Vinyl or asphalt strips","Urban",1,"Household","Flooring material"
"14","Vinyl or asphalt strips","Rural",0,"Household","Flooring material"
"15","Ceramic tiles","Urban",27,"Household","Flooring material"
"16","Ceramic tiles","Rural",7,"Household","Flooring material"
"17","Cement","Urban",59,"Household","Flooring material"
"18","Cement","Rural",39,"Household","Flooring material"
"19","Carpet","Urban",6,"Household","Flooring material"
"20","Carpet","Rural",2,"Household","Flooring material"
"21","Other","Urban",0.1,"Household","Flooring material"
"22","Other","Rural",0.1,"Household","Flooring material"
"23","One","Urban",61,"Household","Rooms for sleeping"
"24","One","Rural",32,"Household","Rooms for sleeping"
"25","Two","Urban",25,"Household","Rooms for sleeping"
"26","Two","Rural",38,"Household","Rooms for sleeping"
"27","Three or more","Urban",14,"Household","Rooms for sleeping"
"28","Three or more","Rural",30,"Household","Rooms for sleeping"
"29","Daily","Urban",5,"Household","Smoking frequency in home"
"30","Daily","Rural",11,"Household","Smoking frequency in home"
"31","Weekly","Urban",1,"Household","Smoking frequency in home"
"32","Weekly","Rural",2,"Household","Smoking frequency in home"
"33","Monthly","Urban",0.3,"Household","Smoking frequency in home"
"34","Monthly","Rural",0.3,"Household","Smoking frequency in home"
"35","Less than once a month","Urban",1,"Household","Smoking frequency in home"
"36","Less than once a month","Rural",1,"Household","Smoking frequency in home"
"37","Never","Urban",93,"Household","Smoking frequency in home"
"38","Never","Rural",86,"Household","Smoking frequency in home"
