County,Weighted_percent,Weighted_number,Unweighted_number,Participants
Mombasa,2.9,947,749,Women
Kwale,1.5,498,711,Women
Kilifi,2.9,928,742,Women
Tana River,0.5,149,641,Women
Lamu,0.3,101,675,Women
Taita/Taveta,0.7,234,483,Women
Garissa,0.9,290,641,Women
Wajir,0.5,160,745,Women
Mandera,0.6,206,723,Women
Marsabit,0.4,129,535,Women
Isiolo,0.4,137,623,Women
Meru,3.0,979,602,Women
Tharaka-Nithi,0.8,271,535,Women
Embu,1.1,358,584,Women
Kitui,2.3,735,671,Women
Machakos,3.1,992,699,Women
Makueni,2.1,683,720,Women
Nyandarua,1.3,409,590,Women
Nyeri,1.6,501,529,Women
Kirinyaga,1.5,481,605,Women
Murang’a,2.2,692,557,Women
Kiambu,6.5,"2,094",668,Women
Turkana,1.0,331,644,Women
West Pokot,1.2,384,756,Women
Samburu,0.5,156,615,Women
Trans Nzoia,2.1,675,713,Women
Uasin Gishu,3.1,983,731,Women
Elgeyo/Marakwet,0.7,228,591,Women
Nandi,1.9,622,721,Women
Baringo,1.2,378,687,Women
Laikipia,1.0,332,576,Women
Nakuru,5.2,"1,658",782,Women
Narok,2.2,718,744,Women
Kajiado,2.8,887,660,Women
Kericho,2.3,729,779,Women
Bomet,2.0,650,778,Women
Kakamega,4.0,"1,283",810,Women
Vihiga,1.2,371,721,Women
Bungoma,3.5,"1,138",841,Women
Busia,1.9,622,768,Women
Siaya,1.7,537,674,Women
Kisumu,2.4,771,761,Women
Homa Bay,2.1,662,712,Women
Migori,2.1,674,777,Women
Kisii,2.6,831,708,Women
Nyamira,1.0,327,635,Women
Nairobi City,13.2,"4,235",944,Women
Mombasa,3.2,442,372,Men
Kwale,1.5,209,320,Men
Kilifi,3.0,405,319,Men
Tana River,0.5,64,293,Men
Lamu,0.3,41,253,Men
Taita/Taveta,0.8,103,192,Men
Garissa,0.9,117,282,Men
Wajir,0.5,63,314,Men
Mandera,0.6,81,293,Men
Marsabit,0.3,45,192,Men
Isiolo,0.4,55,253,Men
Meru,3.6,489,305,Men
Tharaka-Nithi,1.0,137,279,Men
Embu,1.3,176,280,Men
Kitui,2.3,312,296,Men
Machakos,3.5,480,354,Men
Makueni,2.0,279,308,Men
Nyandarua,1.2,168,255,Men
Nyeri,1.7,235,267,Men
Kirinyaga,1.4,191,254,Men
Murang’a,2.2,297,253,Men
Kiambu,6.7,911,267,Men
Turkana,0.8,111,225,Men
West Pokot,1.1,150,288,Men
Samburu,0.4,51,182,Men
Trans Nzoia,2.0,272,308,Men
Uasin Gishu,3.3,451,342,Men
Elgeyo/Marakwet,0.8,110,296,Men
Nandi,1.9,265,334,Men
Baringo,1.2,165,300,Men
Laikipia,1.1,145,243,Men
Nakuru,4.9,670,327,Men
Narok,2.3,313,320,Men
Kajiado,2.5,339,228,Men
Kericho,2.4,330,368,Men
Bomet,2.0,268,353,Men
Kakamega,3.9,532,341,Men
Vihiga,1.1,156,290,Men
Bungoma,3.3,448,328,Men
Busia,1.9,262,296,Men
Siaya,1.7,227,282,Men
Kisumu,2.5,345,356,Men
Homa Bay,1.9,258,263,Men
Migori,1.8,246,296,Men
Kisii,2.4,326,300,Men
Nyamira,1.0,133,246,Men
Nairobi City,13.0,"1,777",356,Men
