Grouping,Weighted_percent,Weighted_number,Unweighted_number,Participants,Indicator,Indicator1,label
15–19,18.7,6025,6404,Women,Age,Age,19%
20–24,18.7,6001,5762,Women,Age,Age,19%
25–29,17.7,5687,5443,Women,Age,Age,18%
30–34,14.1,4530,4561,Women,Age,Age,14%
35–39,13.4,4311,4354,Women,Age,Age,13%
40–44,9.6,3084,3100,Women,Age,Age,10%
45–49,7.8,2518,2532,Women,Age,Age,8%
15–19,23.3,3175,3349,Men,Age,Age,23%
20–24,17.6,2404,2332,Men,Age,Age,18%
25–29,16.6,2268,2109,Men,Age,Age,17%
30–34,13.1,1787,1748,Men,Age,Age,13%
35–39,11.6,1577,1628,Men,Age,Age,12%
40–44,9.8,1332,1386,Men,Age,Age,10%
45–49,8.1,1109,1117,Men,Age,Age,8%
Very good,23.8,7638,7867,Women,Health_Status,Health Status,24%
Good,55.4,17823,17988,Women,Health_Status,Health Status,55%
Moderate,18.4,5933,5541,Women,Health_Status,Health Status,18%
Bad,2.2,696,710,Women,Health_Status,Health Status,2%
Very bad,0.2,67,50,Women,Health_Status,Health Status,<1%
Very good,35.8,4883,5098,Men,Health_Status,Health Status,36%
Good,48.9,6677,6607,Men,Health_Status,Health Status,49%
Moderate,14.1,1926,1799,Men,Health_Status,Health Status,14%
Bad,1,141,145,Men,Health_Status,Health Status,1%
Very bad,0.2,26,20,Men,Health_Status,Health Status,<1%
Catholic,18.6,5978,5665,Women,Religion,Religion,19%
Protestant/other Christian,72.9,23442,21154,Women,Religion,Religion,73%
Muslim,7.1,2275,4852,Women,Religion,Religion,7%
No religion,1.1,344,357,Women,Religion,Religion,1%
Other,0.4,117,128,Women,Religion,Religion,<1%
Catholic,21.6,2946,2709,Men,Religion,Religion,22%
Protestant/other Christian,66,9006,8137,Men,Religion,Religion,66%
Muslim,7.2,987,2148,Men,Religion,Religion,7%
No religion,4.4,607,557,Men,Religion,Religion,4%
Other,0.8,107,118,Men,Religion,Religion,1%
Never married,32.5,10438,10048,Women,Marital_Status,Marital Status,32%
Married,48.1,15483,16454,Women,Marital_Status,Marital Status,48%
Living together,7.3,2339,1858,Women,Marital_Status,Marital Status,7%
