"","County","weighted_perc","weighted_no","unweighted_no","group","names"
"1","Mombasa",2.9,"947",749,"Women","Mombasa, 2.9%"
"2","Kwale",1.5,"498",711,"Women","Kwale, 1.5%"
"3","Kilifi",2.9,"928",742,"Women","Kilifi, 2.9%"
"4","Tana River",0.5,"149",641,"Women","Tana River, 0.5%"
"5","Lamu",0.3,"101",675,"Women","Lamu, 0.3%"
"6","Taita Taveta",0.7,"234",483,"Women","Taita Taveta, 0.7%"
"7","Garissa",0.9,"290",641,"Women","Garissa, 0.9%"
"8","Wajir",0.5,"160",745,"Women","Wajir, 0.5%"
"9","Mandera",0.6,"206",723,"Women","Mandera, 0.6%"
"10","Marsabit",0.4,"129",535,"Women","Marsabit, 0.4%"
"11","Isiolo",0.4,"137",623,"Women","Isiolo, 0.4%"
"12","Meru",3,"979",602,"Women","Meru, 3%"
"13","Tharaka Nithi",0.8,"271",535,"Women","Tharaka Nithi, 0.8%"
"14","Embu",1.1,"358",584,"Women","Embu, 1.1%"
"15","Kitui",2.3,"735",671,"Women","Kitui, 2.3%"
"16","Machakos",3.1,"992",699,"Women","Machakos, 3.1%"
"17","Makueni",2.1,"683",720,"Women","Makueni, 2.1%"
"18","Nyandarua",1.3,"409",590,"Women","Nyandarua, 1.3%"
"19","Nyeri",1.6,"501",529,"Women","Nyeri, 1.6%"
"20","Kirinyaga",1.5,"481",605,"Women","Kirinyaga, 1.5%"
"21","Muranga",2.2,"692",557,"Women","Muranga, 2.2%"
"22","Kiambu",6.5,"2,094",668,"Women","Kiambu, 6.5%"
"23","Turkana",1,"331",644,"Women","Turkana, 1%"
"24","West Pokot",1.2,"384",756,"Women","West Pokot, 1.2%"
"25","Samburu",0.5,"156",615,"Women","Samburu, 0.5%"
"26","Trans Nzoia",2.1,"675",713,"Women","Trans Nzoia, 2.1%"
"27","Uasin Gishu",3.1,"983",731,"Women","Uasin Gishu, 3.1%"
"28","Elgeyo Marakwet",0.7,"228",591,"Women","Elgeyo Marakwet, 0.7%"
"29","Nandi",1.9,"622",721,"Women","Nandi, 1.9%"
"30","Baringo",1.2,"378",687,"Women","Baringo, 1.2%"
"31","Laikipia",1,"332",576,"Women","Laikipia, 1%"
"32","Nakuru",5.2,"1,658",782,"Women","Nakuru, 5.2%"
"33","Narok",2.2,"718",744,"Women","Narok, 2.2%"
"34","Kajiado",2.8,"887",660,"Women","Kajiado, 2.8%"
"35","Kericho",2.3,"729",779,"Women","Kericho, 2.3%"
"36","Bomet",2,"650",778,"Women","Bomet, 2%"
"37","Kakamega",4,"1,283",810,"Women","Kakamega, 4%"
"38","Vihiga",1.2,"371",721,"Women","Vihiga, 1.2%"
"39","Bungoma",3.5,"1,138",841,"Women","Bungoma, 3.5%"
"40","Busia",1.9,"622",768,"Women","Busia, 1.9%"
"41","Siaya",1.7,"537",674,"Women","Siaya, 1.7%"
"42","Kisumu",2.4,"771",761,"Women","Kisumu, 2.4%"
"43","Homa Bay",2.1,"662",712,"Women","Homa Bay, 2.1%"
"44","Migori",2.1,"674",777,"Women","Migori, 2.1%"
"45","Kisii",2.6,"831",708,"Women","Kisii, 2.6%"
"46","Nyamira",1,"327",635,"Women","Nyamira, 1%"
"47","Nairobi",13.2,"4,235",944,"Women","Nairobi, 13.2%"
"48","Mombasa",3.2,"442",372,"Men","Mombasa, 3.2%"
"49","Kwale",1.5,"209",320,"Men","Kwale, 1.5%"
"50","Kilifi",3,"405",319,"Men","Kilifi, 3%"
"51","Tana River",0.5,"64",293,"Men","Tana River, 0.5%"
"52","Lamu",0.3,"41",253,"Men","Lamu, 0.3%"
"53","Taita Taveta",0.8,"103",192,"Men","Taita Taveta, 0.8%"
"54","Garissa",0.9,"117",282,"Men","Garissa, 0.9%"
"55","Wajir",0.5,"63",314,"Men","Wajir, 0.5%"
"56","Mandera",0.6,"81",293,"Men","Mandera, 0.6%"
"57","Marsabit",0.3,"45",192,"Men","Marsabit, 0.3%"
"58","Isiolo",0.4,"55",253,"Men","Isiolo, 0.4%"
"59","Meru",3.6,"489",305,"Men","Meru, 3.6%"
"60","Tharaka Nithi",1,"137",279,"Men","Tharaka Nithi, 1%"
"61","Embu",1.3,"176",280,"Men","Embu, 1.3%"
"62","Kitui",2.3,"312",296,"Men","Kitui, 2.3%"
"63","Machakos",3.5,"480",354,"Men","Machakos, 3.5%"
"64","Makueni",2,"279",308,"Men","Makueni, 2%"
"65","Nyandarua",1.2,"168",255,"Men","Nyandarua, 1.2%"
"66","Nyeri",1.7,"235",267,"Men","Nyeri, 1.7%"
"67","Kirinyaga",1.4,"191",254,"Men","Kirinyaga, 1.4%"
"68","Muranga",2.2,"297",253,"Men","Muranga, 2.2%"
"69","Kiambu",6.7,"911",267,"Men","Kiambu, 6.7%"
"70","Turkana",0.8,"111",225,"Men","Turkana, 0.8%"
"71","West Pokot",1.1,"150",288,"Men","West Pokot, 1.1%"
"72","Samburu",0.4,"51",182,"Men","Samburu, 0.4%"
"73","Trans Nzoia",2,"272",308,"Men","Trans Nzoia, 2%"
"74","Uasin Gishu",3.3,"451",342,"Men","Uasin Gishu, 3.3%"
"75","Elgeyo Marakwet",0.8,"110",296,"Men","Elgeyo Marakwet, 0.8%"
"76","Nandi",1.9,"265",334,"Men","Nandi, 1.9%"
"77","Baringo",1.2,"165",300,"Men","Baringo, 1.2%"
"78","Laikipia",1.1,"145",243,"Men","Laikipia, 1.1%"
"79","Nakuru",4.9,"670",327,"Men","Nakuru, 4.9%"
"80","Narok",2.3,"313",320,"Men","Narok, 2.3%"
"81","Kajiado",2.5,"339",228,"Men","Kajiado, 2.5%"
"82","Kericho",2.4,"330",368,"Men","Kericho, 2.4%"
"83","Bomet",2,"268",353,"Men","Bomet, 2%"
"84","Kakamega",3.9,"532",341,"Men","Kakamega, 3.9%"
