County,Category,Proportion,Participants,Names
Mombasa,Tested,39.6,Households,"Mombasa, 39.6%"
Mombasa,Vaccinated,52.2,Households,"Mombasa, 52.2%"
Kwale,Tested,29.7,Households,"Kwale, 29.7%"
Kwale,Vaccinated,32.7,Households,"Kwale, 32.7%"
Kilifi,Tested,12.3,Households,"Kilifi, 12.3%"
Kilifi,Vaccinated,37.8,Households,"Kilifi, 37.8%"
Tana River,Tested,9.2,Households,"Tana River, 9.2%"
Tana River,Vaccinated,14.5,Households,"Tana River, 14.5%"
Lamu,Tested,19.5,Households,"Lamu, 19.5%"
Lamu,Vaccinated,36.3,Households,"Lamu, 36.3%"
Taita Taveta,Tested,20.6,Households,"Taita Taveta, 20.6%"
Taita Taveta,Vaccinated,69.4,Households,"Taita Taveta, 69.4%"
Garissa,Tested,15.5,Households,"Garissa, 15.5%"
Garissa,Vaccinated,17.9,Households,"Garissa, 17.9%"
Wajir,Tested,7.6,Households,"Wajir, 7.6%"
Wajir,Vaccinated,36.9,Households,"Wajir, 36.9%"
Mandera,Tested,7.9,Households,"Mandera, 7.9%"
Mandera,Vaccinated,29.4,Households,"Mandera, 29.4%"
Marsabit,Tested,17.9,Households,"Marsabit, 17.9%"
Marsabit,Vaccinated,23,Households,"Marsabit, 23%"
Isiolo,Tested,21.6,Households,"Isiolo, 21.6%"
Isiolo,Vaccinated,24.3,Households,"Isiolo, 24.3%"
Meru,Tested,10.1,Households,"Meru, 10.1%"
Meru,Vaccinated,69.4,Households,"Meru, 69.4%"
Tharaka Nithi,Tested,21.9,Households,"Tharaka Nithi, 21.9%"
Tharaka Nithi,Vaccinated,62.5,Households,"Tharaka Nithi, 62.5%"
Embu,Tested,15.1,Households,"Embu, 15.1%"
Embu,Vaccinated,70.1,Households,"Embu, 70.1%"
Kitui,Tested,33.4,Households,"Kitui, 33.4%"
Kitui,Vaccinated,43.2,Households,"Kitui, 43.2%"
Machakos,Tested,17.6,Households,"Machakos, 17.6%"
Machakos,Vaccinated,66.1,Households,"Machakos, 66.1%"
Makueni,Tested,20.7,Households,"Makueni, 20.7%"
Makueni,Vaccinated,64.1,Households,"Makueni, 64.1%"
Nyandarua,Tested,22.4,Households,"Nyandarua, 22.4%"
Nyandarua,Vaccinated,62.2,Households,"Nyandarua, 62.2%"
Nyeri,Tested,38.9,Households,"Nyeri, 38.9%"
Nyeri,Vaccinated,75.8,Households,"Nyeri, 75.8%"
Kirinyaga,Tested,18.5,Households,"Kirinyaga, 18.5%"
Kirinyaga,Vaccinated,76.7,Households,"Kirinyaga, 76.7%"
Muranga,Tested,23.5,Households,"Muranga, 23.5%"
Muranga,Vaccinated,67.6,Households,"Muranga, 67.6%"
Kiambu,Tested,33.6,Households,"Kiambu, 33.6%"
Kiambu,Vaccinated,67.8,Households,"Kiambu, 67.8%"
Turkana,Tested,9.1,Households,"Turkana, 9.1%"
Turkana,Vaccinated,51,Households,"Turkana, 51%"
West Pokot,Tested,10,Households,"West Pokot, 10%"
West Pokot,Vaccinated,31.9,Households,"West Pokot, 31.9%"
