"","County","Category","Proportion","Participants","Names"
"1","Mombasa","Tested",21.5,"Population","Mombasa, 21.5%"
"2","Mombasa","Vaccinated",27.7,"Population","Mombasa, 27.7%"
"3","Kwale","Tested",11.5,"Population","Kwale, 11.5%"
"4","Kwale","Vaccinated",11.8,"Population","Kwale, 11.8%"
"5","Kilifi","Tested",4.7,"Population","Kilifi, 4.7%"
"6","Kilifi","Vaccinated",14.3,"Population","Kilifi, 14.3%"
"7","Tana River","Tested",3.2,"Population","Tana River, 3.2%"
"8","Tana River","Vaccinated",4.9,"Population","Tana River, 4.9%"
"9","Lamu","Tested",7.4,"Population","Lamu, 7.4%"
"10","Lamu","Vaccinated",13.3,"Population","Lamu, 13.3%"
"11","Taita Taveta","Tested",10.9,"Population","Taita Taveta, 10.9%"
"12","Taita Taveta","Vaccinated",37,"Population","Taita Taveta, 37%"
"13","Garissa","Tested",6.6,"Population","Garissa, 6.6%"
"14","Garissa","Vaccinated",5.3,"Population","Garissa, 5.3%"
"15","Wajir","Tested",3.3,"Population","Wajir, 3.3%"
"16","Wajir","Vaccinated",10.6,"Population","Wajir, 10.6%"
"17","Mandera","Tested",2.9,"Population","Mandera, 2.9%"
"18","Mandera","Vaccinated",7.7,"Population","Mandera, 7.7%"
"19","Marsabit","Tested",8.3,"Population","Marsabit, 8.3%"
"20","Marsabit","Vaccinated",8.1,"Population","Marsabit, 8.1%"
"21","Isiolo","Tested",10,"Population","Isiolo, 10%"
"22","Isiolo","Vaccinated",8.3,"Population","Isiolo, 8.3%"
"23","Meru","Tested",4.7,"Population","Meru, 4.7%"
"24","Meru","Vaccinated",36.4,"Population","Meru, 36.4%"
"25","Tharaka Nithi","Tested",11.5,"Population","Tharaka Nithi, 11.5%"
"26","Tharaka Nithi","Vaccinated",34.1,"Population","Tharaka Nithi, 34.1%"
"27","Embu","Tested",7.4,"Population","Embu, 7.4%"
"28","Embu","Vaccinated",39.2,"Population","Embu, 39.2%"
"29","Kitui","Tested",13.6,"Population","Kitui, 13.6%"
"30","Kitui","Vaccinated",17.2,"Population","Kitui, 17.2%"
"31","Machakos","Tested",8.9,"Population","Machakos, 8.9%"
"32","Machakos","Vaccinated",35.5,"Population","Machakos, 35.5%"
"33","Makueni","Tested",9,"Population","Makueni, 9%"
"34","Makueni","Vaccinated",31.5,"Population","Makueni, 31.5%"
"35","Nyandarua","Tested",11.7,"Population","Nyandarua, 11.7%"
"36","Nyandarua","Vaccinated",33.2,"Population","Nyandarua, 33.2%"
"37","Nyeri","Tested",23.1,"Population","Nyeri, 23.1%"
"38","Nyeri","Vaccinated",49,"Population","Nyeri, 49%"
"39","Kirinyaga","Tested",9.5,"Population","Kirinyaga, 9.5%"
"40","Kirinyaga","Vaccinated",48.7,"Population","Kirinyaga, 48.7%"
"41","Muranga","Tested",12.9,"Population","Muranga, 12.9%"
"42","Muranga","Vaccinated",37.2,"Population","Muranga, 37.2%"
"43","Kiambu","Tested",18.3,"Population","Kiambu, 18.3%"
"44","Kiambu","Vaccinated",39.5,"Population","Kiambu, 39.5%"
"45","Turkana","Tested",3.7,"Population","Turkana, 3.7%"
"46","Turkana","Vaccinated",18.8,"Population","Turkana, 18.8%"
"47","West Pokot","Tested",3.5,"Population","West Pokot, 3.5%"
"48","West Pokot","Vaccinated",9.7,"Population","West Pokot, 9.7%"
"49","Samburu","Tested",11.4,"Population","Samburu, 11.4%"
"50","Samburu","Vaccinated",16.7,"Population","Samburu, 16.7%"
"51","Trans Nzoia","Tested",7.8,"Population","Trans Nzoia, 7.8%"
"52","Trans Nzoia","Vaccinated",30.3,"Population","Trans Nzoia, 30.3%"
"53","Uasin Gishu","Tested",13.8,"Population","Uasin Gishu, 13.8%"
"54","Uasin Gishu","Vaccinated",34.4,"Population","Uasin Gishu, 34.4%"
"55","Elgeyo Marakwet","Tested",3.8,"Population","Elgeyo Marakwet, 3.8%"
"56","Elgeyo Marakwet","Vaccinated",24,"Population","Elgeyo Marakwet, 24%"
"57","Nandi","Tested",9.7,"Population","Nandi, 9.7%"
"58","Nandi","Vaccinated",23.3,"Population","Nandi, 23.3%"
"59","Baringo","Tested",9.6,"Population","Baringo, 9.6%"
"60","Baringo","Vaccinated",24,"Population","Baringo, 24%"
"61","Laikipia","Tested",9.1,"Population","Laikipia, 9.1%"
"62","Laikipia","Vaccinated",38.4,"Population","Laikipia, 38.4%"
"63","Nakuru","Tested",13,"Population","Nakuru, 13%"
"64","Nakuru","Vaccinated",35.3,"Population","Nakuru, 35.3%"
"65","Narok","Tested",4.7,"Population","Narok, 4.7%"
"66","Narok","Vaccinated",19.4,"Population","Narok, 19.4%"
"67","Kajiado","Tested",24.3,"Population","Kajiado, 24.3%"
"68","Kajiado","Vaccinated",33.4,"Population","Kajiado, 33.4%"
"69","Kericho","Tested",9.5,"Population","Kericho, 9.5%"
"70","Kericho","Vaccinated",35,"Population","Kericho, 35%"
"71","Bomet","Tested",5.1,"Population","Bomet, 5.1%"
"72","Bomet","Vaccinated",23.4,"Population","Bomet, 23.4%"
"73","Kakamega","Tested",8.5,"Population","Kakamega, 8.5%"
"74","Kakamega","Vaccinated",37.9,"Population","Kakamega, 37.9%"
"75","Vihiga","Tested",5.4,"Population","Vihiga, 5.4%"
"76","Vihiga","Vaccinated",37.4,"Population","Vihiga, 37.4%"
"77","Bungoma","Tested",7.2,"Population","Bungoma, 7.2%"
"78","Bungoma","Vaccinated",31.9,"Population","Bungoma, 31.9%"
"79","Busia","Tested",5.9,"Population","Busia, 5.9%"
"80","Busia","Vaccinated",31,"Population","Busia, 31%"
"81","Siaya","Tested",8.7,"Population","Siaya, 8.7%"
"82","Siaya","Vaccinated",36.9,"Population","Siaya, 36.9%"
"83","Kisumu","Tested",20.8,"Population","Kisumu, 20.8%"
"84","Kisumu","Vaccinated",37.6,"Population","Kisumu, 37.6%"
"85","Homa Bay","Tested",15.2,"Population","Homa Bay, 15.2%"
"86","Homa Bay","Vaccinated",30.8,"Population","Homa Bay, 30.8%"
"87","Migori","Tested",9.9,"Population","Migori, 9.9%"
"88","Migori","Vaccinated",29.4,"Population","Migori, 29.4%"
"89","Kisii","Tested",6.5,"Population","Kisii, 6.5%"
"90","Kisii","Vaccinated",28.8,"Population","Kisii, 28.8%"
"91","Nyamira","Tested",8.1,"Population","Nyamira, 8.1%"
"92","Nyamira","Vaccinated",29.7,"Population","Nyamira, 29.7%"
"93","Nairobi","Tested",28.8,"Population","Nairobi, 28.8%"
"94","Nairobi","Vaccinated",40.6,"Population","Nairobi, 40.6%"
"95","Mombasa","Tested",39.6,"Households","Mombasa, 39.6%"
"96","Mombasa","Vaccinated",52.2,"Households","Mombasa, 52.2%"
"97","Kwale","Tested",29.7,"Households","Kwale, 29.7%"
"98","Kwale","Vaccinated",32.7,"Households","Kwale, 32.7%"
"99","Kilifi","Tested",12.3,"Households","Kilifi, 12.3%"
"100","Kilifi","Vaccinated",37.8,"Households","Kilifi, 37.8%"
"101","Tana River","Tested",9.2,"Households","Tana River, 9.2%"
"102","Tana River","Vaccinated",14.5,"Households","Tana River, 14.5%"
"103","Lamu","Tested",19.5,"Households","Lamu, 19.5%"
"104","Lamu","Vaccinated",36.3,"Households","Lamu, 36.3%"
"105","Taita Taveta","Tested",20.6,"Households","Taita Taveta, 20.6%"
"106","Taita Taveta","Vaccinated",69.4,"Households","Taita Taveta, 69.4%"
"107","Garissa","Tested",15.5,"Households","Garissa, 15.5%"
"108","Garissa","Vaccinated",17.9,"Households","Garissa, 17.9%"
"109","Wajir","Tested",7.6,"Households","Wajir, 7.6%"
"110","Wajir","Vaccinated",36.9,"Households","Wajir, 36.9%"
"111","Mandera","Tested",7.9,"Households","Mandera, 7.9%"
"112","Mandera","Vaccinated",29.4,"Households","Mandera, 29.4%"
"113","Marsabit","Tested",17.9,"Households","Marsabit, 17.9%"
"114","Marsabit","Vaccinated",23,"Households","Marsabit, 23%"
"115","Isiolo","Tested",21.6,"Households","Isiolo, 21.6%"
"116","Isiolo","Vaccinated",24.3,"Households","Isiolo, 24.3%"
"117","Meru","Tested",10.1,"Households","Meru, 10.1%"
"118","Meru","Vaccinated",69.4,"Households","Meru, 69.4%"
"119","Tharaka Nithi","Tested",21.9,"Households","Tharaka Nithi, 21.9%"
"120","Tharaka Nithi","Vaccinated",62.5,"Households","Tharaka Nithi, 62.5%"
"121","Embu","Tested",15.1,"Households","Embu, 15.1%"
"122","Embu","Vaccinated",70.1,"Households","Embu, 70.1%"
"123","Kitui","Tested",33.4,"Households","Kitui, 33.4%"
"124","Kitui","Vaccinated",43.2,"Households","Kitui, 43.2%"
"125","Machakos","Tested",17.6,"Households","Machakos, 17.6%"
