County,Reason For Assistance,Proportion,Names
Mombasa,Receiving cash/social assistance,11.4,"Mombasa, 11.4%"
Mombasa,Orphaned children(<=18),3.8,"Mombasa, 3.8%"
Mombasa,Elderly person,5.8,"Mombasa, 5.8%"
Mombasa,Person with severe disability,3.9,"Mombasa, 3.9%"
Mombasa,Urban food subsidy,7.8,"Mombasa, 7.8%"
Mombasa,Food aid for ASALs,0,"Mombasa, 0%"
Mombasa,Health voucher,4.2,"Mombasa, 4.2%"
Mombasa,Food/cash for work,24.7,"Mombasa, 24.7%"
Mombasa,School feeding,2.5,"Mombasa, 2.5%"
Mombasa,Hunger safety net program,2.3,"Mombasa, 2.3%"
Mombasa,COVID-19 relief,21.5,"Mombasa, 21.5%"
Mombasa,Other,31.2,"Mombasa, 31.2%"
Kwale,Receiving cash/social assistance,17.7,"Kwale, 17.7%"
Kwale,Orphaned children(<=18),1.8,"Kwale, 1.8%"
Kwale,Elderly person,16,"Kwale, 16%"
Kwale,Person with severe disability,0,"Kwale, 0%"
Kwale,Urban food subsidy,3.6,"Kwale, 3.6%"
Kwale,Food aid for ASALs,5.2,"Kwale, 5.2%"
Kwale,Health voucher,1,"Kwale, 1%"
Kwale,Food/cash for work,1.9,"Kwale, 1.9%"
Kwale,School feeding,28.4,"Kwale, 28.4%"
Kwale,Hunger safety net program,6.4,"Kwale, 6.4%"
Kwale,COVID-19 relief,21,"Kwale, 21%"
Kwale,Other,20.3,"Kwale, 20.3%"
Kilifi,Receiving cash/social assistance,13.1,"Kilifi, 13.1%"
Kilifi,Orphaned children(<=18),7.7,"Kilifi, 7.7%"
Kilifi,Elderly person,21.5,"Kilifi, 21.5%"
Kilifi,Person with severe disability,3.6,"Kilifi, 3.6%"
Kilifi,Urban food subsidy,0,"Kilifi, 0%"
Kilifi,Food aid for ASALs,7.5,"Kilifi, 7.5%"
Kilifi,Health voucher,2.5,"Kilifi, 2.5%"
Kilifi,Food/cash for work,28,"Kilifi, 28%"
Kilifi,School feeding,1.8,"Kilifi, 1.8%"
Kilifi,Hunger safety net program,9.1,"Kilifi, 9.1%"
Kilifi,COVID-19 relief,2.5,"Kilifi, 2.5%"
Kilifi,Other,22.6,"Kilifi, 22.6%"
Tana River,Receiving cash/social assistance,19.5,"Tana River, 19.5%"
Tana River,Orphaned children(<=18),8.7,"Tana River, 8.7%"
Tana River,Elderly person,24.5,"Tana River, 24.5%"
Tana River,Person with severe disability,5.9,"Tana River, 5.9%"
Tana River,Urban food subsidy,3.3,"Tana River, 3.3%"
Tana River,Food aid for ASALs,43.8,"Tana River, 43.8%"
Tana River,Health voucher,0.4,"Tana River, 0.4%"
Tana River,Food/cash for work,7.4,"Tana River, 7.4%"
Tana River,School feeding,2.9,"Tana River, 2.9%"
Tana River,Hunger safety net program,3.5,"Tana River, 3.5%"
Tana River,COVID-19 relief,8.1,"Tana River, 8.1%"
Tana River,Other,7.4,"Tana River, 7.4%"
Lamu,Receiving cash/social assistance,20.6,"Lamu, 20.6%"
Lamu,Orphaned children(<=18),4.8,"Lamu, 4.8%"
Lamu,Elderly person,13.9,"Lamu, 13.9%"
Lamu,Person with severe disability,1.8,"Lamu, 1.8%"
Lamu,Urban food subsidy,1.4,"Lamu, 1.4%"
Lamu,Food aid for ASALs,24.4,"Lamu, 24.4%"
Lamu,Health voucher,0,"Lamu, 0%"
Lamu,Food/cash for work,14.8,"Lamu, 14.8%"
Lamu,School feeding,5.6,"Lamu, 5.6%"
Lamu,Hunger safety net program,21.4,"Lamu, 21.4%"
Lamu,COVID-19 relief,0,"Lamu, 0%"
Lamu,Other,24.8,"Lamu, 24.8%"
Taita Taveta,Receiving cash/social assistance,17.7,"Taita Taveta, 17.7%"
Taita Taveta,Orphaned children(<=18),5,"Taita Taveta, 5%"
Taita Taveta,Elderly person,26.9,"Taita Taveta, 26.9%"
Taita Taveta,Person with severe disability,1.7,"Taita Taveta, 1.7%"
Taita Taveta,Urban food subsidy,1.5,"Taita Taveta, 1.5%"
Taita Taveta,Food aid for ASALs,4.8,"Taita Taveta, 4.8%"
Taita Taveta,Health voucher,3,"Taita Taveta, 3%"
Taita Taveta,Food/cash for work,9.1,"Taita Taveta, 9.1%"
Taita Taveta,School feeding,1.3,"Taita Taveta, 1.3%"
Taita Taveta,Hunger safety net program,3.4,"Taita Taveta, 3.4%"
