Endemicity zone,Category,Proportion
Highland epidemic prone,1+ Doses of SP/Fansidar,14.2
Highland epidemic prone,2+ Doses of SP/Fansidar,9.3
Highland epidemic prone,3+ Doses of SP/Fansidar,6.3
Lake endemic,1+ Doses of SP/Fansidar,70.6
Lake endemic,2+ Doses of SP/Fansidar,56.7
Lake endemic,3+ Doses of SP/Fansidar,38.1
Coastal endemic,1+ Doses of SP/Fansidar,75.8
Coastal endemic,2+ Doses of SP/Fansidar,50.1
Coastal endemic,3+ Doses of SP/Fansidar,29.2
Seasonal,1+ Doses of SP/Fansidar,12.7
Seasonal,2+ Doses of SP/Fansidar,8.5
Seasonal,3+ Doses of SP/Fansidar,5.3
Low risk,1+ Doses of SP/Fansidar,11.5
Low risk,2+ Doses of SP/Fansidar,5.8
Low risk,3+ Doses of SP/Fansidar,2.9
