Age,Category,Proportion,Participants
15–19,Have heard of TB,95.6,Women
15–19,Think everyone with TB has HIV,3.4,Women
15–19,Diagnosed in past 12 months,0.3,Women
20–24,Have heard of TB,96.9,Women
20–24,Think everyone with TB has HIV,3.8,Women
20–24,Diagnosed in past 12 months,0.3,Women
30–39,Have heard of TB,97.2,Women
30–39,Think everyone with TB has HIV,6.1,Women
30–39,Diagnosed in past 12 months,0.6,Women
40–49,Have heard of TB,96.6,Women
40–49,Think everyone with TB has HIV,5.4,Women
40–49,Diagnosed in past 12 months,0.7,Women
15–19,Have heard of TB,97.2,Men
15–19,Think everyone with TB has HIV,4.9,Men
15–19,Diagnosed in past 12 months,0.4,Men
20–24,Have heard of TB,97.3,Men
20–24,Think everyone with TB has HIV,4.0,Men
20–24,Diagnosed in past 12 months,0.2,Men
30–39,Have heard of TB,98.8,Men
30–39,Think everyone with TB has HIV,4.8,Men
30–39,Diagnosed in past 12 months,0.4,Men
40–49,Have heard of TB,98.9,Men
40–49,Think everyone with TB has HIV,5.3,Men
40–49,Diagnosed in past 12 months,1.6,Men
