Marital status,Category,Proportion,Participants
Never married,Have heard of TB,96.7,Women
Never married,Think everyone with TB has HIV,3.0,Women
Never married,Diagnosed in past 12 months,0.3,Women
Ever had sex,Have heard of TB,97.6,Women
Ever had sex,Think everyone with TB has HIV,2.9,Women
Ever had sex,Diagnosed in past 12 months,0.2,Women
Never had sex,Have heard of TB,95.7,Women
Never had sex,Think everyone with TB has HIV,3.1,Women
Never had sex,Diagnosed in past 12 months,0.3,Women
Married or living together,Have heard of TB,96.9,Women
Married or living together,Think everyone with TB has HIV,5.5,Women
Married or living together,Diagnosed in past 12 months,0.4,Women
Divorced/separated/widowed,Have heard of TB,96.3,Women
Divorced/separated/widowed,Think everyone with TB has HIV,6.1,Women
Divorced/separated/widowed,Diagnosed in past 12 months,1.1,Women
Never married,Have heard of TB,97.4,Men
Never married,Think everyone with TB has HIV,4.3,Men
Never married,Diagnosed in past 12 months,0.3,Men
Ever had sex,Have heard of TB,97.8,Men
Ever had sex,Think everyone with TB has HIV,4.0,Men
Ever had sex,Diagnosed in past 12 months,0.4,Men
Never had sex,Have heard of TB,96.8,Men
Never had sex,Think everyone with TB has HIV,5.0,Men
Never had sex,Diagnosed in past 12 months,0.1,Men
Married or living together,Have heard of TB,99.0,Men
Married or living together,Think everyone with TB has HIV,4.2,Men
Married or living together,Diagnosed in past 12 months,0.6,Men
Divorced/separated/widowed,Have heard of TB,99.0,Men
Divorced/separated/widowed,Think everyone with TB has HIV,6.0,Men
Divorced/separated/widowed,Diagnosed in past 12 months,2.0,Men
