Wealth quintile,Category,Proportion,Participants
Lowest,Have heard of TB,93.3,Women
Lowest,Think everyone with TB has HIV,6.9,Women
Lowest,Diagnosed in past 12 months,0.5,Women
Second,Have heard of TB,96.0,Women
Second,Think everyone with TB has HIV,5.0,Women
Second,Diagnosed in past 12 months,0.7,Women
Middle,Have heard of TB,96.5,Women
Middle,Think everyone with TB has HIV,5.5,Women
Middle,Diagnosed in past 12 months,0.3,Women
Fourth,Have heard of TB,97.8,Women
Fourth,Think everyone with TB has HIV,4.2,Women
Fourth,Diagnosed in past 12 months,0.5,Women
Highest,Have heard of TB,98.7,Women
Highest,Think everyone with TB has HIV,3.3,Women
Highest,Diagnosed in past 12 months,0.2,Women
Lowest,Have heard of TB,96.8,Men
Lowest,Think everyone with TB has HIV,7.1,Men
Lowest,Diagnosed in past 12 months,0.8,Men
Second,Have heard of TB,98.4,Men
Second,Think everyone with TB has HIV,5.8,Men
Second,Diagnosed in past 12 months,0.4,Men
Middle,Have heard of TB,98.2,Men
Middle,Think everyone with TB has HIV,3.9,Men
Middle,Diagnosed in past 12 months,0.5,Men
Fourth,Have heard of TB,99.0,Men
Fourth,Think everyone with TB has HIV,3.2,Men
Fourth,Diagnosed in past 12 months,0.7,Men
Highest,Have heard of TB,98.4,Men
Highest,Think everyone with TB has HIV,3.1,Men
Highest,Diagnosed in past 12 months,0.5,Men
