County,Participants,indicators,values,names1
Mombasa,Women_15-24,limit_sex,83.5,"Mombasa, 83.5%"
Mombasa,Women_15-24,using_condoms,75.6,"Mombasa, 75.6%"
Mombasa,Women_15-24,hivprevention_knowledge,45.3,"Mombasa, 45.3%"
Kwale,Women_15-24,limit_sex,87.4,"Kwale, 87.4%"
Kwale,Women_15-24,using_condoms,86.2,"Kwale, 86.2%"
Kwale,Women_15-24,hivprevention_knowledge,63.4,"Kwale, 63.4%"
Kilifi,Women_15-24,limit_sex,90.8,"Kilifi, 90.8%"
Kilifi,Women_15-24,using_condoms,75.7,"Kilifi, 75.7%"
Kilifi,Women_15-24,hivprevention_knowledge,57.1,"Kilifi, 57.1%"
Tana River,Women_15-24,limit_sex,71.8,"Tana River, 71.8%"
Tana River,Women_15-24,using_condoms,49.9,"Tana River, 49.9%"
Tana River,Women_15-24,hivprevention_knowledge,35.2,"Tana River, 35.2%"
Lamu,Women_15-24,limit_sex,81.6,"Lamu, 81.6%"
Lamu,Women_15-24,using_condoms,49.7,"Lamu, 49.7%"
Lamu,Women_15-24,hivprevention_knowledge,34.7,"Lamu, 34.7%"
Taita Taveta,Women_15-24,limit_sex,85.3,"Taita Taveta, 85.3%"
Taita Taveta,Women_15-24,using_condoms,82.3,"Taita Taveta, 82.3%"
Taita Taveta,Women_15-24,hivprevention_knowledge,61,"Taita Taveta, 61%"
Garissa,Women_15-24,limit_sex,55.3,"Garissa, 55.3%"
Garissa,Women_15-24,using_condoms,27.7,"Garissa, 27.7%"
Garissa,Women_15-24,hivprevention_knowledge,15,"Garissa, 15%"
Wajir,Women_15-24,limit_sex,76.3,"Wajir, 76.3%"
Wajir,Women_15-24,using_condoms,45.9,"Wajir, 45.9%"
Wajir,Women_15-24,hivprevention_knowledge,26.9,"Wajir, 26.9%"
Mandera,Women_15-24,limit_sex,26.2,"Mandera, 26.2%"
Mandera,Women_15-24,using_condoms,15,"Mandera, 15%"
Mandera,Women_15-24,hivprevention_knowledge,4.5,"Mandera, 4.5%"
Marsabit,Women_15-24,limit_sex,58.6,"Marsabit, 58.6%"
Marsabit,Women_15-24,using_condoms,58.2,"Marsabit, 58.2%"
Marsabit,Women_15-24,hivprevention_knowledge,26,"Marsabit, 26%"
Isiolo,Women_15-24,limit_sex,75.7,"Isiolo, 75.7%"
Isiolo,Women_15-24,using_condoms,68,"Isiolo, 68%"
Isiolo,Women_15-24,hivprevention_knowledge,35.7,"Isiolo, 35.7%"
Meru,Women_15-24,limit_sex,84.8,"Meru, 84.8%"
Meru,Women_15-24,using_condoms,66.2,"Meru, 66.2%"
Meru,Women_15-24,hivprevention_knowledge,41.1,"Meru, 41.1%"
Tharaka Nithi,Women_15-24,limit_sex,90.1,"Tharaka Nithi, 90.1%"
Tharaka Nithi,Women_15-24,using_condoms,74.4,"Tharaka Nithi, 74.4%"
Tharaka Nithi,Women_15-24,hivprevention_knowledge,51.5,"Tharaka Nithi, 51.5%"
Embu,Women_15-24,limit_sex,84.5,"Embu, 84.5%"
Embu,Women_15-24,using_condoms,79.6,"Embu, 79.6%"
Embu,Women_15-24,hivprevention_knowledge,49.4,"Embu, 49.4%"
Kitui,Women_15-24,limit_sex,86.5,"Kitui, 86.5%"
Kitui,Women_15-24,using_condoms,75.4,"Kitui, 75.4%"
Kitui,Women_15-24,hivprevention_knowledge,65.6,"Kitui, 65.6%"
Machakos,Women_15-24,limit_sex,98.1,"Machakos, 98.1%"
Machakos,Women_15-24,using_condoms,88.1,"Machakos, 88.1%"
Machakos,Women_15-24,hivprevention_knowledge,68.1,"Machakos, 68.1%"
Makueni,Women_15-24,limit_sex,88.2,"Makueni, 88.2%"
Makueni,Women_15-24,using_condoms,76.3,"Makueni, 76.3%"
Makueni,Women_15-24,hivprevention_knowledge,55,"Makueni, 55%"
Nyandarua,Women_15-24,limit_sex,96.2,"Nyandarua, 96.2%"
Nyandarua,Women_15-24,using_condoms,80.2,"Nyandarua, 80.2%"
Nyandarua,Women_15-24,hivprevention_knowledge,59.1,"Nyandarua, 59.1%"
Nyeri,Women_15-24,limit_sex,86.8,"Nyeri, 86.8%"
Nyeri,Women_15-24,using_condoms,88.2,"Nyeri, 88.2%"
Nyeri,Women_15-24,hivprevention_knowledge,62,"Nyeri, 62%"
Kirinyaga,Women_15-24,limit_sex,92.9,"Kirinyaga, 92.9%"
Kirinyaga,Women_15-24,using_condoms,82.2,"Kirinyaga, 82.2%"
Kirinyaga,Women_15-24,hivprevention_knowledge,65,"Kirinyaga, 65%"
Muranga,Women_15-24,limit_sex,89.5,"Muranga, 89.5%"
Muranga,Women_15-24,using_condoms,81.7,"Muranga, 81.7%"
Muranga,Women_15-24,hivprevention_knowledge,47.3,"Muranga, 47.3%"
Kiambu,Women_15-24,limit_sex,85.3,"Kiambu, 85.3%"
Kiambu,Women_15-24,using_condoms,80.3,"Kiambu, 80.3%"
