"","County","Participants","indicators","values","names1","cats"
"1","Mombasa","Women (15-24 years)","limit_sex",83.5,"Mombasa, 83.5%",">80%"
"2","Mombasa","Women (15-24 years)","using_condoms",75.6,"Mombasa, 75.6%","40-80%"
"3","Mombasa","Women (15-24 years)","hivprevention_knowledge",45.3,"Mombasa, 45.3%","40-80%"
"4","Kwale","Women (15-24 years)","limit_sex",87.4,"Kwale, 87.4%",">80%"
"5","Kwale","Women (15-24 years)","using_condoms",86.2,"Kwale, 86.2%",">80%"
"6","Kwale","Women (15-24 years)","hivprevention_knowledge",63.4,"Kwale, 63.4%","40-80%"
"7","Kilifi","Women (15-24 years)","limit_sex",90.8,"Kilifi, 90.8%",">80%"
"8","Kilifi","Women (15-24 years)","using_condoms",75.7,"Kilifi, 75.7%","40-80%"
"9","Kilifi","Women (15-24 years)","hivprevention_knowledge",57.1,"Kilifi, 57.1%","40-80%"
"10","Tana River","Women (15-24 years)","limit_sex",71.8,"Tana River, 71.8%","40-80%"
"11","Tana River","Women (15-24 years)","using_condoms",49.9,"Tana River, 49.9%","40-80%"
"12","Tana River","Women (15-24 years)","hivprevention_knowledge",35.2,"Tana River, 35.2%","<40%"
"13","Lamu","Women (15-24 years)","limit_sex",81.6,"Lamu, 81.6%",">80%"
"14","Lamu","Women (15-24 years)","using_condoms",49.7,"Lamu, 49.7%","40-80%"
"15","Lamu","Women (15-24 years)","hivprevention_knowledge",34.7,"Lamu, 34.7%","<40%"
"16","Taita Taveta","Women (15-24 years)","limit_sex",85.3,"Taita Taveta, 85.3%",">80%"
"17","Taita Taveta","Women (15-24 years)","using_condoms",82.3,"Taita Taveta, 82.3%",">80%"
"18","Taita Taveta","Women (15-24 years)","hivprevention_knowledge",61,"Taita Taveta, 61%","40-80%"
"19","Garissa","Women (15-24 years)","limit_sex",55.3,"Garissa, 55.3%","40-80%"
"20","Garissa","Women (15-24 years)","using_condoms",27.7,"Garissa, 27.7%","<40%"
"21","Garissa","Women (15-24 years)","hivprevention_knowledge",15,"Garissa, 15%","<40%"
"22","Wajir","Women (15-24 years)","limit_sex",76.3,"Wajir, 76.3%","40-80%"
"23","Wajir","Women (15-24 years)","using_condoms",45.9,"Wajir, 45.9%","40-80%"
"24","Wajir","Women (15-24 years)","hivprevention_knowledge",26.9,"Wajir, 26.9%","<40%"
"25","Mandera","Women (15-24 years)","limit_sex",26.2,"Mandera, 26.2%","<40%"
"26","Mandera","Women (15-24 years)","using_condoms",15,"Mandera, 15%","<40%"
"27","Mandera","Women (15-24 years)","hivprevention_knowledge",4.5,"Mandera, 4.5%","<40%"
"28","Marsabit","Women (15-24 years)","limit_sex",58.6,"Marsabit, 58.6%","40-80%"
"29","Marsabit","Women (15-24 years)","using_condoms",58.2,"Marsabit, 58.2%","40-80%"
"30","Marsabit","Women (15-24 years)","hivprevention_knowledge",26,"Marsabit, 26%","<40%"
"31","Isiolo","Women (15-24 years)","limit_sex",75.7,"Isiolo, 75.7%","40-80%"
"32","Isiolo","Women (15-24 years)","using_condoms",68,"Isiolo, 68%","40-80%"
"33","Isiolo","Women (15-24 years)","hivprevention_knowledge",35.7,"Isiolo, 35.7%","<40%"
"34","Meru","Women (15-24 years)","limit_sex",84.8,"Meru, 84.8%",">80%"
"35","Meru","Women (15-24 years)","using_condoms",66.2,"Meru, 66.2%","40-80%"
"36","Meru","Women (15-24 years)","hivprevention_knowledge",41.1,"Meru, 41.1%","40-80%"
"37","Tharaka Nithi","Women (15-24 years)","limit_sex",90.1,"Tharaka Nithi, 90.1%",">80%"
"38","Tharaka Nithi","Women (15-24 years)","using_condoms",74.4,"Tharaka Nithi, 74.4%","40-80%"
"39","Tharaka Nithi","Women (15-24 years)","hivprevention_knowledge",51.5,"Tharaka Nithi, 51.5%","40-80%"
"40","Embu","Women (15-24 years)","limit_sex",84.5,"Embu, 84.5%",">80%"
"41","Embu","Women (15-24 years)","using_condoms",79.6,"Embu, 79.6%","40-80%"
"42","Embu","Women (15-24 years)","hivprevention_knowledge",49.4,"Embu, 49.4%","40-80%"
"43","Kitui","Women (15-24 years)","limit_sex",86.5,"Kitui, 86.5%",">80%"
"44","Kitui","Women (15-24 years)","using_condoms",75.4,"Kitui, 75.4%","40-80%"
"45","Kitui","Women (15-24 years)","hivprevention_knowledge",65.6,"Kitui, 65.6%","40-80%"
"46","Machakos","Women (15-24 years)","limit_sex",98.1,"Machakos, 98.1%",">80%"
"47","Machakos","Women (15-24 years)","using_condoms",88.1,"Machakos, 88.1%",">80%"
"48","Machakos","Women (15-24 years)","hivprevention_knowledge",68.1,"Machakos, 68.1%","40-80%"
"49","Makueni","Women (15-24 years)","limit_sex",88.2,"Makueni, 88.2%",">80%"
"50","Makueni","Women (15-24 years)","using_condoms",76.3,"Makueni, 76.3%","40-80%"
"51","Makueni","Women (15-24 years)","hivprevention_knowledge",55,"Makueni, 55%","40-80%"
"52","Nyandarua","Women (15-24 years)","limit_sex",96.2,"Nyandarua, 96.2%",">80%"
"53","Nyandarua","Women (15-24 years)","using_condoms",80.2,"Nyandarua, 80.2%","40-80%"
"54","Nyandarua","Women (15-24 years)","hivprevention_knowledge",59.1,"Nyandarua, 59.1%","40-80%"
"55","Nyeri","Women (15-24 years)","limit_sex",86.8,"Nyeri, 86.8%",">80%"
"56","Nyeri","Women (15-24 years)","using_condoms",88.2,"Nyeri, 88.2%",">80%"
"57","Nyeri","Women (15-24 years)","hivprevention_knowledge",62,"Nyeri, 62%","40-80%"
"58","Kirinyaga","Women (15-24 years)","limit_sex",92.9,"Kirinyaga, 92.9%",">80%"
"59","Kirinyaga","Women (15-24 years)","using_condoms",82.2,"Kirinyaga, 82.2%",">80%"
"60","Kirinyaga","Women (15-24 years)","hivprevention_knowledge",65,"Kirinyaga, 65%","40-80%"
"61","Muranga","Women (15-24 years)","limit_sex",89.5,"Muranga, 89.5%",">80%"
"62","Muranga","Women (15-24 years)","using_condoms",81.7,"Muranga, 81.7%",">80%"
"63","Muranga","Women (15-24 years)","hivprevention_knowledge",47.3,"Muranga, 47.3%","40-80%"
"64","Kiambu","Women (15-24 years)","limit_sex",85.3,"Kiambu, 85.3%",">80%"
"65","Kiambu","Women (15-24 years)","using_condoms",80.3,"Kiambu, 80.3%","40-80%"
"66","Kiambu","Women (15-24 years)","hivprevention_knowledge",50.8,"Kiambu, 50.8%","40-80%"
"67","Turkana","Women (15-24 years)","limit_sex",75.6,"Turkana, 75.6%","40-80%"
"68","Turkana","Women (15-24 years)","using_condoms",67,"Turkana, 67%","40-80%"
"69","Turkana","Women (15-24 years)","hivprevention_knowledge",23.2,"Turkana, 23.2%","<40%"
"70","West Pokot","Women (15-24 years)","limit_sex",79.6,"West Pokot, 79.6%","40-80%"
"71","West Pokot","Women (15-24 years)","using_condoms",74.7,"West Pokot, 74.7%","40-80%"
"72","West Pokot","Women (15-24 years)","hivprevention_knowledge",43.7,"West Pokot, 43.7%","40-80%"
"73","Samburu","Women (15-24 years)","limit_sex",84.8,"Samburu, 84.8%",">80%"
"74","Samburu","Women (15-24 years)","using_condoms",67.3,"Samburu, 67.3%","40-80%"
