Background characteristic,Percentage who have experienced physical violence since age 15,Often,Sometimes,Often or sometimes,Number
Mombasa,24.50,2.1,9.4,11.5,500
Kwale,13.10,3,8.3,11.3,264
Kilifi,20.10,1.6,5.9,8.3,491
Tana River,35.80,1.5,21.8,23.2,81
Lamu,33.90,4.3,7.7,12,51
Taita Taveta,29.50,2.1,5.4,7.4,110
Garissa,21.00,6.4,6.4,12.8,148
Wajir,13.20,1.4,4.1,5.5,84
Mandera,8.60,0.7,2.6,3.3,104
Marsabit,16.40,1.7,12.3,14.2,68
Isiolo,45.60,9.8,19.5,29.3,69
Meru,35.80,4.9,10.2,15.1,547
Tharaka Nithi,34.60,2.8,11,13.9,146
Embu,40.30,5.6,22.1,27.7,207
Kitui,11.50,0.5,4.1,4.7,391
Machakos,25.70,2.8,7.4,10.1,515
Makueni,22.70,2.2,9.7,11.9,362
Nyandarua,24.30,1.4,3.6,5,222
Nyeri,36.90,3.1,11.7,15.4,276
Kirinyaga,39.60,1.2,10.4,12.5,263
Muranga,53.70,6.3,15.7,22,359
Kiambu,41.70,5.6,12.2,17.9,"1,091"
Turkana,42.40,5,14.9,19.9,176
West Pokot,27.10,4.2,14.8,19.1,205
Samburu,48.60,9.7,18.7,28.5,87
Trans Nzoia,40.80,5,12.2,17.2,351
Uasin Gishu,41.90,2.3,9.7,12.4,495
Elgeyo Marakwet,30.20,1.7,14.2,15.9,119
Nandi,39.40,2.5,12.5,15,334
Baringo,37.90,8.5,10.3,19.6,207
Laikipia,34.50,2.9,8.8,11.7,175
Nakuru,23.50,1.2,8.2,9.4,898
Narok,40.50,3.6,12.6,16.3,376
Kajiado,36.10,5.6,11,17,471
Kericho,16.30,2.1,8,10.2,386
Bomet,32.80,1.6,9.1,10.7,369
Kakamega,40.10,3.5,15.5,19.1,707
Vihiga,33.80,3.1,13.9,17.1,195
Bungoma,62.20,4,24.8,29.4,623
Busia,38.40,6.5,14.6,21.1,309
Siaya,23.60,2.1,14.8,16.9,291
Kisumu,36.00,1.7,24.1,26,420
Homa Bay,53.50,6.9,19.7,26.6,352
Migori,51.10,4.7,24.7,29.5,364
Kisii,35.70,4.9,14.8,19.8,404
Nyamira,33.30,1.8,7.1,11.3,176
Nairobi,29.70,3.6,9.9,13.5,"2,088"
Total ,33.90,3.5,12.1,15.8,"16,926"
