County,Category,Proportion,Participants,Names
Mombasa,"Legislators, Administrators & Managers",15.3,Women,"Mombasa, 15.3%"
Mombasa,Professionals,10.7,Women,"Mombasa, 10.7%"
Mombasa,Technicians & Associate Professionals,9,Women,"Mombasa, 9%"
Mombasa,Secretarial & Clerical Services,2.3,Women,"Mombasa, 2.3%"
Mombasa,Service Workers,29.2,Women,"Mombasa, 29.2%"
Mombasa,Skilled Farm & Wildlife Related Workers,1,Women,"Mombasa, 1%"
Mombasa,Craft & Related Trades Workers,0.2,Women,"Mombasa, 0.2%"
Mombasa,Plant & Machine Operators,1.4,Women,"Mombasa, 1.4%"
Mombasa,Elementary Occupations,28.7,Women,"Mombasa, 28.7%"
Kwale,"Legislators, Administrators & Managers",20.5,Women,"Kwale, 20.5%"
Kwale,Professionals,9.2,Women,"Kwale, 9.2%"
Kwale,Technicians & Associate Professionals,7.8,Women,"Kwale, 7.8%"
Kwale,Secretarial & Clerical Services,3.3,Women,"Kwale, 3.3%"
Kwale,Service Workers,30.7,Women,"Kwale, 30.7%"
Kwale,Skilled Farm & Wildlife Related Workers,2.9,Women,"Kwale, 2.9%"
Kwale,Craft & Related Trades Workers,0.7,Women,"Kwale, 0.7%"
Kwale,Plant & Machine Operators,0,Women,"Kwale, 0%"
Kwale,Elementary Occupations,19.7,Women,"Kwale, 19.7%"
Kilifi,"Legislators, Administrators & Managers",14.2,Women,"Kilifi, 14.2%"
Kilifi,Professionals,7,Women,"Kilifi, 7%"
Kilifi,Technicians & Associate Professionals,5.9,Women,"Kilifi, 5.9%"
Kilifi,Secretarial & Clerical Services,3.7,Women,"Kilifi, 3.7%"
Kilifi,Service Workers,21.8,Women,"Kilifi, 21.8%"
Kilifi,Skilled Farm & Wildlife Related Workers,7.2,Women,"Kilifi, 7.2%"
Kilifi,Craft & Related Trades Workers,1,Women,"Kilifi, 1%"
Kilifi,Plant & Machine Operators,0.4,Women,"Kilifi, 0.4%"
Kilifi,Elementary Occupations,33.7,Women,"Kilifi, 33.7%"
Tana River,"Legislators, Administrators & Managers",11.2,Women,"Tana River, 11.2%"
Tana River,Professionals,6.3,Women,"Tana River, 6.3%"
Tana River,Technicians & Associate Professionals,4.9,Women,"Tana River, 4.9%"
Tana River,Secretarial & Clerical Services,2.2,Women,"Tana River, 2.2%"
Tana River,Service Workers,12.6,Women,"Tana River, 12.6%"
Tana River,Skilled Farm & Wildlife Related Workers,23.2,Women,"Tana River, 23.2%"
Tana River,Craft & Related Trades Workers,1.2,Women,"Tana River, 1.2%"
Tana River,Plant & Machine Operators,0,Women,"Tana River, 0%"
Tana River,Elementary Occupations,38.5,Women,"Tana River, 38.5%"
Lamu,"Legislators, Administrators & Managers",8.1,Women,"Lamu, 8.1%"
Lamu,Professionals,11.8,Women,"Lamu, 11.8%"
Lamu,Technicians & Associate Professionals,6.3,Women,"Lamu, 6.3%"
Lamu,Secretarial & Clerical Services,1.6,Women,"Lamu, 1.6%"
Lamu,Service Workers,17.7,Women,"Lamu, 17.7%"
Lamu,Skilled Farm & Wildlife Related Workers,26.4,Women,"Lamu, 26.4%"
Lamu,Craft & Related Trades Workers,2.9,Women,"Lamu, 2.9%"
Lamu,Plant & Machine Operators,0.6,Women,"Lamu, 0.6%"
Lamu,Elementary Occupations,23.3,Women,"Lamu, 23.3%"
Taita Taveta,"Legislators, Administrators & Managers",10,Women,"Taita Taveta, 10%"
Taita Taveta,Professionals,6,Women,"Taita Taveta, 6%"
Taita Taveta,Technicians & Associate Professionals,10.5,Women,"Taita Taveta, 10.5%"
Taita Taveta,Secretarial & Clerical Services,3.8,Women,"Taita Taveta, 3.8%"
Taita Taveta,Service Workers,19.5,Women,"Taita Taveta, 19.5%"
