Value,Category,Proportion,Participants,Background characteristics
15-19,"Legislators, Administrators & Managers",5.5,Women,Age
15-19,Professionals,2.7,Women,Age
15-19,Technicians & Associate Professionals,1.4,Women,Age
15-19,Secretarial & Clerical Services,0.6,Women,Age
15-19,Service Workers,17.4,Women,Age
15-19,Skilled Farm & Wildlife Related Workers,36.4,Women,Age
15-19,Craft & Related Trades Workers,1.1,Women,Age
15-19,Plant & Machine Operators,0.4,Women,Age
15-19,Elementary Occupations,33.1,Women,Age
20-24,"Legislators, Administrators & Managers",8.7,Women,Age
20-24,Professionals,5,Women,Age
20-24,Technicians & Associate Professionals,6.1,Women,Age
20-24,Secretarial & Clerical Services,3.8,Women,Age
20-24,Service Workers,26.4,Women,Age
20-24,Skilled Farm & Wildlife Related Workers,14.8,Women,Age
20-24,Craft & Related Trades Workers,1.3,Women,Age
20-24,Plant & Machine Operators,0.8,Women,Age
20-24,Elementary Occupations,28.3,Women,Age
25-29,"Legislators, Administrators & Managers",11.1,Women,Age
25-29,Professionals,6.3,Women,Age
25-29,Technicians & Associate Professionals,11.8,Women,Age
25-29,Secretarial & Clerical Services,2.5,Women,Age
25-29,Service Workers,23.8,Women,Age
25-29,Skilled Farm & Wildlife Related Workers,15.6,Women,Age
25-29,Craft & Related Trades Workers,1.2,Women,Age
25-29,Plant & Machine Operators,0.6,Women,Age
25-29,Elementary Occupations,23.8,Women,Age
30-34,"Legislators, Administrators & Managers",12.7,Women,Age
30-34,Professionals,5.9,Women,Age
30-34,Technicians & Associate Professionals,8.9,Women,Age
30-34,Secretarial & Clerical Services,1.9,Women,Age
30-34,Service Workers,21.6,Women,Age
30-34,Skilled Farm & Wildlife Related Workers,20.7,Women,Age
30-34,Craft & Related Trades Workers,1,Women,Age
30-34,Plant & Machine Operators,0.7,Women,Age
30-34,Elementary Occupations,24.3,Women,Age
35-39,"Legislators, Administrators & Managers",10,Women,Age
35-39,Professionals,6.9,Women,Age
35-39,Technicians & Associate Professionals,8.1,Women,Age
35-39,Secretarial & Clerical Services,1.6,Women,Age
35-39,Service Workers,21.8,Women,Age
35-39,Skilled Farm & Wildlife Related Workers,22.4,Women,Age
35-39,Craft & Related Trades Workers,1.5,Women,Age
35-39,Plant & Machine Operators,1.2,Women,Age
35-39,Elementary Occupations,24.6,Women,Age
40-44,"Legislators, Administrators & Managers",11,Women,Age
40-44,Professionals,4.8,Women,Age
40-44,Technicians & Associate Professionals,8.6,Women,Age
40-44,Secretarial & Clerical Services,1.6,Women,Age
40-44,Service Workers,16.5,Women,Age
40-44,Skilled Farm & Wildlife Related Workers,28.2,Women,Age
40-44,Craft & Related Trades Workers,1.6,Women,Age
40-44,Plant & Machine Operators,1.3,Women,Age
40-44,Elementary Occupations,24.9,Women,Age
45-49,"Legislators, Administrators & Managers",9,Women,Age
45-49,Professionals,6.3,Women,Age
45-49,Technicians & Associate Professionals,8.1,Women,Age
45-49,Secretarial & Clerical Services,1.2,Women,Age
45-49,Service Workers,14,Women,Age
45-49,Skilled Farm & Wildlife Related Workers,32.9,Women,Age
45-49,Craft & Related Trades Workers,1,Women,Age
45-49,Plant & Machine Operators,0.4,Women,Age
45-49,Elementary Occupations,25.3,Women,Age
Never married,"Legislators, Administrators & Managers",8.9,Women,Marital Status
Never married,Professionals,6.7,Women,Marital Status
Never married,Technicians & Associate Professionals,8.7,Women,Marital Status
Never married,Secretarial & Clerical Services,3.3,Women,Marital Status
Never married,Service Workers,20.9,Women,Marital Status
Never married,Skilled Farm & Wildlife Related Workers,16.4,Women,Marital Status
Never married,Craft & Related Trades Workers,1.3,Women,Marital Status
Never married,Plant & Machine Operators,0.8,Women,Marital Status
Never married,Elementary Occupations,28.2,Women,Marital Status
Married or living together,"Legislators, Administrators & Managers",11.1,Women,Marital Status
Married or living together,Professionals,5.7,Women,Marital Status
Married or living together,Technicians & Associate Professionals,9.1,Women,Marital Status
