County,Reason For Migration,Proportion,Participants,Names
Mombasa,Employment,50.3,Women,"Mombasa, 50.3%"
Mombasa,Education/training,14.2,Women,"Mombasa, 14.2%"
Mombasa,Marriage formation,16.3,Women,"Mombasa, 16.3%"
Mombasa,Family reasons,16.5,Women,"Mombasa, 16.5%"
Mombasa,Forced displacment,0.9,Women,"Mombasa, 0.9%"
Mombasa,Other,1.9,Women,"Mombasa, 1.9%"
Kwale,Employment,23.7,Women,"Kwale, 23.7%"
Kwale,Education/training,4.5,Women,"Kwale, 4.5%"
Kwale,Marriage formation,54.2,Women,"Kwale, 54.2%"
Kwale,Family reasons,17.6,Women,"Kwale, 17.6%"
Kwale,Forced displacment,0,Women,"Kwale, 0%"
Kwale,Other,0,Women,"Kwale, 0%"
Kilifi,Employment,30.6,Women,"Kilifi, 30.6%"
Kilifi,Education/training,3.9,Women,"Kilifi, 3.9%"
Kilifi,Marriage formation,50.2,Women,"Kilifi, 50.2%"
Kilifi,Family reasons,13.4,Women,"Kilifi, 13.4%"
Kilifi,Forced displacment,1.6,Women,"Kilifi, 1.6%"
Kilifi,Other,0.2,Women,"Kilifi, 0.2%"
Tana River,Employment,55.8,Women,"Tana River, 55.8%"
Tana River,Education/training,1.4,Women,"Tana River, 1.4%"
Tana River,Marriage formation,20.4,Women,"Tana River, 20.4%"
Tana River,Family reasons,19.8,Women,"Tana River, 19.8%"
Tana River,Forced displacment,2.6,Women,"Tana River, 2.6%"
Tana River,Other,0,Women,"Tana River, 0%"
Lamu,Employment,35.9,Women,"Lamu, 35.9%"
Lamu,Education/training,2.3,Women,"Lamu, 2.3%"
Lamu,Marriage formation,26.5,Women,"Lamu, 26.5%"
Lamu,Family reasons,28.7,Women,"Lamu, 28.7%"
Lamu,Forced displacment,2.4,Women,"Lamu, 2.4%"
Lamu,Other,4.3,Women,"Lamu, 4.3%"
Taita Taveta,Employment,29,Women,"Taita Taveta, 29%"
Taita Taveta,Education/training,3.9,Women,"Taita Taveta, 3.9%"
Taita Taveta,Marriage formation,31,Women,"Taita Taveta, 31%"
Taita Taveta,Family reasons,34.1,Women,"Taita Taveta, 34.1%"
Taita Taveta,Forced displacment,0,Women,"Taita Taveta, 0%"
Taita Taveta,Other,2,Women,"Taita Taveta, 2%"
Garissa,Employment,49.8,Women,"Garissa, 49.8%"
Garissa,Education/training,5.9,Women,"Garissa, 5.9%"
Garissa,Marriage formation,17,Women,"Garissa, 17%"
Garissa,Family reasons,24.1,Women,"Garissa, 24.1%"
Garissa,Forced displacment,0.8,Women,"Garissa, 0.8%"
Garissa,Other,2.4,Women,"Garissa, 2.4%"
Wajir,Employment,18.8,Women,"Wajir, 18.8%"
Wajir,Education/training,7.6,Women,"Wajir, 7.6%"
Wajir,Marriage formation,48.9,Women,"Wajir, 48.9%"
Wajir,Family reasons,21.9,Women,"Wajir, 21.9%"
Wajir,Forced displacment,2.2,Women,"Wajir, 2.2%"
Wajir,Other,0.6,Women,"Wajir, 0.6%"
Mandera,Employment,29.3,Women,"Mandera, 29.3%"
Mandera,Education/training,11.3,Women,"Mandera, 11.3%"
Mandera,Marriage formation,33.8,Women,"Mandera, 33.8%"
Mandera,Family reasons,15.9,Women,"Mandera, 15.9%"
Mandera,Forced displacment,9.7,Women,"Mandera, 9.7%"
Mandera,Other,0,Women,"Mandera, 0%"
Marsabit,Employment,NA,Women,"Marsabit, NA%"
Marsabit,Education/training,NA,Women,"Marsabit, NA%"
Marsabit,Marriage formation,NA,Women,"Marsabit, NA%"
Marsabit,Family reasons,NA,Women,"Marsabit, NA%"
Marsabit,Forced displacment,NA,Women,"Marsabit, NA%"
Marsabit,Other,NA,Women,"Marsabit, NA%"
Isiolo,Employment,46.5,Women,"Isiolo, 46.5%"
Isiolo,Education/training,7.5,Women,"Isiolo, 7.5%"
Isiolo,Marriage formation,20.3,Women,"Isiolo, 20.3%"
Isiolo,Family reasons,22.2,Women,"Isiolo, 22.2%"
Isiolo,Forced displacment,1.3,Women,"Isiolo, 1.3%"
Isiolo,Other,2.2,Women,"Isiolo, 2.2%"
Meru,Employment,24.9,Women,"Meru, 24.9%"
Meru,Education/training,2.5,Women,"Meru, 2.5%"
Meru,Marriage formation,49.5,Women,"Meru, 49.5%"
Meru,Family reasons,20.1,Women,"Meru, 20.1%"
Meru,Forced displacment,0.2,Women,"Meru, 0.2%"
Meru,Other,2.8,Women,"Meru, 2.8%"
Tharaka Nithi,Employment,15.8,Women,"Tharaka Nithi, 15.8%"
Tharaka Nithi,Education/training,5.2,Women,"Tharaka Nithi, 5.2%"
Tharaka Nithi,Marriage formation,58.8,Women,"Tharaka Nithi, 58.8%"
Tharaka Nithi,Family reasons,18.1,Women,"Tharaka Nithi, 18.1%"
Tharaka Nithi,Forced displacment,0.7,Women,"Tharaka Nithi, 0.7%"
Tharaka Nithi,Other,1.4,Women,"Tharaka Nithi, 1.4%"
Embu,Employment,26,Women,"Embu, 26%"
Embu,Education/training,3.1,Women,"Embu, 3.1%"
Embu,Marriage formation,44.2,Women,"Embu, 44.2%"
Embu,Family reasons,25.9,Women,"Embu, 25.9%"
Embu,Forced displacment,0,Women,"Embu, 0%"
Embu,Other,0.8,Women,"Embu, 0.8%"
Kitui,Employment,12.6,Women,"Kitui, 12.6%"
Kitui,Education/training,8.5,Women,"Kitui, 8.5%"
Kitui,Marriage formation,56.8,Women,"Kitui, 56.8%"
Kitui,Family reasons,21.9,Women,"Kitui, 21.9%"
Kitui,Forced displacment,0,Women,"Kitui, 0%"
Kitui,Other,0.2,Women,"Kitui, 0.2%"
Machakos,Employment,26.1,Women,"Machakos, 26.1%"
