County,civil.registration,civil.registration.with.certificate
Mombasa,35.0,29.9
Kwale,26.1,25.1
Kilifi,13.2,11.9
Tana River,9.3,7.4
Lamu,46.6,32.9
Taita/Taveta,16.1,13.4
Garissa,52.2,34.3
Wajir,7.5,6.6
Mandera,32.1,5.0
Marsabit,3.4,3.4
Isiolo,40.3,28.9
Meru,21.5,17.7
Tharaka-Nithi,26.2,21.2
Embu,26.6,24.7
Kitui,16.5,15.7
Machakos,17.4,15.0
Makueni,20.4,18.5
Nyandarua,14.3,10.0
Nyeri,20.1,16.8
Kirinyaga,17.1,14.2
Murang’a,17.8,10.6
Kiambu,14.8,10.4
Turkana,18.2,18.2
West Pokot,9.4,7.9
Samburu,6.9,5.9
Trans Nzoia,17.4,13.1
Uasin Gishu,24.6,21.7
Elgeyo/Marakwet,14.8,13.2
Nandi,25.8,24.8
Baringo,18.4,11.3
Laikipia,15.6,13.3
Nakuru,15.6,12.6
Narok,12.9,10.6
Kajiado,22.5,19.7
Kericho,37.6,28.8
Bomet,30.1,16.9
Kakamega,14.5,11.0
Vihiga,11.7,8.3
Bungoma,14.3,11.3
Busia,12.1,10.6
Siaya,10.5,8.0
Kisumu,12.8,11.6
Homa Bay,11.4,8.2
Migori,15.8,8.4
Kisii,12.4,11.3
Nyamira,8.6,6.6
Nairobi City,24.3,21.3
