County,women.20_49,women.25_49,men.25_54,men.35_54
Mombasa,a,22.1,a,25.5
Kwale,19.7,19.2,24.4,24.2
Kilifi,a,19.5,a,25.7
Tana River,18.7,18.8,23.9,24.5
Lamu,a,20.3,a,25.5
Taita/Taveta,a,21.6,a,28.0
Garissa,19.1,18.7,a,25.1
Wajir,19.5,19.2,a,26.0
Mandera,19.0,18.8,a,25.7
Marsabit,19.5,19.7,a,27.5
Isiolo,a,20.0,a,24.9
Meru,a,20.0,a,25.5
Tharaka-Nithi,a,21.3,24.5,24.2
Embu,a,21.9,a,26.7
Kitui,a,20.6,a,26.4
Machakos,a,22.2,a,25.4
Makueni,a,21.9,a,25.7
Nyandarua,a,20.5,a,25.7
Nyeri,a,22.9,a,27.3
Kirinyaga,a,21.6,a,27.3
Murang’a,a,21.9,a,25.1
Kiambu,a,22.4,a,26.6
Turkana,a,20.4,25.0,25.4
West Pokot,19.7,19.6,24.1,23.9
Samburu,18.2,17.7,a,28.0
Trans Nzoia,a,20.3,a,26.4
Uasin Gishu,a,22.0,a,26.7
Elgeyo/Marakwet,a,21.5,a,25.3
Nandi,a,21.8,a,25.6
Baringo,a,21.6,a,26.2
Laikipia,a,21.4,a,25.8
Nakuru,a,21.3,a,25.5
Narok,19.1,18.5,a,25.7
Kajiado,a,22.0,a,26.9
Kericho,a,21.1,a,26.1
Bomet,19.7,19.2,a,25.6
Kakamega,a,20.8,a,26.3
Vihiga,a,20.6,24.8,24.5
Bungoma,a,20.0,24.4,23.8
Busia,a,20.0,24.1,23.6
Siaya,19.9,19.2,a,25.2
Kisumu,a,19.7,a,25.1
Homa Bay,19.1,18.4,23.9,23.4
Migori,18.4,18.0,23.3,23.0
Kisii,19.9,19.5,24.7,24.5
Nyamira,19.6,19.2,a,25.2
Nairobi City,a,23.0,a,26.7
