County,women.20_49,women.25_49,men.20_54,men.25_54
Mombasa,19.7,19.6,18.7,18.6
Kwale,18.1,17.4,18.2,18.2
Kilifi,18.3,17.9,18.7,18.8
Tana River,17.7,17.4,a,20.9
Lamu,18.5,18.4,a,20.7
Taita/Taveta,18.6,18.6,18.1,18.3
Garissa,17.7,17.1,a,22.3
Wajir,17.7,17.4,a,22.4
Mandera,18.1,17.8,a,24.9
Marsabit,18.2,18.2,19.9,20.3
Isiolo,18.6,18.4,17.4,17.4
Meru,17.9,17.8,17.8,17.6
Tharaka-Nithi,19.1,18.9,15.8,15.7
Embu,18.6,18.6,18.9,19.6
Kitui,18.2,18.0,18.5,18.6
Machakos,18.5,18.3,15.9,15.7
Makueni,18.4,18.0,18.2,18.4
Nyandarua,18.8,18.5,18.9,19.3
Nyeri,19.5,19.4,18.7,19.0
Kirinyaga,18.5,18.4,a,22.1
Murang’a,17.9,17.5,18.2,18.0
Kiambu,19.4,19.3,18.2,18.0
Turkana,18.4,18.4,18.1,18.4
West Pokot,15.8,15.7,15.2,15.4
Samburu,15.6,15.6,18.6,19.0
Trans Nzoia,18.0,18.0,17.6,17.3
Uasin Gishu,19.0,18.7,17.4,17.2
Elgeyo/Marakwet,18.0,17.9,15.7,15.7
Nandi,17.7,17.1,16.9,16.4
Baringo,16.6,16.2,16.5,16.5
Laikipia,18.8,18.6,17.7,17.9
Nakuru,18.7,18.4,15.9,15.7
Narok,16.4,16.0,16.5,16.7
Kajiado,18.6,18.7,16.9,16.5
Kericho,15.9,15.8,15.7,15.7
Bomet,17.2,16.8,18.1,18.3
Kakamega,17.6,17.4,16.9,16.7
Vihiga,17.7,17.5,17.5,17.1
Bungoma,17.8,17.6,18.1,18.4
Busia,16.4,16.2,17.7,17.4
Siaya,16.3,16.0,17.0,16.4
Kisumu,16.5,16.1,17.1,17.0
Homa Bay,16.0,15.7,17.0,16.9
Migori,16.0,15.8,15.9,16.0
Kisii,16.6,16.3,16.9,16.8
Nyamira,16.1,15.9,16.4,16.3
Nairobi City,19.0,18.9,18.1,18.2
