County,category,Value,Participants,type
Mombasa,Registred by civil authority,35,All,Marriage registration
Mombasa,Registred by civil authority with certificate,29.9,All,Marriage registration
Kwale,Registred by civil authority,26.1,All,Marriage registration
Kwale,Registred by civil authority with certificate,25.1,All,Marriage registration
Kilifi,Registred by civil authority,13.2,All,Marriage registration
Kilifi,Registred by civil authority with certificate,11.9,All,Marriage registration
Tana River,Registred by civil authority,9.3,All,Marriage registration
Tana River,Registred by civil authority with certificate,7.4,All,Marriage registration
Lamu,Registred by civil authority,46.6,All,Marriage registration
Lamu,Registred by civil authority with certificate,32.9,All,Marriage registration
Taita Taveta,Registred by civil authority,16.1,All,Marriage registration
Taita Taveta,Registred by civil authority with certificate,13.4,All,Marriage registration
Garissa,Registred by civil authority,52.2,All,Marriage registration
Garissa,Registred by civil authority with certificate,34.3,All,Marriage registration
Wajir,Registred by civil authority,7.5,All,Marriage registration
Wajir,Registred by civil authority with certificate,6.6,All,Marriage registration
Mandera,Registred by civil authority,32.1,All,Marriage registration
Mandera,Registred by civil authority with certificate,5,All,Marriage registration
Marsabit,Registred by civil authority,3.4,All,Marriage registration
Marsabit,Registred by civil authority with certificate,3.4,All,Marriage registration
Isiolo,Registred by civil authority,40.3,All,Marriage registration
Isiolo,Registred by civil authority with certificate,28.9,All,Marriage registration
Meru,Registred by civil authority,21.5,All,Marriage registration
Meru,Registred by civil authority with certificate,17.7,All,Marriage registration
Tharaka Nithi,Registred by civil authority,26.2,All,Marriage registration
Tharaka Nithi,Registred by civil authority with certificate,21.2,All,Marriage registration
Embu,Registred by civil authority,26.6,All,Marriage registration
Embu,Registred by civil authority with certificate,24.7,All,Marriage registration
Kitui,Registred by civil authority,16.5,All,Marriage registration
Kitui,Registred by civil authority with certificate,15.7,All,Marriage registration
Machakos,Registred by civil authority,17.4,All,Marriage registration
Machakos,Registred by civil authority with certificate,15,All,Marriage registration
Makueni,Registred by civil authority,20.4,All,Marriage registration
Makueni,Registred by civil authority with certificate,18.5,All,Marriage registration
Nyandarua,Registred by civil authority,14.3,All,Marriage registration
Nyandarua,Registred by civil authority with certificate,10,All,Marriage registration
Nyeri,Registred by civil authority,20.1,All,Marriage registration
Nyeri,Registred by civil authority with certificate,16.8,All,Marriage registration
Kirinyaga,Registred by civil authority,17.1,All,Marriage registration
Kirinyaga,Registred by civil authority with certificate,14.2,All,Marriage registration
Muranga,Registred by civil authority,17.8,All,Marriage registration
Muranga,Registred by civil authority with certificate,10.6,All,Marriage registration
Kiambu,Registred by civil authority,14.8,All,Marriage registration
Kiambu,Registred by civil authority with certificate,10.4,All,Marriage registration
Turkana,Registred by civil authority,18.2,All,Marriage registration
Turkana,Registred by civil authority with certificate,18.2,All,Marriage registration
West Pokot,Registred by civil authority,9.4,All,Marriage registration
West Pokot,Registred by civil authority with certificate,7.9,All,Marriage registration
Samburu,Registred by civil authority,6.9,All,Marriage registration
Samburu,Registred by civil authority with certificate,5.9,All,Marriage registration
Trans Nzoia,Registred by civil authority,17.4,All,Marriage registration
Trans Nzoia,Registred by civil authority with certificate,13.1,All,Marriage registration
Uasin Gishu,Registred by civil authority,24.6,All,Marriage registration
Uasin Gishu,Registred by civil authority with certificate,21.7,All,Marriage registration
Elgeyo Marakwet,Registred by civil authority,14.8,All,Marriage registration
Elgeyo Marakwet,Registred by civil authority with certificate,13.2,All,Marriage registration
Nandi,Registred by civil authority,25.8,All,Marriage registration
Nandi,Registred by civil authority with certificate,24.8,All,Marriage registration
Baringo,Registred by civil authority,18.4,All,Marriage registration
Baringo,Registred by civil authority with certificate,11.3,All,Marriage registration
Laikipia,Registred by civil authority,15.6,All,Marriage registration
Laikipia,Registred by civil authority with certificate,13.3,All,Marriage registration
Nakuru,Registred by civil authority,15.6,All,Marriage registration
Nakuru,Registred by civil authority with certificate,12.6,All,Marriage registration
Narok,Registred by civil authority,12.9,All,Marriage registration
Narok,Registred by civil authority with certificate,10.6,All,Marriage registration
Kajiado,Registred by civil authority,22.5,All,Marriage registration
