Indicator,Number,Participants,Indicator1,difficulty,difficultyprop,Indicator2,label
5–14,9598,Women,Age_category,Some Difficulty,7.3,Age category,7%
5–14,9598,Women,Age_category,Alot of difficulty,1.7,Age category,2%
5–14,9598,Women,Age_category,Cannot do at all,0.4,Age category,<1%
5–14,9598,Women,Age_category,Seeing,3.4,Age category,3%
5–14,9598,Women,Age_category,Hearing,2.5,Age category,2%
5–14,9598,Women,Age_category,Communicating,1.1,Age category,1%
5–14,9598,Women,Age_category,Remembering_concentrating,2,Age category,2%
5–14,9598,Women,Age_category,Walking/Climbing steps,1.1,Age category,1%
5–14,9598,Women,Age_category,Washing all over/Dressing,1.5,Age category,2%
15–49,17439,Women,Age_category,Some Difficulty,13.6,Age category,14%
15–49,17439,Women,Age_category,Alot of difficulty,2.7,Age category,3%
15–49,17439,Women,Age_category,Cannot do at all,0.2,Age category,<1%
15–49,17439,Women,Age_category,Seeing,9.7,Age category,10%
15–49,17439,Women,Age_category,Hearing,2.5,Age category,2%
15–49,17439,Women,Age_category,Communicating,1,Age category,1%
15–49,17439,Women,Age_category,Remembering_concentrating,3.5,Age category,4%
15–49,17439,Women,Age_category,Walking/Climbing steps,4.5,Age category,4%
15–49,17439,Women,Age_category,Washing all over/Dressing,1.1,Age category,1%
50+,5016,Women,Age_category,Some Difficulty,40.7,Age category,41%
50+,5016,Women,Age_category,Alot of difficulty,20.5,Age category,20%
50+,5016,Women,Age_category,Cannot do at all,1.6,Age category,2%
50+,5016,Women,Age_category,Seeing,38.8,Age category,39%
50+,5016,Women,Age_category,Hearing,15.5,Age category,16%
50+,5016,Women,Age_category,Communicating,3.5,Age category,4%
50+,5016,Women,Age_category,Remembering_concentrating,23,Age category,23%
50+,5016,Women,Age_category,Walking/Climbing steps,41.2,Age category,41%
50+,5016,Women,Age_category,Washing all over/Dressing,13.7,Age category,14%
5–14,9491,Men,Age_category,Some Difficulty,7.8,Age category,8%
5–14,9491,Men,Age_category,Alot of difficulty,2.1,Age category,2%
5–14,9491,Men,Age_category,Cannot do at all,0.8,Age category,1%
5–14,9491,Men,Age_category,Seeing,3.4,Age category,3%
5–14,9491,Men,Age_category,Hearing,2.5,Age category,2%
5–14,9491,Men,Age_category,Communicating,1.7,Age category,2%
5–14,9491,Men,Age_category,Remembering_concentrating,2.5,Age category,2%
5–14,9491,Men,Age_category,Walking/Climbing steps,1.5,Age category,2%
5–14,9491,Men,Age_category,Washing all over/Dressing,2.6,Age category,3%
15–49,15806,Men,Age_category,Some Difficulty,10.8,Age category,11%
15–49,15806,Men,Age_category,Alot of difficulty,2.6,Age category,3%
15–49,15806,Men,Age_category,Cannot do at all,0.4,Age category,<1%
15–49,15806,Men,Age_category,Seeing,6.9,Age category,7%
15–49,15806,Men,Age_category,Hearing,2.1,Age category,2%
15–49,15806,Men,Age_category,Communicating,1.4,Age category,1%
15–49,15806,Men,Age_category,Remembering_concentrating,3.3,Age category,3%
15–49,15806,Men,Age_category,Walking/Climbing steps,3.4,Age category,3%
15–49,15806,Men,Age_category,Washing all over/Dressing,1.2,Age category,1%
50+,4111,Men,Age_category,Some Difficulty,36.8,Age category,37%
50+,4111,Men,Age_category,Alot of difficulty,12.6,Age category,13%
50+,4111,Men,Age_category,Cannot do at all,1.6,Age category,2%
50+,4111,Men,Age_category,Seeing,34,Age category,34%
50+,4111,Men,Age_category,Hearing,11.5,Age category,12%
50+,4111,Men,Age_category,Communicating,3.3,Age category,3%
50+,4111,Men,Age_category,Remembering_concentrating,14.6,Age category,15%
50+,4111,Men,Age_category,Walking/Climbing steps,23.6,Age category,24%
50+,4111,Men,Age_category,Washing all over/Dressing,8.8,Age category,9%
Never married,6226,Women,Marital_status,Some Difficulty,11.7,Marital status,12%
Never married,6226,Women,Marital_status,Alot of difficulty,2.9,Marital status,3%
Never married,6226,Women,Marital_status,Cannot do at all,0.6,Marital status,1%
Never married,6226,Women,Marital_status,Seeing,9.2,Marital status,9%
Never married,6226,Women,Marital_status,Hearing,2.8,Marital status,3%
Never married,6226,Women,Marital_status,Communicating,1.8,Marital status,2%
Never married,6226,Women,Marital_status,Remembering_concentrating,2.8,Marital status,3%
Never married,6226,Women,Marital_status,Walking/Climbing steps,3.7,Marital status,4%
Never married,6226,Women,Marital_status,Washing all over/Dressing,1.5,Marital status,2%
"Married or 
living together",12082,Women,Marital_status,Some Difficulty,19.2,Marital status,19%
"Married or 
living together",12082,Women,Marital_status,Alot of difficulty,4.8,Marital status,5%
"Married or 
living together",12082,Women,Marital_status,Cannot do at all,0.1,Marital status,<1%
"Married or 
living together",12082,Women,Marital_status,Seeing,14.3,Marital status,14%
"Married or 
living together",12082,Women,Marital_status,Hearing,3.9,Marital status,4%
"Married or 
living together",12082,Women,Marital_status,Communicating,0.8,Marital status,1%
"Married or 
living together",12082,Women,Marital_status,Remembering_concentrating,6.3,Marital status,6%
"Married or 
living together",12082,Women,Marital_status,Walking/Climbing steps,10.6,Marital status,11%
"Married or 
living together",12082,Women,Marital_status,Washing all over/Dressing,2.5,Marital status,2%
Widowed,2398,Women,Marital_status,Some Difficulty,39.4,Marital status,39%
Widowed,2398,Women,Marital_status,Alot of difficulty,25.3,Marital status,25%
Widowed,2398,Women,Marital_status,Cannot do at all,3,Marital status,3%
Widowed,2398,Women,Marital_status,Seeing,42.8,Marital status,43%
Widowed,2398,Women,Marital_status,Hearing,19.8,Marital status,20%
Widowed,2398,Women,Marital_status,Communicating,4.9,Marital status,5%
Widowed,2398,Women,Marital_status,Remembering_concentrating,27.6,Marital status,28%
Widowed,2398,Women,Marital_status,Walking/Climbing steps,45.9,Marital status,46%
Widowed,2398,Women,Marital_status,Washing all over/Dressing,17.9,Marital status,18%
"Divorced or 
separated",1748,Women,Marital_status,Some Difficulty,24.2,Marital status,24%
"Divorced or 
separated",1748,Women,Marital_status,Alot of difficulty,7.6,Marital status,8%
"Divorced or 
separated",1748,Women,Marital_status,Cannot do at all,0.1,Marital status,<1%
"Divorced or 
separated",1748,Women,Marital_status,Seeing,17.6,Marital status,18%
"Divorced or 
separated",1748,Women,Marital_status,Hearing,5,Marital status,5%
"Divorced or 
separated",1748,Women,Marital_status,Communicating,1.2,Marital status,1%
"Divorced or 
separated",1748,Women,Marital_status,Remembering_concentrating,9.8,Marital status,10%
"Divorced or 
separated",1748,Women,Marital_status,Walking/Climbing steps,14.4,Marital status,14%
"Divorced or 
separated",1748,Women,Marital_status,Washing all over/Dressing,3.3,Marital status,3%
"Not asked or
missing",9619,Women,Marital_status,Some Difficulty,7.3,Marital status,7%
"Not asked or
missing",9619,Women,Marital_status,Alot of difficulty,1.7,Marital status,2%
"Not asked or
missing",9619,Women,Marital_status,Cannot do at all,0.4,Marital status,<1%
"Not asked or
missing",9619,Women,Marital_status,Seeing,3.5,Marital status,4%
"Not asked or
missing",9619,Women,Marital_status,Hearing,2.5,Marital status,2%
"Not asked or
missing",9619,Women,Marital_status,Communicating,1.1,Marital status,1%
"Not asked or
missing",9619,Women,Marital_status,Remembering_concentrating,2.1,Marital status,2%
"Not asked or
missing",9619,Women,Marital_status,Walking/Climbing steps,1.2,Marital status,1%
"Not asked or
missing",9619,Women,Marital_status,Washing all over/Dressing,1.5,Marital status,2%
Never married,7765,Men,Marital_status,Some Difficulty,8.5,Marital status,8%
Never married,7765,Men,Marital_status,Alot of difficulty,2.7,Marital status,3%
Never married,7765,Men,Marital_status,Cannot do at all,0.8,Marital status,1%
Never married,7765,Men,Marital_status,Seeing,5.2,Marital status,5%
Never married,7765,Men,Marital_status,Hearing,2.3,Marital status,2%
Never married,7765,Men,Marital_status,Communicating,1.9,Marital status,2%
Never married,7765,Men,Marital_status,Remembering_concentrating,3.5,Marital status,4%
Never married,7765,Men,Marital_status,Walking/Climbing steps,2.8,Marital status,3%
Never married,7765,Men,Marital_status,Washing all over/Dressing,1.6,Marital status,2%
"Married or 
living together",10830,Men,Marital_status,Some Difficulty,20.3,Marital status,20%
"Married or 
living together",10830,Men,Marital_status,Alot of difficulty,5.5,Marital status,6%
"Married or 
living together",10830,Men,Marital_status,Cannot do at all,0.4,Marital status,<1%
"Married or 
living together",10830,Men,Marital_status,Seeing,16.7,Marital status,17%
"Married or 
living together",10830,Men,Marital_status,Hearing,4.8,Marital status,5%
"Married or 
living together",10830,Men,Marital_status,Communicating,1.5,Marital status,2%
"Married or 
living together",10830,Men,Marital_status,Remembering_concentrating,6.2,Marital status,6%
"Married or 
living together",10830,Men,Marital_status,Walking/Climbing steps,9.7,Marital status,10%
"Married or 
living together",10830,Men,Marital_status,Washing all over/Dressing,3,Marital status,3%
Widowed,354,Men,Marital_status,Some Difficulty,39.7,Marital status,40%
Widowed,354,Men,Marital_status,Alot of difficulty,16.1,Marital status,16%
Widowed,354,Men,Marital_status,Cannot do at all,5,Marital status,5%
Widowed,354,Men,Marital_status,Seeing,39,Marital status,39%
Widowed,354,Men,Marital_status,Hearing,16,Marital status,16%
Widowed,354,Men,Marital_status,Communicating,4.3,Marital status,4%
Widowed,354,Men,Marital_status,Remembering_concentrating,20.4,Marital status,20%
Widowed,354,Men,Marital_status,Walking/Climbing steps,35.7,Marital status,36%
Widowed,354,Men,Marital_status,Washing all over/Dressing,18.8,Marital status,19%
