County,Category,Proportion,year
Mombasa,TFR,3.2,2014
Mombasa,women aged 15-49 who are currently pregnant,5.4,2014
Mombasa,Mean number of children ever born to women aged 40-49,4.1,2014
Kwale,TFR,4.7,2014
Kwale,women aged 15-49 who are currently pregnant,7.5,2014
Kwale,Mean number of children ever born to women aged 40-49,5.8,2014
Kilifi,TFR,5.1,2014
Kilifi,women aged 15-49 who are currently pregnant,7.1,2014
Kilifi,Mean number of children ever born to women aged 40-49,6.4,2014
Tana River,TFR,5.8,2014
Tana River,women aged 15-49 who are currently pregnant,10.2,2014
Tana River,Mean number of children ever born to women aged 40-49,7.4,2014
Lamu,TFR,4.3,2014
Lamu,women aged 15-49 who are currently pregnant,5.6,2014
Lamu,Mean number of children ever born to women aged 40-49,5,2014
Taita Taveta,TFR,3.2,2014
Taita Taveta,women aged 15-49 who are currently pregnant,3.7,2014
Taita Taveta,Mean number of children ever born to women aged 40-49,4.3,2014
Garissa,TFR,6.1,2014
Garissa,women aged 15-49 who are currently pregnant,11.7,2014
Garissa,Mean number of children ever born to women aged 40-49,6.8,2014
Wajir,TFR,7.8,2014
Wajir,women aged 15-49 who are currently pregnant,13.6,2014
Wajir,Mean number of children ever born to women aged 40-49,7.9,2014
Mandera,TFR,5.2,2014
Mandera,women aged 15-49 who are currently pregnant,10.6,2014
Mandera,Mean number of children ever born to women aged 40-49,6.4,2014
Marsabit,TFR,5,2014
Marsabit,women aged 15-49 who are currently pregnant,12.7,2014
Marsabit,Mean number of children ever born to women aged 40-49,6,2014
Isiolo,TFR,4.9,2014
Isiolo,women aged 15-49 who are currently pregnant,6.2,2014
Isiolo,Mean number of children ever born to women aged 40-49,6.1,2014
Meru,TFR,3.1,2014
Meru,women aged 15-49 who are currently pregnant,4.8,2014
Meru,Mean number of children ever born to women aged 40-49,4.3,2014
Tharaka Nithi,TFR,3.4,2014
Tharaka Nithi,women aged 15-49 who are currently pregnant,4.4,2014
Tharaka Nithi,Mean number of children ever born to women aged 40-49,4.3,2014
Embu,TFR,3.1,2014
Embu,women aged 15-49 who are currently pregnant,4.5,2014
Embu,Mean number of children ever born to women aged 40-49,4.1,2014
Kitui,TFR,3.9,2014
Kitui,women aged 15-49 who are currently pregnant,4.1,2014
Kitui,Mean number of children ever born to women aged 40-49,5.3,2014
Machakos,TFR,3.4,2014
Machakos,women aged 15-49 who are currently pregnant,3.9,2014
Machakos,Mean number of children ever born to women aged 40-49,4.3,2014
Makueni,TFR,3.3,2014
Makueni,women aged 15-49 who are currently pregnant,4,2014
Makueni,Mean number of children ever born to women aged 40-49,5.5,2014
Nyandarua,TFR,3.5,2014
Nyandarua,women aged 15-49 who are currently pregnant,6,2014
Nyandarua,Mean number of children ever born to women aged 40-49,4.8,2014
Nyeri,TFR,2.7,2014
Nyeri,women aged 15-49 who are currently pregnant,4.8,2014
Nyeri,Mean number of children ever born to women aged 40-49,3.3,2014
Kirinyaga,TFR,2.3,2014
Kirinyaga,women aged 15-49 who are currently pregnant,4.1,2014
Kirinyaga,Mean number of children ever born to women aged 40-49,3.4,2014
Muranga,TFR,3,2014
Muranga,women aged 15-49 who are currently pregnant,4.3,2014
Muranga,Mean number of children ever born to women aged 40-49,3.9,2014
Kiambu,TFR,2.7,2014
Kiambu,women aged 15-49 who are currently pregnant,5,2014
Kiambu,Mean number of children ever born to women aged 40-49,3.6,2014
Turkana,TFR,6.9,2014
Turkana,women aged 15-49 who are currently pregnant,10.6,2014
Turkana,Mean number of children ever born to women aged 40-49,6.4,2014
West Pokot,TFR,7.2,2014
West Pokot,women aged 15-49 who are currently pregnant,10.7,2014
West Pokot,Mean number of children ever born to women aged 40-49,6.4,2014
Samburu,TFR,6.3,2014
Samburu,women aged 15-49 who are currently pregnant,11.6,2014
Samburu,Mean number of children ever born to women aged 40-49,6.5,2014
Trans Nzoia,TFR,5.2,2014
Trans Nzoia,women aged 15-49 who are currently pregnant,6.3,2014
Trans Nzoia,Mean number of children ever born to women aged 40-49,6.6,2014
Uasin Gishu,TFR,3.6,2014
