"","Name","year","category","proportion","proportion_category"
"1","Mombasa",2022,"Women (25-49)",22.2,">=20"
"2","Kwale",2022,"Women (25-49)",20,">=20"
"3","Kilifi",2022,"Women (25-49)",19.9,"<20"
"4","Tana River",2022,"Women (25-49)",19.9,"<20"
"5","Lamu",2022,"Women (25-49)",21.3,">=20"
"6","Taita Taveta",2022,"Women (25-49)",21.3,">=20"
"7","Garissa",2022,"Women (25-49)",20,">=20"
"8","Wajir",2022,"Women (25-49)",21,">=20"
"9","Mandera",2022,"Women (25-49)",20.7,">=20"
"10","Marsabit",2022,"Women (25-49)",21,">=20"
"11","Isiolo",2022,"Women (25-49)",21,">=20"
"12","Meru",2022,"Women (25-49)",20.2,">=20"
"13","Tharaka Nithi",2022,"Women (25-49)",21.2,">=20"
"14","Embu",2022,"Women (25-49)",21.7,">=20"
"15","Kitui",2022,"Women (25-49)",20.7,">=20"
"16","Machakos",2022,"Women (25-49)",21.4,">=20"
"17","Makueni",2022,"Women (25-49)",21.4,">=20"
"18","Nyandarua",2022,"Women (25-49)",20.5,">=20"
"19","Nyeri",2022,"Women (25-49)",21.6,">=20"
"20","Kirinyaga",2022,"Women (25-49)",21.2,">=20"
"21","Muranga",2022,"Women (25-49)",20.8,">=20"
"22","Kiambu",2022,"Women (25-49)",21.9,">=20"
"23","Turkana",2022,"Women (25-49)",21.2,">=20"
"24","West Pokot",2022,"Women (25-49)",19.7,"<20"
"25","Samburu",2022,"Women (25-49)",19.5,"<20"
"26","Trans Nzoia",2022,"Women (25-49)",20,">=20"
"27","Uasin Gishu",2022,"Women (25-49)",21.1,">=20"
"28","Elgeyo Marakwet",2022,"Women (25-49)",21,">=20"
"29","Nandi",2022,"Women (25-49)",20,">=20"
"30","Baringo",2022,"Women (25-49)",20.8,">=20"
"31","Laikipia",2022,"Women (25-49)",21.1,">=20"
"32","Nakuru",2022,"Women (25-49)",20.9,">=20"
"33","Narok",2022,"Women (25-49)",19.2,"<20"
"34","Kajiado",2022,"Women (25-49)",21.5,">=20"
"35","Kericho",2022,"Women (25-49)",20.2,">=20"
"36","Bomet",2022,"Women (25-49)",19.3,"<20"
"37","Kakamega",2022,"Women (25-49)",20.3,">=20"
"38","Vihiga",2022,"Women (25-49)",20.6,">=20"
"39","Bungoma",2022,"Women (25-49)",20.1,">=20"
"40","Busia",2022,"Women (25-49)",19.2,"<20"
"41","Siaya",2022,"Women (25-49)",18.9,"<20"
"42","Kisumu",2022,"Women (25-49)",18.9,"<20"
"43","Homa Bay",2022,"Women (25-49)",18.4,"<20"
"44","Migori",2022,"Women (25-49)",17.9,"<20"
"45","Kisii",2022,"Women (25-49)",19.4,"<20"
"46","Nyamira",2022,"Women (25-49)",19.4,"<20"
"47","Nairobi",2022,"Women (25-49)",22.3,">=20"
