County,women.aged.20_49,women.aged.25_49
Mombasa,a,22.2
Kwale,a,20.0
Kilifi,a,19.9
Tana River,19.8,19.9
Lamu,a,21.3
Taita/Taveta,a,21.3
Garissa,a,20.0
Wajir,a,21.0
Mandera,a,20.7
Marsabit,a,21.0
Isiolo,a,21.0
Meru,a,20.2
Tharaka-Nithi,a,21.2
Embu,a,21.7
Kitui,a,20.7
Machakos,a,21.4
Makueni,a,21.4
Nyandarua,a,20.5
Nyeri,a,21.6
Kirinyaga,a,21.2
Murang’a,a,20.8
Kiambu,a,21.9
Turkana,a,21.2
West Pokot,19.6,19.7
Samburu,19.4,19.5
Trans Nzoia,a,20.0
Uasin Gishu,a,21.1
Elgeyo/Marakwet,a,21.0
Nandi,a,20.0
Baringo,a,20.8
Laikipia,a,21.1
Nakuru,a,20.9
Narok,19.6,19.2
Kajiado,a,21.5
Kericho,a,20.2
Bomet,19.6,19.3
Kakamega,a,20.3
Vihiga,a,20.6
Bungoma,a,20.1
Busia,19.6,19.2
Siaya,19.2,18.9
Kisumu,19.4,18.9
Homa Bay,18.6,18.4
Migori,18.2,17.9
Kisii,19.9,19.4
Nyamira,19.6,19.4
Nairobi City,a,22.3
