Name,year,category,proportion
Mombasa,2022,Women (20-49),NA
Mombasa,2022,Women (25-49),22.2
Kwale,2022,Women (20-49),NA
Kwale,2022,Women (25-49),20
Kilifi,2022,Women (20-49),NA
Kilifi,2022,Women (25-49),19.9
Tana River,2022,Women (20-49),19.8
Tana River,2022,Women (25-49),19.9
Lamu,2022,Women (20-49),NA
Lamu,2022,Women (25-49),21.3
Taita Taveta,2022,Women (20-49),NA
Taita Taveta,2022,Women (25-49),21.3
Garissa,2022,Women (20-49),NA
Garissa,2022,Women (25-49),20
Wajir,2022,Women (20-49),NA
Wajir,2022,Women (25-49),21
Mandera,2022,Women (20-49),NA
Mandera,2022,Women (25-49),20.7
Marsabit,2022,Women (20-49),NA
Marsabit,2022,Women (25-49),21
Isiolo,2022,Women (20-49),NA
Isiolo,2022,Women (25-49),21
Meru,2022,Women (20-49),NA
Meru,2022,Women (25-49),20.2
Tharaka Nithi,2022,Women (20-49),NA
Tharaka Nithi,2022,Women (25-49),21.2
Embu,2022,Women (20-49),NA
Embu,2022,Women (25-49),21.7
Kitui,2022,Women (20-49),NA
Kitui,2022,Women (25-49),20.7
Machakos,2022,Women (20-49),NA
Machakos,2022,Women (25-49),21.4
Makueni,2022,Women (20-49),NA
Makueni,2022,Women (25-49),21.4
Nyandarua,2022,Women (20-49),NA
Nyandarua,2022,Women (25-49),20.5
Nyeri,2022,Women (20-49),NA
Nyeri,2022,Women (25-49),21.6
Kirinyaga,2022,Women (20-49),NA
Kirinyaga,2022,Women (25-49),21.2
Muranga,2022,Women (20-49),NA
Muranga,2022,Women (25-49),20.8
Kiambu,2022,Women (20-49),NA
Kiambu,2022,Women (25-49),21.9
Turkana,2022,Women (20-49),NA
Turkana,2022,Women (25-49),21.2
West Pokot,2022,Women (20-49),19.6
West Pokot,2022,Women (25-49),19.7
Samburu,2022,Women (20-49),19.4
Samburu,2022,Women (25-49),19.5
Trans Nzoia,2022,Women (20-49),NA
Trans Nzoia,2022,Women (25-49),20
Uasin Gishu,2022,Women (20-49),NA
Uasin Gishu,2022,Women (25-49),21.1
Elgeyo Marakwet,2022,Women (20-49),NA
Elgeyo Marakwet,2022,Women (25-49),21
Nandi,2022,Women (20-49),NA
Nandi,2022,Women (25-49),20
Baringo,2022,Women (20-49),NA
Baringo,2022,Women (25-49),20.8
Laikipia,2022,Women (20-49),NA
Laikipia,2022,Women (25-49),21.1
Nakuru,2022,Women (20-49),NA
Nakuru,2022,Women (25-49),20.9
Narok,2022,Women (20-49),19.6
Narok,2022,Women (25-49),19.2
Kajiado,2022,Women (20-49),NA
Kajiado,2022,Women (25-49),21.5
Kericho,2022,Women (20-49),NA
Kericho,2022,Women (25-49),20.2
Bomet,2022,Women (20-49),19.6
Bomet,2022,Women (25-49),19.3
Kakamega,2022,Women (20-49),NA
Kakamega,2022,Women (25-49),20.3
Vihiga,2022,Women (20-49),NA
Vihiga,2022,Women (25-49),20.6
Bungoma,2022,Women (20-49),NA
Bungoma,2022,Women (25-49),20.1
Busia,2022,Women (20-49),19.6
Busia,2022,Women (25-49),19.2
Siaya,2022,Women (20-49),19.2
Siaya,2022,Women (25-49),18.9
Kisumu,2022,Women (20-49),19.4
Kisumu,2022,Women (25-49),18.9
Homa Bay,2022,Women (20-49),18.6
Homa Bay,2022,Women (25-49),18.4
Migori,2022,Women (20-49),18.2
Migori,2022,Women (25-49),17.9
Kisii,2022,Women (20-49),19.9
Kisii,2022,Women (25-49),19.4
Nyamira,2022,Women (20-49),19.6
Nyamira,2022,Women (25-49),19.4
Nairobi,2022,Women (20-49),NA
Nairobi,2022,Women (25-49),22.3
