Name,year,category,proportion
Mombasa,2014,Women (25-29),21.6
Mombasa,2014,Women (30-34),21.9
Mombasa,2014,Women (35-39),22.7
Mombasa,2014,Women (40-44),20.6
Mombasa,2014,Women (45-49),21.3
Mombasa,2014,Women (25-49),21.6
Kwale,2014,Women (25-29),18.7
Kwale,2014,Women (30-34),19.7
Kwale,2014,Women (35-39),19.3
Kwale,2014,Women (40-44),20.6
Kwale,2014,Women (45-49),19.8
Kwale,2014,Women (25-49),19.5
Kilifi,2014,Women (25-29),20.4
Kilifi,2014,Women (30-34),19.9
Kilifi,2014,Women (35-39),20.8
Kilifi,2014,Women (40-44),19.4
Kilifi,2014,Women (45-49),18.7
Kilifi,2014,Women (25-49),19.9
Tana River,2014,Women (25-29),18.7
Tana River,2014,Women (30-34),18.7
Tana River,2014,Women (35-39),18.4
Tana River,2014,Women (40-44),19.5
Tana River,2014,Women (45-49),20.7
Tana River,2014,Women (25-49),19
Lamu,2014,Women (25-29),19.3
Lamu,2014,Women (30-34),21.2
Lamu,2014,Women (35-39),20.9
Lamu,2014,Women (40-44),21.6
Lamu,2014,Women (45-49),24.2
Lamu,2014,Women (25-49),20.6
Taita Taveta,2014,Women (25-29),20.3
Taita Taveta,2014,Women (30-34),20.5
Taita Taveta,2014,Women (35-39),21
Taita Taveta,2014,Women (40-44),21.5
Taita Taveta,2014,Women (45-49),21.5
Taita Taveta,2014,Women (25-49),21
Garissa,2014,Women (25-29),20.3
Garissa,2014,Women (30-34),19.8
Garissa,2014,Women (35-39),20.5
Garissa,2014,Women (40-44),21.6
Garissa,2014,Women (45-49),23.4
Garissa,2014,Women (25-49),20.5
Wajir,2014,Women (25-29),19.4
Wajir,2014,Women (30-34),18.8
Wajir,2014,Women (35-39),19.1
Wajir,2014,Women (40-44),19.5
Wajir,2014,Women (45-49),26.2
Wajir,2014,Women (25-49),19.6
Mandera,2014,Women (25-29),19.6
Mandera,2014,Women (30-34),18.7
Mandera,2014,Women (35-39),21.9
Mandera,2014,Women (40-44),23
Mandera,2014,Women (45-49),25.1
Mandera,2014,Women (25-49),20.8
Marsabit,2014,Women (25-29),18.7
Marsabit,2014,Women (30-34),18.8
Marsabit,2014,Women (35-39),20.1
Marsabit,2014,Women (40-44),22.4
Marsabit,2014,Women (45-49),23
Marsabit,2014,Women (25-49),19.6
Isiolo,2014,Women (25-29),20
Isiolo,2014,Women (30-34),19.9
Isiolo,2014,Women (35-39),20
Isiolo,2014,Women (40-44),20.1
Isiolo,2014,Women (45-49),21.5
Isiolo,2014,Women (25-49),20.2
Meru,2014,Women (25-29),20
Meru,2014,Women (30-34),19.5
Meru,2014,Women (35-39),20.1
Meru,2014,Women (40-44),20.6
Meru,2014,Women (45-49),20.2
Meru,2014,Women (25-49),20
Tharaka Nithi,2014,Women (25-29),20.7
Tharaka Nithi,2014,Women (30-34),21.1
Tharaka Nithi,2014,Women (35-39),21.7
Tharaka Nithi,2014,Women (40-44),20.8
Tharaka Nithi,2014,Women (45-49),22.1
Tharaka Nithi,2014,Women (25-49),21.2
Embu,2014,Women (25-29),21.3
Embu,2014,Women (30-34),21.3
Embu,2014,Women (35-39),21.5
Embu,2014,Women (40-44),21.3
Embu,2014,Women (45-49),20.3
Embu,2014,Women (25-49),21.1
Kitui,2014,Women (25-29),19.9
Kitui,2014,Women (30-34),19.7
Kitui,2014,Women (35-39),20.2
Kitui,2014,Women (40-44),20
Kitui,2014,Women (45-49),18.6
Kitui,2014,Women (25-49),19.8
Machakos,2014,Women (25-29),20.1
Machakos,2014,Women (30-34),20.6
Machakos,2014,Women (35-39),20.5
Machakos,2014,Women (40-44),20.6
Machakos,2014,Women (45-49),20.2
Machakos,2014,Women (25-49),20.4
Makueni,2014,Women (25-29),20.8
Makueni,2014,Women (30-34),20.3
Makueni,2014,Women (35-39),20.6
Makueni,2014,Women (40-44),20
Makueni,2014,Women (45-49),20.3
Makueni,2014,Women (25-49),20.4
Nyandarua,2014,Women (25-29),20.8
Nyandarua,2014,Women (30-34),20.5
Nyandarua,2014,Women (35-39),19.8
Nyandarua,2014,Women (40-44),20.1
Nyandarua,2014,Women (45-49),19.6
Nyandarua,2014,Women (25-49),20.1
Nyeri,2014,Women (25-29),21.7
Nyeri,2014,Women (30-34),21.3
Nyeri,2014,Women (35-39),20.7
Nyeri,2014,Women (40-44),20.4
Nyeri,2014,Women (45-49),20.9
Nyeri,2014,Women (25-49),21.1
Kirinyaga,2014,Women (25-29),20.6
Kirinyaga,2014,Women (30-34),20.5
Kirinyaga,2014,Women (35-39),20.8
Kirinyaga,2014,Women (40-44),20
Kirinyaga,2014,Women (45-49),19.8
Kirinyaga,2014,Women (25-49),20.4
Muranga,2014,Women (25-29),20.6
Muranga,2014,Women (30-34),21.1
Muranga,2014,Women (35-39),21.7
Muranga,2014,Women (40-44),20.6
Muranga,2014,Women (45-49),20
Muranga,2014,Women (25-49),20.8
Kiambu,2014,Women (25-29),21.5
Kiambu,2014,Women (30-34),21.3
Kiambu,2014,Women (35-39),21.7
Kiambu,2014,Women (40-44),21.3
Kiambu,2014,Women (45-49),20.5
Kiambu,2014,Women (25-49),21.3
Turkana,2014,Women (25-29),20.6
Turkana,2014,Women (30-34),20.2
Turkana,2014,Women (35-39),19.7
Turkana,2014,Women (40-44),21.4
Turkana,2014,Women (45-49),20.9
Turkana,2014,Women (25-49),20.5
West Pokot,2014,Women (25-29),19.2
West Pokot,2014,Women (30-34),19.5
West Pokot,2014,Women (35-39),19.8
