County,women.aged.25_29,women.aged.30_34,women.aged.35_39,women.aged.40_44,women.aged.45_49,women.aged.25_49
Mombasa,21.6,21.9,22.7,20.6,21.3,21.6
Kwale,18.7,19.7,19.3,20.6,19.8,19.5
Kilifi,20.4,19.9,20.8,19.4,18.7,19.9
Tana River,18.7,18.7,18.4,19.5,20.7,19.0
Lamu,19.3,21.2,20.9,21.6,24.2,20.6
Taita Taveta,20.3,20.5,21.0,21.5,21.5,21.0
Garissa,20.3,19.8,20.5,21.6,23.4,20.5
Wajir,19.4,18.8,19.1,19.5,26.2,19.6
Mandera,19.6,18.7,21.9,23.0,25.1,20.8
Marsabit,18.7,18.8,20.1,22.4,23.0,19.6
Isiolo,20.0,19.9,20.0,20.1,21.5,20.2
Meru,20.0,19.5,20.1,20.6,20.2,20.0
Tharaka-Nithi,20.7,21.1,21.7,20.8,22.1,21.2
Embu,21.3,21.3,21.5,21.3,20.3,21.1
Kitui,19.9,19.7,20.2,20.0,18.6,19.8
Machakos,20.1,20.6,20.5,20.6,20.2,20.4
Makueni,20.8,20.3,20.6,20.0,20.3,20.4
Nyandarua,20.8,20.5,19.8,20.1,19.6,20.1
Nyeri,21.7,21.3,20.7,20.4,20.9,21.1
Kirinyaga,20.6,20.5,20.8,20.0,19.8,20.4
Murang’a,20.6,21.1,21.7,20.6,20.0,20.8
Kiambu,21.5,21.3,21.7,21.3,20.5,21.3
Turkana,20.6,20.2,19.7,21.4,20.9,20.5
West Pokot,19.2,19.5,19.8,21.3,21.8,20.0
Samburu,18.7,19.7,20.6,20.8,22.5,19.9
Trans-Nzoia,19.7,19.6,20.1,19.0,19.7,19.6
Uasin Gishu,20.4,20.4,21.1,19.7,19.8,20.3
Elgeyo Marakwet,20.9,19.9,21.0,21.2,20.6,20.6
Nandi,20.0,20.4,19.6,19.6,19.4,19.8
Baringo,19.9,21.1,21.5,19.8,20.0,20.4
Laikipia,21.3,18.4,20.2,20.5,19.8,20.2
Nakuru,20.9,20.9,20.9,19.8,19.8,20.6
Narok,19.0,19.6,18.8,20.2,20.3,19.5
Kajiado,21.6,20.8,20.9,21.3,22.1,21.3
Kericho,19.7,19.2,20.5,20.6,19.5,19.9
Bomet,19.2,19.2,19.7,19.1,18.9,19.3
Kakamega,19.4,19.5,20.1,20.3,19.8,19.8
Vihiga,19.7,20.2,20.5,20.8,20.4,20.3
Bungoma,19.4,19.3,20.4,19.3,19.3,19.5
Busia,19.1,18.7,18.5,18.4,19.3,18.8
Siaya,18.4,18.8,20.2,18.1,18.4,18.7
Kisumu,19.6,18.9,19.4,20.2,19.1,19.4
Homa Bay,17.6,17.5,18.7,18.4,17.2,17.9
Migori,17.7,18.0,18.1,18.1,17.4,17.9
Kisii,19.5,19.4,20.5,20.0,19.8,19.9
Nyamira,19.2,19.5,20.0,20.9,18.6,19.6
Nairobi,22.7,21.9,21.9,21.4,22.9,22.2
