Desire.children,Number of children,Percent,participants
Have another soon2,0,77.3,men
Have another soon2,1,30.9,men
Have another soon2,2,18.7,men
Have another soon2,3,15.5,men
Have another soon2,4,10.5,men
Have another soon2,5,12.2,men
Have another soon2,6+,12.1,men
Have another later3,0,14.4,men
Have another later3,1,59.2,men
Have another later3,2,48.2,men
Have another later3,3,31.5,men
Have another later3,4,25.6,men
Have another later3,5,20.3,men
Have another later3,6+,21.2,men
"Have another, undecided when",0,0.7,men
"Have another, undecided when",1,0.4,men
"Have another, undecided when",2,0.6,men
"Have another, undecided when",3,0.4,men
"Have another, undecided when",4,0.3,men
"Have another, undecided when",5,1.0,men
"Have another, undecided when",6+,0.5,men
Undecided,0,1.6,men
Undecided,1,4.0,men
Undecided,2,7.6,men
Undecided,3,7.0,men
Undecided,4,6.9,men
Undecided,5,5.7,men
Undecided,6+,5.3,men
Want no more,0,5.3,men
Want no more,1,5.5,men
Want no more,2,24.8,men
Want no more,3,45.1,men
Want no more,4,56.4,men
Want no more,5,60.7,men
Want no more,6+,60.2,men
Sterilised4,0,0.0,men
Sterilised4,1,0.0,men
Sterilised4,2,0.0,men
Sterilised4,3,0.3,men
Sterilised4,4,0.0,men
Sterilised4,5,0.0,men
Sterilised4,6+,0.3,men
Declared infecund,0,0.7,men
Declared infecund,1,0.0,men
Declared infecund,2,0.0,men
Declared infecund,3,0.1,men
Declared infecund,4,0.2,men
Declared infecund,5,0.0,men
Declared infecund,6+,0.3,men
Missing,0,0.0,men
Missing,1,0.0,men
Missing,2,0.0,men
Missing,3,0.0,men
Missing,4,0.1,men
Missing,5,0.0,men
Missing,6+,0.2,men
Have another soon2,0,66.0,women
Have another soon2,1,30.2,women
Have another soon2,2,18.1,women
Have another soon2,3,10.4,women
Have another soon2,4,7.7,women
Have another soon2,5,6.4,women
Have another soon2,6+,7.8,women
Have another later3,0,22.1,women
Have another later3,1,58.2,women
Have another later3,2,43.3,women
Have another later3,3,22.7,women
Have another later3,4,14.3,women
Have another later3,5,11.9,women
Have another later3,6+,8.5,women
"Have another, undecided when",0,0.9,women
"Have another, undecided when",1,1.1,women
"Have another, undecided when",2,0.7,women
"Have another, undecided when",3,0.6,women
"Have another, undecided when",4,0.2,women
"Have another, undecided when",5,0.1,women
"Have another, undecided when",6+,0.6,women
Undecided,0,3.4,women
Undecided,1,3.7,women
Undecided,2,6.4,women
Undecided,3,6.4,women
Undecided,4,4.6,women
Undecided,5,4.7,women
Undecided,6+,6.0,women
Want no more,0,2.5,women
Want no more,1,5.6,women
Want no more,2,29.5,women
Want no more,3,56.2,women
Want no more,4,66.2,women
Want no more,5,69.6,women
Want no more,6+,68.6,women
Sterilised4,0,0.7,women
Sterilised4,1,0.1,women
Sterilised4,2,0.6,women
Sterilised4,3,2.4,women
Sterilised4,4,4.7,women
Sterilised4,5,5.5,women
Sterilised4,6+,6.0,women
Declared infecund,0,4.3,women
Declared infecund,1,1.1,women
Declared infecund,2,1.4,women
Declared infecund,3,1.3,women
Declared infecund,4,2.1,women
Declared infecund,5,1.9,women
Declared infecund,6+,2.6,women
Missing,0,0.0,women
Missing,1,0.0,women
Missing,2,0.0,women
Missing,3,0.0,women
Missing,4,0.0,women
Missing,5,0.0,women
Missing,6+,0.0,women
