variable,participants,category,value
All,Men,0,3.8
All,Men,1,3.7
All,Men,2,3.9
All,Men,3,4.3
All,Men,4,4.8
All,Men,5,5.6
All,Men,6+,7.7
Currently married,Men,0,3.7
Currently married,Men,1,3.7
Currently married,Men,2,3.9
Currently married,Men,3,4.3
Currently married,Men,4,4.8
Currently married,Men,5,5.7
Currently married,Men,6+,7.8
All,Women,0,3.2
All,Women,1,3.1
All,Women,2,3.4
All,Women,3,3.9
All,Women,4,4.4
All,Women,5,4.8
All,Women,6+,6.1
Currently married,Women,0,3.5
Currently married,Women,1,3.3
Currently married,Women,2,3.5
Currently married,Women,3,3.9
Currently married,Women,4,4.4
Currently married,Women,5,4.9
Currently married,Women,6+,6.3
0,Men,0,1.8
0,Men,1,0.3
0,Men,2,0.2
0,Men,3,0.3
0,Men,4,0.3
0,Men,5,0.5
0,Men,6+,0.6
1,Men,0,1.1
1,Men,1,1.3
1,Men,2,0.7
1,Men,3,0.5
1,Men,4,0
1,Men,5,0.5
1,Men,6+,0.1
2,Men,0,16.8
2,Men,1,15.5
2,Men,2,13.8
2,Men,3,7.1
2,Men,4,5.7
2,Men,5,3.9
2,Men,6+,3
3,Men,0,30
3,Men,1,40
3,Men,2,26.6
3,Men,3,27.7
3,Men,4,13.2
3,Men,5,10.8
3,Men,6+,6.6
4,Men,0,28.5
4,Men,1,26.3
4,Men,2,34.7
4,Men,3,31.3
4,Men,4,36.5
4,Men,5,21.6
4,Men,6+,14.1
5,Men,0,10.9
5,Men,1,8.3
5,Men,2,15.1
5,Men,3,17.5
5,Men,4,20.2
5,Men,5,25.2
5,Men,6+,11.7
6+,Men,0,9.9
6+,Men,1,8.1
6+,Men,2,8.2
6+,Men,3,14.2
6+,Men,4,22.5
6+,Men,5,35.5
6+,Men,6+,57.8
0,Women,0,3.1
0,Women,1,1.8
0,Women,2,1.4
0,Women,3,1.5
0,Women,4,1.7
0,Women,5,1.4
0,Women,6+,2
1,Women,0,2.1
1,Women,1,4.1
1,Women,2,2.4
1,Women,3,1.4
1,Women,4,1.6
1,Women,5,0.8
1,Women,6+,1.6
2,Women,0,26.4
2,Women,1,26.1
2,Women,2,22.4
2,Women,3,11.8
2,Women,4,11.3
2,Women,5,8.4
2,Women,6+,4.9
3,Women,0,32.7
3,Women,1,37.6
3,Women,2,26
3,Women,3,27.2
3,Women,4,8.6
3,Women,5,13.6
3,Women,6+,6.8
4,Women,0,23
4,Women,1,19.7
4,Women,2,32.7
4,Women,3,33.8
4,Women,4,42.2
4,Women,5,22.7
4,Women,6+,19.6
5,Women,0,6.1
5,Women,1,6.3
5,Women,2,8
5,Women,3,12.1
5,Women,4,11.7
5,Women,5,24.6
5,Women,6+,9.6
6+,Women,0,5.3
6+,Women,1,3.7
6+,Women,2,6.3
6+,Women,3,11.3
6+,Women,4,20.8
6+,Women,5,25.5
6+,Women,6+,49.2
