Age,Contraceptive_use_any_method,Contraceptive_use_modern_method,Female_sterilization,Male_sterilization,IUD,Injectables,Implants,Pill,Male_condom,Female_condom,Emergency_contraception,SDM,LAM,Other,maritalstatus
15–19,40.7,36.9,0.0,0.0,1.3,12.8,17.1,1.3,3.7,0.0,0.0,0.0,0.7,0.0,married
20–24,59.2,53.4,0.1,0.0,1.3,20.1,20.6,6.9,2.0,0.0,0.9,0.6,0.9,0.0,married
25–29,64.8,60.6,0.2,0.0,3.2,23.1,22.2,8.4,1.4,0.0,0.4,0.2,1.6,0.0,married
30–34,66.2,60.6,1.3,0.0,5.3,20.4,21.2,9.3,1.7,0.0,0.4,0.3,0.8,0.1,married
35–39,66.0,60.1,2.4,0.0,6.4,21.2,17.5,9.5,1.4,0.0,0.1,0.5,0.8,0.2,married
40–44,64.6,57.1,6.0,0.1,5.8,18.4,14.6,7.8,2.3,0.1,0.4,1.0,0.5,0.1,married
45–49,51.7,45.6,8.5,0.1,5.9,12.3,8.9,7.0,2.0,0.0,0.1,0.8,0.1,0.0,married
15–19,58.4,43.8,0.0,0.0,0.0,6.0,3.0,3.2,27.3,1.1,3.2,0.0,0.0,0.0,unmarried
20–24,73.1,60.9,0.0,0.0,0.0,14.1,8.5,3.4,30.6,0.0,4.1,0.1,0.0,0.0,unmarried
25–29,73.2,62.8,0.0,0.0,4.2,18.6,18.2,3.2,13.3,0.0,2.7,2.4,0.0,0.2,unmarried
30–34,68.5,66.1,0.0,0.0,5.8,21.5,16.1,13.6,7.8,0.0,1.2,0.0,0.0,0.0,unmarried
35–39,82.1,65.7,3.2,0.0,6.0,23.6,13.3,10.4,8.2,0.0,1.0,0.0,0.0,0.0,unmarried
40–44,73.0,64.1,2.0,0.0,6.8,21.9,12.0,5.4,14.9,0.0,1.2,0.0,0.0,0.0,unmarried
45–49,(46.3),(40.0),(0.4),(0.0),(3.1),(7.5),(10.0),(0.0),(19.0),(0.0),(0.0),(0.0),(0.0),(0.0),unmarried
