age,For_spacing,For_limiting,Total,need
15-19,21.1,0.5,21.6,unmet_need
20-24,15.0,1.6,16.6,unmet_need
25-29,9.2,2.6,11.8,unmet_need
30-34,6.7,6.3,13.0,unmet_need
35-39,5.1,9.1,14.2,unmet_need
40-44,2.5,11.5,14.0,unmet_need
45-49,1.6,11.6,13.3,unmet_need
15-19,40.8,3.1,43.9,met_need
20-24,48.5,9.2,57.7,met_need
25-29,47.1,17.9,65.0,met_need
30-34,34.4,31.2,65.6,met_need
35-39,19.7,47.3,67.0,met_need
40-44,7.6,56.1,63.6,met_need
45-49,2.1,47.7,49.8,met_need
15-19,61.9,3.6,65.5,total_demand
20-24,63.5,10.8,74.3,total_demand
25-29,56.3,20.5,76.8,total_demand
30-34,41.1,37.5,78.6,total_demand
35-39,24.9,56.4,81.2,total_demand
40-44,10.0,67.6,77.6,total_demand
45-49,3.7,59.3,63.0,total_demand
