age,For_spacing,For_limiting,Total,need
15-19,30.8,3.7,34.5,unmet_need
20-24,19.6,1.4,21.1,unmet_need
25-29,12.5,4.0,16.5,unmet_need
30-34,3.6,12.1,15.7,unmet_need
35-39,0.2,2.6,2.7,unmet_need
40-44,5.9,12.7,18.6,unmet_need
45-49,(13.0),(8.8),(21.8),unmet_need
15-19,56.1,2.3,58.4,met_need
20-24,65.2,7.9,73.1,met_need
25-29,58.1,15.2,73.2,met_need
30-34,36.9,31.6,68.5,met_need
35-39,18.7,63.4,82.1,met_need
40-44,11.2,61.7,73.0,met_need
45-49,(2.2),(44.0),(46.3),met_need
15-19,86.9,6.0,92.8,total_demand
20-24,84.8,9.3,94.2,total_demand
25-29,70.6,19.2,89.8,total_demand
30-34,40.5,43.7,84.2,total_demand
35-39,18.9,66.0,84.9,total_demand
40-44,17.1,74.5,91.6,total_demand
45-49,(15.2),(52.8),(68.1),total_demand
