Characteristic,need,variable,Category,Proportion,type
15-19,Unmet need,Age,For spacing,21.1,Married women
15-19,Unmet need,Age,For limiting,0.5,Married women
20-24,Unmet need,Age,For spacing,15,Married women
20-24,Unmet need,Age,For limiting,1.6,Married women
25-29,Unmet need,Age,For spacing,9.2,Married women
25-29,Unmet need,Age,For limiting,2.6,Married women
30-34,Unmet need,Age,For spacing,6.7,Married women
30-34,Unmet need,Age,For limiting,6.3,Married women
35-39,Unmet need,Age,For spacing,5.1,Married women
35-39,Unmet need,Age,For limiting,9.1,Married women
40-44,Unmet need,Age,For spacing,2.5,Married women
40-44,Unmet need,Age,For limiting,11.5,Married women
45-49,Unmet need,Age,For spacing,1.6,Married women
45-49,Unmet need,Age,For limiting,11.6,Married women
15-19,Met need,Age,For spacing,40.8,Married women
15-19,Met need,Age,For limiting,3.1,Married women
20-24,Met need,Age,For spacing,48.5,Married women
20-24,Met need,Age,For limiting,9.2,Married women
25-29,Met need,Age,For spacing,47.1,Married women
25-29,Met need,Age,For limiting,17.9,Married women
30-34,Met need,Age,For spacing,34.4,Married women
30-34,Met need,Age,For limiting,31.2,Married women
35-39,Met need,Age,For spacing,19.7,Married women
35-39,Met need,Age,For limiting,47.3,Married women
40-44,Met need,Age,For spacing,7.6,Married women
40-44,Met need,Age,For limiting,56.1,Married women
45-49,Met need,Age,For spacing,2.1,Married women
45-49,Met need,Age,For limiting,47.7,Married women
Urban,Unmet need,Residence,For spacing,6.8,Married women
Urban,Unmet need,Residence,For limiting,4.8,Married women
Rural,Unmet need,Residence,For spacing,7.9,Married women
Rural,Unmet need,Residence,For limiting,7.3,Married women
Urban,Met need,Residence,For spacing,35.4,Married women
Urban,Met need,Residence,For limiting,27.1,Married women
Rural,Met need,Residence,For spacing,26.8,Married women
Rural,Met need,Residence,For limiting,35.1,Married women
No education,Unmet need,Education,For spacing,13.5,Married women
No education,Unmet need,Education,For limiting,9.2,Married women
Primary,Unmet need,Education,For spacing,6.9,Married women
Primary,Unmet need,Education,For limiting,8.2,Married women
Secondary,Unmet need,Education,For spacing,7.6,Married women
Secondary,Unmet need,Education,For limiting,5,Married women
More than secondary,Unmet need,Education,For spacing,6.2,Married women
More than secondary,Unmet need,Education,For limiting,3.5,Married women
No education,Met need,Education,For spacing,11.8,Married women
No education,Met need,Education,For limiting,10.8,Married women
Primary,Met need,Education,For spacing,23.4,Married women
Primary,Met need,Education,For limiting,40.8,Married women
Secondary,Met need,Education,For spacing,37.4,Married women
Secondary,Met need,Education,For limiting,28.5,Married women
More than secondary,Met need,Education,For spacing,40.1,Married women
More than secondary,Met need,Education,For limiting,27.3,Married women
Lowest,Unmet need,Wealth,For spacing,12.1,Married women
Lowest,Unmet need,Wealth,For limiting,9.4,Married women
Second,Unmet need,Wealth,For spacing,7.9,Married women
Second,Unmet need,Wealth,For limiting,6.5,Married women
Middle,Unmet need,Wealth,For spacing,7.4,Married women
Middle,Unmet need,Wealth,For limiting,6.4,Married women
Fourth,Unmet need,Wealth,For spacing,6.6,Married women
Fourth,Unmet need,Wealth,For limiting,5.4,Married women
Highest,Unmet need,Wealth,For spacing,5.2,Married women
Highest,Unmet need,Wealth,For limiting,4.9,Married women
Lowest,Met need,Wealth,For spacing,22.9,Married women
Lowest,Met need,Wealth,For limiting,23,Married women
Second,Met need,Wealth,For spacing,28.1,Married women
Second,Met need,Wealth,For limiting,38.5,Married women
Middle,Met need,Wealth,For spacing,27.3,Married women
Middle,Met need,Wealth,For limiting,37.6,Married women
Fourth,Met need,Wealth,For spacing,34,Married women
Fourth,Met need,Wealth,For limiting,31.1,Married women
Highest,Met need,Wealth,For spacing,35.1,Married women
Highest,Met need,Wealth,For limiting,30.1,Married women
15-19,Unmet need,Age,For spacing,4.5,All women
15-19,Unmet need,Age,For limiting,0.3,All women
