intention,category,proportion
Intends to use,0,54
Intends to use,1,58.4
Intends to use,2,57.5
Intends to use,3,50.1
Intends to use,4+,33.8
Intends to use,Total,47.5
Unsure,0,4.1
Unsure,1,1.6
Unsure,2,1.9
Unsure,3,1.5
Unsure,4+,1.6
Unsure,Total,1.8
Does not intend to use,0,40.6
Does not intend to use,1,36.6
Does not intend to use,2,35.3
Does not intend to use,3,42.7
Does not intend to use,4+,60.3
Does not intend to use,Total,46.2
Missing,0,1.4
Missing,1,3.4
Missing,2,5.3
Missing,3,5.8
Missing,4+,4.3
Missing,Total,4.5
