Characteristic,radio,television,newspaper,mobile,social_media,poster,billboard,friends,internet,none,variable
15-19,50.4,37.3,14.8,5.7,22.3,25.0,23.0,48.9,19.5,22.6,age
20-24,67.6,56.5,28.0,16.1,52.3,48.7,41.2,70.5,49.1,6.9,age
25-29,74.5,62.2,36.4,22.2,56.9,53.6,49.8,75.6,56.4,4.3,age
30-34,76.3,63.2,35.4,18.8,48.1,54.5,48.8,74.6,47.5,5.8,age
35-39,76.3,62.5,34.6,15.0,39.4,52.0,49.3,71.8,39.4,7.5,age
40-44,77.3,58.3,29.4,14.1,32.7,50.2,47.5,66.2,30.9,6.6,age
45-49,76.3,58.8,29.6,14.8,26.5,51.2,48.7,64.3,26.4,7.5,age
Urban,68.4,64.9,39.2,21.8,58.3,55.4,48.1,72.0,56.6,7.2,residence
Rural,68.6,48.4,21.2,10.0,28.2,39.1,37.3,62.2,26.7,11.9,residence
No education,51.2,19.6,0.3,2.1,4.3,17.4,29.2,42.5,3.0,32.7,education
Primary,66.3,43.0,15.8,9.5,18.1,34.0,35.7,58.0,15.7,14.6,education
Secondary,69.2,58.1,28.4,14.3,43.6,44.9,39.9,68.0,40.9,8.4,education
More than secondary,73.4,74.0,53.7,25.9,76.0,70.5,56.6,79.4,78.3,2.5,education
Lowest,59.1,26.3,11.9,6.9,14.2,28.5,33.1,54.8,12.6,20.3,wealth
Second,68.7,42.8,17.2,9.2,21.7,37.5,36.9,61.9,19.9,12.4,wealth
Middle,71.8,54.8,24.1,10.7,31.3,41.9,39.8,64.6,31.0,9.4,wealth
Fourth,71.3,65.6,32.9,17.5,51.8,49.1,42.5,69.3,48.2,6.8,wealth
Highest,68.8,73.6,48.5,25.2,69.1,63.9,52.2,75.4,69.1,5.2,wealth
