Characteristic,variable,category,proportion
15-19,Age,Radio,43.7
15-19,Age,Television,37.3
15-19,Age,Newspaper,16.7
15-19,Age,Mobile,6.4
15-19,Age,Social media,19.4
15-19,Age,Poster,28.2
15-19,Age,Billboard,24.7
15-19,Age,Events,28.9
15-19,Age,Friends,68.1
15-19,Age,Internet,18.6
15-19,Age,None,16
20-24,Age,Radio,59.2
20-24,Age,Television,52.4
20-24,Age,Newspaper,21.6
20-24,Age,Mobile,17.8
20-24,Age,Social media,45.9
20-24,Age,Poster,42.9
20-24,Age,Billboard,37.2
20-24,Age,Events,42.4
20-24,Age,Friends,84
20-24,Age,Internet,41.7
20-24,Age,None,5.6
25-29,Age,Radio,66.3
25-29,Age,Television,59
25-29,Age,Newspaper,22.8
25-29,Age,Mobile,17.9
25-29,Age,Social media,44.3
25-29,Age,Poster,43.3
25-29,Age,Billboard,39.4
25-29,Age,Events,47.8
25-29,Age,Friends,84.9
25-29,Age,Internet,42
25-29,Age,None,4.9
30-34,Age,Radio,62.3
30-34,Age,Television,52.3
30-34,Age,Newspaper,20.4
30-34,Age,Mobile,16.2
30-34,Age,Social media,33.6
30-34,Age,Poster,42.5
30-34,Age,Billboard,38.6
30-34,Age,Events,50.1
30-34,Age,Friends,85.3
30-34,Age,Internet,32.5
30-34,Age,None,5.1
35-39,Age,Radio,62.3
35-39,Age,Television,50
35-39,Age,Newspaper,18.8
35-39,Age,Mobile,13.4
35-39,Age,Social media,28
35-39,Age,Poster,45
35-39,Age,Billboard,35.8
35-39,Age,Events,50.5
35-39,Age,Friends,83.6
35-39,Age,Internet,27.2
35-39,Age,None,5.4
40-44,Age,Radio,62.2
40-44,Age,Television,49.8
40-44,Age,Newspaper,22.8
40-44,Age,Mobile,13.5
40-44,Age,Social media,25.5
40-44,Age,Poster,45.3
40-44,Age,Billboard,37.2
40-44,Age,Events,52.6
40-44,Age,Friends,82.7
40-44,Age,Internet,23.9
40-44,Age,None,6.1
45-49,Age,Radio,63.1
45-49,Age,Television,44.3
45-49,Age,Newspaper,17.9
45-49,Age,Mobile,11
45-49,Age,Social media,17.5
45-49,Age,Poster,40.3
45-49,Age,Billboard,34.7
45-49,Age,Events,55.9
45-49,Age,Friends,80
45-49,Age,Internet,17.6
45-49,Age,None,8.2
Urban,Residence,Radio,56.9
Urban,Residence,Television,62.4
Urban,Residence,Newspaper,24.1
Urban,Residence,Mobile,16.1
Urban,Residence,Social media,48.6
Urban,Residence,Poster,43.2
Urban,Residence,Billboard,42.2
Urban,Residence,Events,43.1
Urban,Residence,Friends,82.2
Urban,Residence,Internet,47.1
Urban,Residence,None,5.8
Rural,Residence,Radio,60.4
Rural,Residence,Television,40.5
Rural,Residence,Newspaper,17.4
Rural,Residence,Mobile,12.3
Rural,Residence,Social media,20.8
Rural,Residence,Poster,38.6
Rural,Residence,Billboard,30.1
Rural,Residence,Events,46.5
Rural,Residence,Friends,79.9
Rural,Residence,Internet,19
Rural,Residence,None,8.8
No education,Education,Radio,28.5
No education,Education,Television,13.1
No education,Education,Newspaper,3.1
No education,Education,Mobile,5
No education,Education,Social media,4.7
No education,Education,Poster,11.6
No education,Education,Billboard,9.7
No education,Education,Events,43.9
No education,Education,Friends,70
No education,Education,Internet,5.4
No education,Education,None,22.9
Primary,Education,Radio,57.6
Primary,Education,Television,38.6
Primary,Education,Newspaper,11.8
Primary,Education,Mobile,10.5
Primary,Education,Social media,12.2
Primary,Education,Poster,35.9
Primary,Education,Billboard,27.5
Primary,Education,Events,46.1
Primary,Education,Friends,78.5
Primary,Education,Internet,10.8
Primary,Education,None,9.6
Secondary,Education,Radio,62.1
Secondary,Education,Television,54.6
Secondary,Education,Newspaper,22.6
Secondary,Education,Mobile,15.6
Secondary,Education,Social media,35.3
Secondary,Education,Poster,40.4
Secondary,Education,Billboard,37.1
Secondary,Education,Events,44.2
Secondary,Education,Friends,81.5
Secondary,Education,Internet,32.5
Secondary,Education,None,6.2
More than secondary,Education,Radio,64.1
More than secondary,Education,Television,70.2
More than secondary,Education,Newspaper,35.9
More than secondary,Education,Mobile,19.4
More than secondary,Education,Social media,72.1
More than secondary,Education,Poster,57.6
More than secondary,Education,Billboard,52.7
More than secondary,Education,Events,45.4
More than secondary,Education,Friends,87.1
More than secondary,Education,Internet,71.1
More than secondary,Education,None,2.3
Lowest,Wealth,Radio,44.6
Lowest,Wealth,Television,14.4
Lowest,Wealth,Newspaper,7.9
Lowest,Wealth,Mobile,7.4
Lowest,Wealth,Social media,6
Lowest,Wealth,Poster,24.2
Lowest,Wealth,Billboard,18
Lowest,Wealth,Events,43.5
Lowest,Wealth,Friends,75.5
Lowest,Wealth,Internet,5.8
Lowest,Wealth,None,14.7
Second,Wealth,Radio,62.5
Second,Wealth,Television,31.9
Second,Wealth,Newspaper,15.9
Second,Wealth,Mobile,11.5
Second,Wealth,Social media,13.3
