Desire_children,Number of children,Percent
Have another soon,0,66
Have another soon,1,30.2
Have another soon,2,18.1
Have another soon,3,10.4
Have another soon,4,7.7
Have another soon,5,6.4
Have another soon,6+,7.8
Have another later,0,22.1
Have another later,1,58.2
Have another later,2,43.3
Have another later,3,22.7
Have another later,4,14.3
Have another later,5,11.9
Have another later,6+,8.5
"Have another, undecided when",0,0.9
"Have another, undecided when",1,1.1
"Have another, undecided when",2,0.7
"Have another, undecided when",3,0.6
"Have another, undecided when",4,0.2
"Have another, undecided when",5,0.1
"Have another, undecided when",6+,0.6
Undecided,0,3.4
Undecided,1,3.7
Undecided,2,6.4
Undecided,3,6.4
Undecided,4,4.6
Undecided,5,4.7
Undecided,6+,6
Want no more,0,2.5
Want no more,1,5.6
Want no more,2,29.5
Want no more,3,56.2
Want no more,4,66.2
Want no more,5,69.6
Want no more,6+,68.6
Sterilized,0,0.7
Sterilized,1,0.1
Sterilized,2,0.6
Sterilized,3,2.4
Sterilized,4,4.7
Sterilized,5,5.5
Sterilized,6+,6
Declared infecund,0,4.3
Declared infecund,1,1.1
Declared infecund,2,1.4
Declared infecund,3,1.3
Declared infecund,4,2.1
Declared infecund,5,1.9
Declared infecund,6+,2.6
