"","Desire_children","Number.of.children","Percent"
"1","Have another soon","0",66
"2","Have another soon","1",30
"3","Have another soon","2",18
"4","Have another soon","3",10
"5","Have another soon","4",8
"6","Have another soon","5",6
"7","Have another soon","6+",8
"8","Have another later","0",22
"9","Have another later","1",58
"10","Have another later","2",43
"11","Have another later","3",23
"12","Have another later","4",14
"13","Have another later","5",12
"14","Have another later","6+",8
"15","Want no more","0",2
"16","Want no more","1",6
"17","Want no more","2",30
"18","Want no more","3",56
"19","Want no more","4",66
"20","Want no more","5",70
"21","Want no more","6+",69
