Value,Category,Proportion,Participants
Total,Radio,59.0,Women
Total,Television,49.5,Women
Total,Newspaper/magazine,20.2,Women
Total,Mobile phone,13.9,Women
Total,Social media,32.2,Women
Total,Poster/leaflet/brochure,40.5,Women
Total,Outdoor sign/billboard,35.1,Women
Total,Community meeting/events,45.1,Women
Total,Friends/peers,80.9,Women
Total,Internet,30.5,Women
Total 15-54,Radio,69.0,Men
Total 15-54,Television,55.2,Men
Total 15-54,Newspaper/magazine,28.6,Men
Total 15-54,Mobile phone,14.8,Men
Total 15-54,Social media,39.3,Men
Total 15-54,Poster/leaflet/brochure,45.7,Men
Total 15-54,Outdoor sign/billboard,42.2,Men
Total 15-54,Friends/peers,66.0,Men
Total 15-54,Internet,37.8,Men
