county,category,proportion
Mombasa,Neonatal mortality,32
Mombasa,Post neonatal mortality,10
Mombasa,Infant mortality,43
Mombasa,Child mortality,8
Mombasa,Under 5 mortality,50
Kwale,Neonatal mortality,19
Kwale,Post neonatal mortality,4
Kwale,Infant mortality,23
Kwale,Child mortality,7
Kwale,Under 5 mortality,30
Kilifi,Neonatal mortality,24
Kilifi,Post neonatal mortality,10
Kilifi,Infant mortality,34
Kilifi,Child mortality,6
Kilifi,Under 5 mortality,40
Tana River,Neonatal mortality,23
Tana River,Post neonatal mortality,14
Tana River,Infant mortality,38
Tana River,Child mortality,8
Tana River,Under 5 mortality,45
Lamu,Neonatal mortality,26
Lamu,Post neonatal mortality,15
Lamu,Infant mortality,41
Lamu,Child mortality,9
Lamu,Under 5 mortality,50
Taita Taveta,Neonatal mortality,19
Taita Taveta,Post neonatal mortality,5
Taita Taveta,Infant mortality,24
Taita Taveta,Child mortality,6
Taita Taveta,Under 5 mortality,29
Garissa,Neonatal mortality,28
Garissa,Post neonatal mortality,13
Garissa,Infant mortality,41
Garissa,Child mortality,3
Garissa,Under 5 mortality,44
Wajir,Neonatal mortality,37
Wajir,Post neonatal mortality,6
Wajir,Infant mortality,43
Wajir,Child mortality,15
Wajir,Under 5 mortality,57
Mandera,Neonatal mortality,16
Mandera,Post neonatal mortality,4
Mandera,Infant mortality,20
Mandera,Child mortality,1
Mandera,Under 5 mortality,21
Marsabit,Neonatal mortality,4
Marsabit,Post neonatal mortality,5
Marsabit,Infant mortality,9
Marsabit,Child mortality,6
Marsabit,Under 5 mortality,15
Isiolo,Neonatal mortality,22
Isiolo,Post neonatal mortality,2
Isiolo,Infant mortality,24
Isiolo,Child mortality,9
Isiolo,Under 5 mortality,33
Meru,Neonatal mortality,20
Meru,Post neonatal mortality,9
Meru,Infant mortality,29
Meru,Child mortality,6
Meru,Under 5 mortality,35
Tharaka Nithi,Neonatal mortality,12
Tharaka Nithi,Post neonatal mortality,7
Tharaka Nithi,Infant mortality,19
Tharaka Nithi,Child mortality,6
Tharaka Nithi,Under 5 mortality,25
Embu,Neonatal mortality,24
Embu,Post neonatal mortality,11
Embu,Infant mortality,36
Embu,Child mortality,8
Embu,Under 5 mortality,44
