characteristic,variable,category,proportion
<20,Age,No. of still births,29
<20,Age,No. of neonatal deaths,50
<20,Age,Rate of still birth,12.3
<20,Age,Rate of neonatal deaths,22
<20,Age,Perinatal mortality rate,33.9
<20,Age,Pregnancies (28 weeks),2328
<20,Age,Ratio of still neonatal,0.6
20-29,Age,No. of still births,112
20-29,Age,No. of neonatal deaths,154
20-29,Age,Rate of still birth,11.4
20-29,Age,Rate of neonatal deaths,15.8
20-29,Age,Perinatal mortality rate,27.1
20-29,Age,Pregnancies (28 weeks),9817
20-29,Age,Ratio of still neonatal,0.7
30-39,Age,No. of still births,108
30-39,Age,No. of neonatal deaths,83
30-39,Age,Rate of still birth,21.6
30-39,Age,Rate of neonatal deaths,16.9
30-39,Age,Perinatal mortality rate,38
30-39,Age,Pregnancies (28 weeks),5008
30-39,Age,Ratio of still neonatal,1.3
40-49,Age,No. of still births,19
40-49,Age,No. of neonatal deaths,13
40-49,Age,Rate of still birth,33
40-49,Age,Rate of neonatal deaths,23
40-49,Age,Perinatal mortality rate,55.2
40-49,Age,Pregnancies (28 weeks),591
40-49,Age,Ratio of still neonatal,1.5
First pregnancy,Pregnancy,No. of still births,56
First pregnancy,Pregnancy,No. of neonatal deaths,97
First pregnancy,Pregnancy,Rate of still birth,11.1
First pregnancy,Pregnancy,Rate of neonatal deaths,19.5
First pregnancy,Pregnancy,Perinatal mortality rate,30.3
First pregnancy,Pregnancy,Pregnancies (28 weeks),5038
First pregnancy,Pregnancy,Ratio of still neonatal,0.6
<15,Pregnancy,No. of still births,47
<15,Pregnancy,No. of neonatal deaths,66
<15,Pregnancy,Rate of still birth,16.8
<15,Pregnancy,Rate of neonatal deaths,24.1
<15,Pregnancy,Perinatal mortality rate,40.5
<15,Pregnancy,Pregnancies (28 weeks),2799
<15,Pregnancy,Ratio of still neonatal,0.7
15-26,Pregnancy,No. of still births,47
15-26,Pregnancy,No. of neonatal deaths,44
15-26,Pregnancy,Rate of still birth,15.8
15-26,Pregnancy,Rate of neonatal deaths,15.3
15-26,Pregnancy,Perinatal mortality rate,30.9
15-26,Pregnancy,Pregnancies (28 weeks),2949
15-26,Pregnancy,Ratio of still neonatal,1.1
27-38,Pregnancy,No. of still births,24
27-38,Pregnancy,No. of neonatal deaths,23
27-38,Pregnancy,Rate of still birth,11.4
27-38,Pregnancy,Rate of neonatal deaths,11.3
27-38,Pregnancy,Perinatal mortality rate,22.5
27-38,Pregnancy,Pregnancies (28 weeks),2082
27-38,Pregnancy,Ratio of still neonatal,1
39+,Pregnancy,No. of still births,95
39+,Pregnancy,No. of neonatal deaths,69
39+,Pregnancy,Rate of still birth,19.5
39+,Pregnancy,Rate of neonatal deaths,14.5
39+,Pregnancy,Perinatal mortality rate,33.6
39+,Pregnancy,Pregnancies (28 weeks),4876
39+,Pregnancy,Ratio of still neonatal,1.4
Urban,Residence,No. of still births,107
Urban,Residence,No. of neonatal deaths,113
Urban,Residence,Rate of still birth,16.1
Urban,Residence,Rate of neonatal deaths,17.3
Urban,Residence,Perinatal mortality rate,33.1
Urban,Residence,Pregnancies (28 weeks),6640
Urban,Residence,Ratio of still neonatal,0.9
Rural,Residence,No. of still births,161
Rural,Residence,No. of neonatal deaths,187
Rural,Residence,Rate of still birth,14.5
Rural,Residence,Rate of neonatal deaths,17.1
Rural,Residence,Perinatal mortality rate,31.3
Rural,Residence,Pregnancies (28 weeks),11104
Rural,Residence,Ratio of still neonatal,0.9
No education,Residence,No. of still births,33
No education,Residence,No. of neonatal deaths,31
No education,Residence,Rate of still birth,18.2
No education,Residence,Rate of neonatal deaths,17.4
No education,Residence,Perinatal mortality rate,35.4
No education,Residence,Pregnancies (28 weeks),1829
No education,Residence,Ratio of still neonatal,1.1
Primary,Residence,No. of still births,111
