Age,Any_traditional_method,Rhythm,Withdrawal,Other,Not_currently_using,maritalstatus
15–19,3.8,2.9,0.9,0.0,59.3,married
20–24,5.8,3.4,2.3,0.1,40.8,married
25–29,4.2,2.7,1.0,0.5,35.2,married
30–34,5.6,4.0,1.3,0.2,33.8,married
35–39,5.9,4.7,0.9,0.3,34.0,married
40–44,7.5,5.5,1.2,0.9,35.4,married
45–49,6.2,5.1,0.7,0.3,48.3,married
15–19,14.6,9.9,4.7,0.0,41.6,unmarried
20–24,12.2,5.9,6.4,0.0,26.9,unmarried
25–29,10.4,5.1,5.3,0.0,26.8,unmarried
30–34,2.4,2.4,0.0,0.0,31.5,unmarried
35–39,16.5,5.5,4.2,6.8,17.9,unmarried
40–44,8.8,8.0,0.8,0.0,27.0,unmarried
45–49,(6.3),(6.3),(0.0),(0.0),(53.7),unmarried
