County,Any_traditional_method,Rhythm,Withdrawal,Other,Not_currently_using
Mombasa,4.6,2.5,1.8,0.2,53.3
Kwale,0.0,0.0,0.0,0.0,65.4
Kilifi,3.9,2.6,1.3,0.0,51.4
Tana River,1.6,0.7,0.9,0.0,75.2
Lamu,3.2,1.5,1.3,0.5,57.6
Taita/Taveta,3.0,2.6,0.5,0.0,32.5
Garissa,1.6,1.4,0.2,0.0,87.3
Wajir,0.2,0.2,0.0,0.0,97.0
Mandera,0.3,0.3,0.0,0.0,97.9
Marsabit,0.2,0.0,0.2,0.0,94.1
Isiolo,1.9,0.2,1.2,0.5,69.3
Meru,6.3,4.1,1.6,0.6,24.0
Tharaka-Nithi,6.7,4.9,1.8,0.0,25.3
Embu,6.6,5.6,0.6,0.4,18.3
Kitui,6.0,2.7,3.2,0.1,31.7
Machakos,9.8,7.5,0.6,1.8,23.7
Makueni,8.9,7.6,0.8,0.5,26.7
Nyandarua,4.7,4.4,0.4,0.0,28.6
Nyeri,10.5,8.2,2.3,0.0,19.0
Kirinyaga,5.8,4.6,0.6,0.7,23.4
Murang’a,5.4,5.4,0.0,0.0,27.3
Kiambu,9.2,7.0,1.0,1.2,22.6
Turkana,13.1,11.9,0.8,0.4,56.2
West Pokot,0.3,0.3,0.0,0.0,76.5
Samburu,8.3,6.1,2.2,0.0,66.3
Trans Nzoia,4.4,2.6,0.6,1.2,30.2
Uasin Gishu,8.4,6.6,1.8,0.0,28.9
Elgeyo/Marakwet,15.3,10.9,4.1,0.3,25.7
Nandi,5.6,4.6,1.0,0.0,34.4
Baringo,10.1,9.1,1.0,0.0,42.2
Laikipia,7.8,7.3,0.5,0.0,27.7
Nakuru,5.9,3.8,1.6,0.5,27.5
Narok,13.0,6.4,6.2,0.5,34.8
Kajiado,6.6,3.7,2.9,0.0,36.1
Kericho,0.3,0.0,0.3,0.0,39.8
Bomet,6.1,5.9,0.3,0.0,36.1
Kakamega,3.4,2.9,0.5,0.0,33.3
Vihiga,2.3,2.0,0.3,0.0,37.6
Bungoma,2.3,1.2,1.1,0.0,34.0
Busia,1.0,0.8,0.0,0.3,43.6
Siaya,0.6,0.4,0.1,0.0,56.5
Kisumu,3.4,3.1,0.3,0.0,40.0
Homa Bay,2.5,1.9,0.7,0.0,43.2
Migori,5.5,4.8,0.2,0.4,39.8
Kisii,4.5,2.7,0.5,1.3,31.9
Nyamira,3.1,2.6,0.5,0.0,32.1
Nairobi City,6.3,4.0,1.7,0.6,37.5
