County,Contraceptive_use,Percent
Mombasa,Rhythm,2.5
Mombasa,Withdrawal,1.8
Mombasa,Other,0.2
Kwale,Rhythm,0.0
Kwale,Withdrawal,0.0
Kwale,Other,0.0
Kilifi,Rhythm,2.6
Kilifi,Withdrawal,1.3
Kilifi,Other,0.0
Tana River,Rhythm,0.7
Tana River,Withdrawal,0.9
Tana River,Other,0.0
Lamu,Rhythm,1.5
Lamu,Withdrawal,1.3
Lamu,Other,0.5
Taita/Taveta,Rhythm,2.6
Taita/Taveta,Withdrawal,0.5
Taita/Taveta,Other,0.0
Garissa,Rhythm,1.4
Garissa,Withdrawal,0.2
Garissa,Other,0.0
Wajir,Rhythm,0.2
Wajir,Withdrawal,0.0
Wajir,Other,0.0
Mandera,Rhythm,0.3
Mandera,Withdrawal,0.0
Mandera,Other,0.0
Marsabit,Rhythm,0.0
Marsabit,Withdrawal,0.2
Marsabit,Other,0.0
Isiolo,Rhythm,0.2
Isiolo,Withdrawal,1.2
Isiolo,Other,0.5
Meru,Rhythm,4.1
Meru,Withdrawal,1.6
Meru,Other,0.6
Tharaka-Nithi,Rhythm,4.9
Tharaka-Nithi,Withdrawal,1.8
Tharaka-Nithi,Other,0.0
Embu,Rhythm,5.6
Embu,Withdrawal,0.6
Embu,Other,0.4
Kitui,Rhythm,2.7
Kitui,Withdrawal,3.2
Kitui,Other,0.1
Machakos,Rhythm,7.5
Machakos,Withdrawal,0.6
Machakos,Other,1.8
Makueni,Rhythm,7.6
Makueni,Withdrawal,0.8
Makueni,Other,0.5
Nyandarua,Rhythm,4.4
Nyandarua,Withdrawal,0.4
Nyandarua,Other,0.0
Nyeri,Rhythm,8.2
Nyeri,Withdrawal,2.3
Nyeri,Other,0.0
Kirinyaga,Rhythm,4.6
Kirinyaga,Withdrawal,0.6
Kirinyaga,Other,0.7
Murang’a,Rhythm,5.4
Murang’a,Withdrawal,0.0
Murang’a,Other,0.0
Kiambu,Rhythm,7.0
Kiambu,Withdrawal,1.0
Kiambu,Other,1.2
Turkana,Rhythm,11.9
Turkana,Withdrawal,0.8
Turkana,Other,0.4
West Pokot,Rhythm,0.3
West Pokot,Withdrawal,0.0
West Pokot,Other,0.0
Samburu,Rhythm,6.1
Samburu,Withdrawal,2.2
Samburu,Other,0.0
Trans Nzoia,Rhythm,2.6
Trans Nzoia,Withdrawal,0.6
Trans Nzoia,Other,1.2
Uasin Gishu,Rhythm,6.6
Uasin Gishu,Withdrawal,1.8
Uasin Gishu,Other,0.0
Elgeyo/Marakwet,Rhythm,10.9
Elgeyo/Marakwet,Withdrawal,4.1
Elgeyo/Marakwet,Other,0.3
Nandi,Rhythm,4.6
Nandi,Withdrawal,1.0
Nandi,Other,0.0
Baringo,Rhythm,9.1
Baringo,Withdrawal,1.0
Baringo,Other,0.0
Laikipia,Rhythm,7.3
Laikipia,Withdrawal,0.5
Laikipia,Other,0.0
Nakuru,Rhythm,3.8
Nakuru,Withdrawal,1.6
Nakuru,Other,0.5
Narok,Rhythm,6.4
Narok,Withdrawal,6.2
Narok,Other,0.5
Kajiado,Rhythm,3.7
Kajiado,Withdrawal,2.9
Kajiado,Other,0.0
Kericho,Rhythm,0.0
Kericho,Withdrawal,0.3
Kericho,Other,0.0
Bomet,Rhythm,5.9
Bomet,Withdrawal,0.3
Bomet,Other,0.0
Kakamega,Rhythm,2.9
Kakamega,Withdrawal,0.5
Kakamega,Other,0.0
Vihiga,Rhythm,2.0
Vihiga,Withdrawal,0.3
Vihiga,Other,0.0
Bungoma,Rhythm,1.2
Bungoma,Withdrawal,1.1
Bungoma,Other,0.0
Busia,Rhythm,0.8
Busia,Withdrawal,0.0
Busia,Other,0.3
Siaya,Rhythm,0.4
Siaya,Withdrawal,0.1
Siaya,Other,0.0
Kisumu,Rhythm,3.1
Kisumu,Withdrawal,0.3
Kisumu,Other,0.0
Homa Bay,Rhythm,1.9
Homa Bay,Withdrawal,0.7
Homa Bay,Other,0.0
Migori,Rhythm,4.8
Migori,Withdrawal,0.2
Migori,Other,0.4
Kisii,Rhythm,2.7
Kisii,Withdrawal,0.5
Kisii,Other,1.3
Nyamira,Rhythm,2.6
Nyamira,Withdrawal,0.5
Nyamira,Other,0.0
Nairobi City,Rhythm,4.0
Nairobi City,Withdrawal,1.7
Nairobi City,Other,0.6
