County,Contraceptive_use_any_method,Contraceptive_use_modern_method,Female_sterilization,Male_sterilization,IUD,Injectables,Implants,Pill,Male_condom,Female_condom,Emergency_contraception,SDM,LAM,Other
Mombasa,46.7,42.1,0.8,0.0,3.7,16.6,14.3,3.8,1.7,0.0,0.2,0.6,0.3,0.0
Kwale,34.6,34.6,0.8,0.0,2.8,18.2,9.6,2.3,0.3,0.0,0.0,0.1,0.5,0.0
Kilifi,48.6,44.7,1.6,0.0,2.1,17.4,17.8,3.7,0.1,0.0,0.0,1.6,0.4,0.0
Tana River,24.8,23.2,0.5,0.0,1.0,13.1,5.1,1.1,0.5,0.0,0.8,0.0,1.2,0.0
Lamu,42.4,39.2,0.5,0.4,1.1,13.7,10.5,5.6,1.1,0.0,0.0,2.8,3.4,0.0
Taita/Taveta,67.5,64.5,2.8,0.0,4.2,29.3,15.4,7.3,1.8,0.0,0.2,2.5,0.8,0.0
Garissa,12.7,11.1,1.4,0.0,0.2,4.3,3.5,1.1,0.1,0.0,0.0,0.0,0.5,0.0
Wajir,3.0,2.8,0.1,0.0,0.2,0.9,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Mandera,2.1,1.8,0.0,0.0,0.0,0.6,0.2,0.3,0.0,0.0,0.0,0.0,0.8,0.0
Marsabit,5.9,5.6,0.4,0.0,0.0,2.5,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Isiolo,30.7,28.7,0.8,0.0,1.4,15.8,4.4,5.1,0.7,0.0,0.0,0.0,0.6,0.0
Meru,76.0,69.7,0.7,0.0,3.3,31.3,22.9,9.7,0.1,0.0,0.3,0.0,0.0,1.3
Tharaka-Nithi,74.7,67.9,3.0,0.0,4.5,31.3,19.5,7.3,1.7,0.0,0.0,0.3,0.3,0.0
Embu,81.7,75.2,1.8,0.0,7.5,21.1,19.6,22.9,0.5,0.0,0.0,1.7,0.1,0.0
Kitui,68.3,62.4,1.2,0.0,1.0,35.2,16.3,4.8,0.7,0.0,2.4,0.7,0.0,0.0
Machakos,76.3,66.4,3.4,0.0,4.9,26.5,13.4,16.0,1.9,0.0,0.2,0.3,0.0,0.0
Makueni,73.3,64.4,4.4,0.0,2.9,24.8,19.6,10.2,1.5,0.0,0.0,0.1,0.7,0.0
Nyandarua,71.4,66.7,2.3,0.0,12.2,22.9,13.1,12.0,2.5,0.0,0.0,0.1,1.1,0.5
Nyeri,81.0,70.5,3.7,0.0,18.8,16.9,12.6,15.7,1.5,0.0,0.0,0.0,1.3,0.3
Kirinyaga,76.6,70.8,0.8,0.0,15.4,17.5,16.2,19.0,1.4,0.0,0.3,0.0,0.2,0.0
Murang’a,72.7,67.3,1.4,0.0,7.0,17.4,14.9,20.4,1.9,0.0,1.3,0.7,2.2,0.0
Kiambu,77.4,68.2,2.5,0.0,9.7,14.7,22.5,16.8,0.6,0.0,0.0,0.6,0.7,0.0
Turkana,43.8,30.7,1.3,0.0,0.0,9.3,5.7,0.3,0.2,0.0,0.2,0.5,13.2,0.0
West Pokot,23.5,23.2,0.9,0.0,0.2,8.3,11.7,1.6,0.1,0.0,0.0,0.0,0.4,0.0
Samburu,33.7,25.4,0.3,0.0,2.8,8.3,10.6,2.3,0.2,0.0,0.0,0.0,0.9,0.0
Trans Nzoia,69.8,65.4,3.0,0.0,2.2,24.4,27.0,4.9,1.5,0.0,0.1,1.0,1.2,0.0
Uasin Gishu,71.1,62.7,1.5,0.0,5.8,22.9,23.2,5.7,1.8,0.0,0.5,0.0,1.2,0.0
Elgeyo/Marakwet,74.3,59.0,3.4,0.0,2.8,24.4,20.4,3.0,2.2,0.2,0.8,0.1,1.7,0.0
Nandi,65.6,60.0,1.6,0.0,0.2,29.8,21.0,3.4,3.0,0.0,0.3,0.2,0.5,0.0
Baringo,57.8,47.7,0.5,0.0,3.3,16.6,17.8,3.8,1.4,0.0,0.3,0.6,3.5,0.0
Laikipia,72.3,64.5,4.5,0.0,6.9,24.0,15.0,12.1,1.2,0.0,0.5,0.0,0.4,0.0
Nakuru,72.5,66.6,3.2,0.0,7.4,23.5,18.5,8.6,2.0,0.0,0.5,1.2,1.7,0.0
Narok,65.2,52.2,1.6,0.0,1.0,16.5,24.5,1.8,0.8,0.0,0.0,1.5,4.5,0.0
Kajiado,63.9,57.3,1.1,0.0,7.6,21.9,12.9,10.5,2.1,0.0,0.4,0.0,0.5,0.0
Kericho,60.2,60.0,2.8,0.0,1.6,20.8,29.6,3.5,1.1,0.0,0.0,0.0,0.6,0.0
Bomet,63.9,57.8,8.3,0.0,1.2,22.6,21.3,2.2,0.7,0.0,0.6,0.0,0.8,0.0
Kakamega,66.7,63.4,4.1,0.0,2.9,25.0,26.4,2.8,1.6,0.0,0.0,0.3,0.0,0.2
Vihiga,62.4,60.1,3.3,0.0,2.1,15.1,34.6,4.1,0.8,0.0,0.0,0.0,0.0,0.0
Bungoma,66.0,63.7,3.4,0.3,1.7,23.4,26.8,4.3,1.4,0.3,0.3,1.6,0.3,0.0
Busia,56.4,55.4,5.1,0.3,3.2,14.1,27.6,1.4,2.4,0.0,0.3,0.4,0.6,0.0
Siaya,43.5,42.9,2.2,0.0,0.5,15.6,17.0,3.7,3.6,0.0,0.3,0.0,0.0,0.0
Kisumu,60.0,56.6,0.7,0.0,1.7,19.1,25.0,4.3,4.0,0.0,0.3,0.8,0.6,0.0
Homa Bay,56.8,54.3,3.6,0.0,0.7,20.7,20.9,1.8,6.6,0.0,0.0,0.0,0.0,0.0
Migori,60.2,54.7,2.5,0.0,2.1,15.9,28.0,1.2,4.1,0.4,0.0,0.0,0.3,0.0
Kisii,68.1,63.5,3.2,0.0,3.5,26.4,19.9,5.8,1.4,0.0,0.2,2.1,1.1,0.0
Nyamira,67.9,64.8,5.3,0.0,1.8,33.7,18.3,2.7,1.3,0.0,0.3,0.6,0.7,0.0
Nairobi City,62.5,56.2,1.3,0.0,6.3,14.4,12.9,16.4,3.1,0.0,1.0,0.0,0.8,0.0
