"","Characteristic","<30_minutes","30-59_minutes","60_119_minutes",">=2_hours","Variable"
"1","15-19","45.6","32.0","16.4","5.9","Wealth"
"2","20-34","53.6","29.9","11.5","5.0","Wealth"
"3","35-49","52.0","28.9","13.6","5.5","Wealth"
"4","Distance to health facility is a problem","22.8","32.0","29.1","16.1","Accessing_health_care"
"5","Distance to health facility is not a problem","60.6","29.4","8.1","1.9","Accessing_health_care"
"6","Motorized1","53.2","33.2","10.1","3.5","Mean_of_transport"
"7","Not motorized2","50.9","28.7","14.4","6.0","Mean_of_transport"
"8","Urban","68.8","24.1","5.9","1.3","Residence"
"9","Rural","39.7","34.1","18.1","8.1","Residence"
"10","No education","29.6","25.6","21.1","23.8","Education"
"11","Primary","42.4","32.7","17.8","7.1","Education"
"12","Secondary","52.8","32.0","11.9","3.3","Education"
"13","More than secondary","73.1","22.0","4.2","0.7","Education"
"14","Lowest","26.7","30.4","24.7","18.2","Wealth"
"15","Second","34.8","36.6","21.5","7.1","Wealth"
"16","Middle","44.0","36.8","15.5","3.8","Wealth"
"17","Fourth","60.5","29.8","7.9","1.8","Wealth"
"18","Highest","75.8","20.6","3.2","0.4","Wealth"
