Characteristic,Variable,Type,category,proportion
<20,Age at birth,Number of ANC visits,None,2.7
<20,Age at birth,Number of ANC visits,1,4.4
<20,Age at birth,Number of ANC visits,4-7,55
<20,Age at birth,Number of ANC visits,8+,2.2
<20,Age at birth,Number of ANC visits,<4,NA
<20,Age at birth,Number of ANC visits,4-6,NA
<20,Age at birth,Number of ANC visits,7+,NA
20-34,Age at birth,Number of ANC visits,None,1.5
20-34,Age at birth,Number of ANC visits,1,2.3
20-34,Age at birth,Number of ANC visits,4-7,64.2
20-34,Age at birth,Number of ANC visits,8+,4.5
20-34,Age at birth,Number of ANC visits,<4,NA
20-34,Age at birth,Number of ANC visits,4-6,NA
20-34,Age at birth,Number of ANC visits,7+,NA
35-49,Age at birth,Number of ANC visits,None,4
35-49,Age at birth,Number of ANC visits,1,3.3
35-49,Age at birth,Number of ANC visits,4-7,56.6
35-49,Age at birth,Number of ANC visits,8+,3.4
35-49,Age at birth,Number of ANC visits,<4,NA
35-49,Age at birth,Number of ANC visits,4-6,NA
35-49,Age at birth,Number of ANC visits,7+,NA
<20,Age at birth,Timing of ANC visits,None,NA
<20,Age at birth,Timing of ANC visits,1,NA
<20,Age at birth,Timing of ANC visits,4-7,NA
<20,Age at birth,Timing of ANC visits,8+,NA
<20,Age at birth,Timing of ANC visits,<4,25.1
<20,Age at birth,Timing of ANC visits,4-6,57.5
<20,Age at birth,Timing of ANC visits,7+,14.5
20-34,Age at birth,Timing of ANC visits,None,NA
20-34,Age at birth,Timing of ANC visits,1,NA
20-34,Age at birth,Timing of ANC visits,4-7,NA
20-34,Age at birth,Timing of ANC visits,8+,NA
20-34,Age at birth,Timing of ANC visits,<4,30.2
20-34,Age at birth,Timing of ANC visits,4-6,60.5
20-34,Age at birth,Timing of ANC visits,7+,7.8
35-49,Age at birth,Timing of ANC visits,None,NA
35-49,Age at birth,Timing of ANC visits,1,NA
35-49,Age at birth,Timing of ANC visits,4-7,NA
35-49,Age at birth,Timing of ANC visits,8+,NA
35-49,Age at birth,Timing of ANC visits,<4,23
35-49,Age at birth,Timing of ANC visits,4-6,60.4
35-49,Age at birth,Timing of ANC visits,7+,12.5
1,Birth order,Number of ANC visits,None,1.2
1,Birth order,Number of ANC visits,1,2.4
1,Birth order,Number of ANC visits,4-7,65.8
1,Birth order,Number of ANC visits,8+,4.8
1,Birth order,Number of ANC visits,<4,NA
1,Birth order,Number of ANC visits,4-6,NA
1,Birth order,Number of ANC visits,7+,NA
2-3,Birth order,Number of ANC visits,None,0.9
2-3,Birth order,Number of ANC visits,1,1.9
2-3,Birth order,Number of ANC visits,4-7,64.7
2-3,Birth order,Number of ANC visits,8+,4.4
2-3,Birth order,Number of ANC visits,<4,NA
2-3,Birth order,Number of ANC visits,4-6,NA
2-3,Birth order,Number of ANC visits,7+,NA
4-5,Birth order,Number of ANC visits,None,3.2
4-5,Birth order,Number of ANC visits,1,2.7
4-5,Birth order,Number of ANC visits,4-7,57.3
4-5,Birth order,Number of ANC visits,8+,3
4-5,Birth order,Number of ANC visits,<4,NA
4-5,Birth order,Number of ANC visits,4-6,NA
4-5,Birth order,Number of ANC visits,7+,NA
6+,Birth order,Number of ANC visits,None,6.4
6+,Birth order,Number of ANC visits,1,7
6+,Birth order,Number of ANC visits,4-7,47.8
6+,Birth order,Number of ANC visits,8+,2.1
6+,Birth order,Number of ANC visits,<4,NA
6+,Birth order,Number of ANC visits,4-6,NA
6+,Birth order,Number of ANC visits,7+,NA
1,Birth order,Timing of ANC visits,None,NA
1,Birth order,Timing of ANC visits,1,NA
1,Birth order,Timing of ANC visits,4-7,NA
1,Birth order,Timing of ANC visits,8+,NA
1,Birth order,Timing of ANC visits,<4,32.8
1,Birth order,Timing of ANC visits,4-6,57.5
1,Birth order,Timing of ANC visits,7+,8.4
2-3,Birth order,Timing of ANC visits,None,NA
2-3,Birth order,Timing of ANC visits,1,NA
2-3,Birth order,Timing of ANC visits,4-7,NA
2-3,Birth order,Timing of ANC visits,8+,NA
2-3,Birth order,Timing of ANC visits,<4,30.5
2-3,Birth order,Timing of ANC visits,4-6,60.8
2-3,Birth order,Timing of ANC visits,7+,7.8
4-5,Birth order,Timing of ANC visits,None,NA
4-5,Birth order,Timing of ANC visits,1,NA
4-5,Birth order,Timing of ANC visits,4-7,NA
4-5,Birth order,Timing of ANC visits,8+,NA
4-5,Birth order,Timing of ANC visits,<4,23.5
4-5,Birth order,Timing of ANC visits,4-6,62.1
4-5,Birth order,Timing of ANC visits,7+,11.1
6+,Birth order,Timing of ANC visits,None,NA
6+,Birth order,Timing of ANC visits,1,NA
6+,Birth order,Timing of ANC visits,4-7,NA
6+,Birth order,Timing of ANC visits,8+,NA
6+,Birth order,Timing of ANC visits,<4,17.5
6+,Birth order,Timing of ANC visits,4-6,61
6+,Birth order,Timing of ANC visits,7+,15
Urban,Residence,Number of ANC visits,None,1.1
Urban,Residence,Number of ANC visits,1,1.6
Urban,Residence,Number of ANC visits,4-7,68.5
Urban,Residence,Number of ANC visits,8+,5.5
Urban,Residence,Number of ANC visits,<4,NA
Urban,Residence,Number of ANC visits,4-6,NA
Urban,Residence,Number of ANC visits,7+,NA
Rural,Residence,Number of ANC visits,None,2.4
Rural,Residence,Number of ANC visits,1,3.3
Rural,Residence,Number of ANC visits,4-7,58.3
Rural,Residence,Number of ANC visits,8+,3.2
Rural,Residence,Number of ANC visits,<4,NA
Rural,Residence,Number of ANC visits,4-6,NA
Rural,Residence,Number of ANC visits,7+,NA
Urban,Residence,Timing of ANC visits,None,NA
Urban,Residence,Timing of ANC visits,1,NA
Urban,Residence,Timing of ANC visits,4-7,NA
Urban,Residence,Timing of ANC visits,8+,NA
Urban,Residence,Timing of ANC visits,<4,32.8
Urban,Residence,Timing of ANC visits,4-6,59.7
Urban,Residence,Timing of ANC visits,7+,6.4
Rural,Residence,Timing of ANC visits,None,NA
Rural,Residence,Timing of ANC visits,1,NA
Rural,Residence,Timing of ANC visits,4-7,NA
Rural,Residence,Timing of ANC visits,8+,NA
Rural,Residence,Timing of ANC visits,<4,26.3
Rural,Residence,Timing of ANC visits,4-6,60.3
Rural,Residence,Timing of ANC visits,7+,10.9
No education,Education,Number of ANC visits,None,9
No education,Education,Number of ANC visits,1,5.5
No education,Education,Number of ANC visits,4-7,47.5
No education,Education,Number of ANC visits,8+,1.6
No education,Education,Number of ANC visits,<4,NA
No education,Education,Number of ANC visits,4-6,NA
No education,Education,Number of ANC visits,7+,NA
Primary,Education,Number of ANC visits,None,2.1
Primary,Education,Number of ANC visits,1,3.6
Primary,Education,Number of ANC visits,4-7,56.2
Primary,Education,Number of ANC visits,8+,3.5
Primary,Education,Number of ANC visits,<4,NA
Primary,Education,Number of ANC visits,4-6,NA
Primary,Education,Number of ANC visits,7+,NA
Secondary,Education,Number of ANC visits,None,0.8
Secondary,Education,Number of ANC visits,1,2.1
Secondary,Education,Number of ANC visits,4-7,64.4
Secondary,Education,Number of ANC visits,8+,3.6
Secondary,Education,Number of ANC visits,<4,NA
Secondary,Education,Number of ANC visits,4-6,NA
Secondary,Education,Number of ANC visits,7+,NA
More than secondary,Education,Number of ANC visits,None,0.4
More than secondary,Education,Number of ANC visits,1,0.7
More than secondary,Education,Number of ANC visits,4-7,75.9
More than secondary,Education,Number of ANC visits,8+,7.3
More than secondary,Education,Number of ANC visits,<4,NA
More than secondary,Education,Number of ANC visits,4-6,NA
More than secondary,Education,Number of ANC visits,7+,NA
No education,Education,Timing of ANC visits,None,NA
No education,Education,Timing of ANC visits,1,NA
No education,Education,Timing of ANC visits,4-7,NA
No education,Education,Timing of ANC visits,8+,NA
No education,Education,Timing of ANC visits,<4,18.4
No education,Education,Timing of ANC visits,4-6,62.7
No education,Education,Timing of ANC visits,7+,9.6
Primary,Education,Timing of ANC visits,None,NA
Primary,Education,Timing of ANC visits,1,NA
Primary,Education,Timing of ANC visits,4-7,NA
Primary,Education,Timing of ANC visits,8+,NA
Primary,Education,Timing of ANC visits,<4,24
Primary,Education,Timing of ANC visits,4-6,61.5
Primary,Education,Timing of ANC visits,7+,12.4
Secondary,Education,Timing of ANC visits,None,NA
Secondary,Education,Timing of ANC visits,1,NA
