"","Characteristic","Blood_preassure_measured","Urine_sample_taken","Blood_sample_taken","Baby_heartbeat_listened","Counseled_about_diet","Counseled_about_breastfeeding","Asked_about_vaginal_bleeding","Variable"
"1","<20","94.7","93.0","93.6","93.9","77.0","73.3","65.2","Age_at_birth"
"2","20-34","96.6","94.6","96.1","96.4","83.3","81.3","76.1","Age_at_birth"
"3","35-49","94.3","92.4","93.3","93.7","81.0","77.2","75.9","Age_at_birth"
"4","1","96.8","94.9","96.0","96.2","83.1","80.2","72.5","Birth_order"
"5","2-3","97.3","95.9","97.2","97.2","84.7","83.2","78.3","Birth_order"
"6","4-5","95.0","92.6","94.4","94.6","79.8","77.6","74.7","Birth_order"
"7","6+","90.7","86.5","88.5","89.9","73.5","67.5","66.1","Birth_order"
"8","Urban","98.1","97.3","97.6","97.2","88.0","87.2","81.0","Residence"
"9","Rural","94.9","92.3","94.3","94.9","78.9","75.5","71.1","Residence"
"10","No education","87.2","80.3","84.5","83.6","68.4","63.0","59.4","Education"
"11","Primary","96.1","93.8","95.6","96.4","79.6","77.7","72.0","Education"
"12","Secondary","97.1","96.1","96.6","96.7","83.9","82.4","77.7","Education"
"13","More than secondary","98.6","97.8","98.6","98.6","90.8","86.9","81.7","Education"
"14","Lowest","91.6","87.1","91.0","91.2","72.8","68.7","63.4","Wealth"
"15","Second","96.1","93.8","94.9","95.3","78.1","76.3","73.0","Wealth"
"16","Middle","96.4","95.3","96.3","96.6","84.0","81.3","76.2","Wealth"
"17","Fourth","97.6","95.9","97.0","97.1","87.3","84.6","77.1","Wealth"
"18","Highest","99.0","99.0","98.5","98.9","89.4","88.5","84.7","Wealth"
