"","County","category","proportion","proportion_category"
"1","Mombasa","Total percentage delivered by skilled provider",95.5,">80"
"2","Kwale","Total percentage delivered by skilled provider",89.3,">80"
"3","Kilifi","Total percentage delivered by skilled provider",84.5,">80"
"4","Tana River","Total percentage delivered by skilled provider",59.2,"<80"
"5","Lamu","Total percentage delivered by skilled provider",92.5,">80"
"6","Taita Taveta","Total percentage delivered by skilled provider",95.7,">80"
"7","Garissa","Total percentage delivered by skilled provider",68.1,"<80"
"8","Wajir","Total percentage delivered by skilled provider",56.6,"<80"
"9","Mandera","Total percentage delivered by skilled provider",54.7,"<80"
"10","Marsabit","Total percentage delivered by skilled provider",68.7,"<80"
"11","Isiolo","Total percentage delivered by skilled provider",85,">80"
"12","Meru","Total percentage delivered by skilled provider",90.9,">80"
"13","Tharaka Nithi","Total percentage delivered by skilled provider",95.1,">80"
"14","Embu","Total percentage delivered by skilled provider",96.3,">80"
"15","Kitui","Total percentage delivered by skilled provider",86,">80"
"16","Machakos","Total percentage delivered by skilled provider",95.3,">80"
"17","Makueni","Total percentage delivered by skilled provider",92.1,">80"
"18","Nyandarua","Total percentage delivered by skilled provider",98,">80"
"19","Nyeri","Total percentage delivered by skilled provider",99.1,">80"
"20","Kirinyaga","Total percentage delivered by skilled provider",97.3,">80"
"21","Muranga","Total percentage delivered by skilled provider",96.2,">80"
"22","Kiambu","Total percentage delivered by skilled provider",98.2,">80"
"23","Turkana","Total percentage delivered by skilled provider",52.6,"<80"
"24","West Pokot","Total percentage delivered by skilled provider",65.3,"<80"
"25","Samburu","Total percentage delivered by skilled provider",56.6,"<80"
"26","Trans Nzoia","Total percentage delivered by skilled provider",93.3,">80"
"27","Uasin Gishu","Total percentage delivered by skilled provider",95.3,">80"
"28","Elgeyo Marakwet","Total percentage delivered by skilled provider",97.5,">80"
"29","Nandi","Total percentage delivered by skilled provider",87.1,">80"
"30","Baringo","Total percentage delivered by skilled provider",83,">80"
"31","Laikipia","Total percentage delivered by skilled provider",92.6,">80"
"32","Nakuru","Total percentage delivered by skilled provider",93.4,">80"
"33","Narok","Total percentage delivered by skilled provider",70.1,"<80"
"34","Kajiado","Total percentage delivered by skilled provider",85.3,">80"
"35","Kericho","Total percentage delivered by skilled provider",92.3,">80"
"36","Bomet","Total percentage delivered by skilled provider",88.2,">80"
"37","Kakamega","Total percentage delivered by skilled provider",95.7,">80"
"38","Vihiga","Total percentage delivered by skilled provider",97.2,">80"
"39","Bungoma","Total percentage delivered by skilled provider",87.2,">80"
"40","Busia","Total percentage delivered by skilled provider",87.6,">80"
"41","Siaya","Total percentage delivered by skilled provider",94.9,">80"
"42","Kisumu","Total percentage delivered by skilled provider",97.9,">80"
"43","Homa Bay","Total percentage delivered by skilled provider",91.2,">80"
"44","Migori","Total percentage delivered by skilled provider",92.6,">80"
"45","Kisii","Total percentage delivered by skilled provider",93.5,">80"
"46","Nyamira","Total percentage delivered by skilled provider",92.6,">80"
"47","Nairobi","Total percentage delivered by skilled provider",99.4,">80"
