"","County","Category","Proportion"
"1","Mombasa","None",0.6
"2","Mombasa","1",0.6
"3","Mombasa","2-3",33.1
"4","Mombasa","4-7",61
"5","Mombasa","8+",4.3
"6","Kwale","None",0.7
"7","Kwale","1",0
"8","Kwale","2-3",27.4
"9","Kwale","4-7",68.4
"10","Kwale","8+",3.5
"11","Kilifi","None",0.7
"12","Kilifi","1",0
"13","Kilifi","2-3",22
"14","Kilifi","4-7",68.5
"15","Kilifi","8+",8.9
"16","Tana River","None",3.4
"17","Tana River","1",5.1
"18","Tana River","2-3",30.3
"19","Tana River","4-7",59.9
"20","Tana River","8+",1.3
"21","Lamu","None",2.1
"22","Lamu","1",0.4
"23","Lamu","2-3",27
"24","Lamu","4-7",67.1
"25","Lamu","8+",3.4
"26","Taita Taveta","None",0
"27","Taita Taveta","1",6.2
"28","Taita Taveta","2-3",29
"29","Taita Taveta","4-7",58.9
"30","Taita Taveta","8+",6
"31","Garissa","None",20.2
"32","Garissa","1",9
"33","Garissa","2-3",39.6
"34","Garissa","4-7",31
"35","Garissa","8+",0.2
"36","Wajir","None",16
"37","Wajir","1",5.4
"38","Wajir","2-3",33.7
"39","Wajir","4-7",44.6
"40","Wajir","8+",0.2
"41","Mandera","None",22.6
"42","Mandera","1",4.2
"43","Mandera","2-3",32.3
"44","Mandera","4-7",38.4
"45","Mandera","8+",2
"46","Marsabit","None",5
"47","Marsabit","1",3.5
"48","Marsabit","2-3",24.4
"49","Marsabit","4-7",64
"50","Marsabit","8+",3.1
"51","Isiolo","None",0.7
"52","Isiolo","1",4.6
"53","Isiolo","2-3",41.8
"54","Isiolo","4-7",48.6
"55","Isiolo","8+",4.3
"56","Meru","None",0.8
"57","Meru","1",8.2
"58","Meru","2-3",46.1
"59","Meru","4-7",41.2
"60","Meru","8+",3.8
"61","Tharaka Nithi","None",2
"62","Tharaka Nithi","1",2.4
"63","Tharaka Nithi","2-3",31.3
"64","Tharaka Nithi","4-7",60.7
"65","Tharaka Nithi","8+",2.4
"66","Embu","None",0
"67","Embu","1",1.2
"68","Embu","2-3",36.7
"69","Embu","4-7",60.4
"70","Embu","8+",1.6
"71","Kitui","None",5.9
"72","Kitui","1",1.5
"73","Kitui","2-3",24.3
"74","Kitui","4-7",64.9
"75","Kitui","8+",3.3
"76","Machakos","None",2
"77","Machakos","1",6.6
"78","Machakos","2-3",14.5
"79","Machakos","4-7",68.6
"80","Machakos","8+",8.3
"81","Makueni","None",0.9
"82","Makueni","1",3.2
"83","Makueni","2-3",20.2
"84","Makueni","4-7",73
"85","Makueni","8+",2.7
"86","Nyandarua","None",1.7
"87","Nyandarua","1",0.3
"88","Nyandarua","2-3",37.3
"89","Nyandarua","4-7",55.2
"90","Nyandarua","8+",5.4
"91","Nyeri","None",2.7
"92","Nyeri","1",0
"93","Nyeri","2-3",15.1
"94","Nyeri","4-7",77.5
"95","Nyeri","8+",4.7
"96","Kirinyaga","None",0
"97","Kirinyaga","1",0
"98","Kirinyaga","2-3",31.3
"99","Kirinyaga","4-7",61.8
