Value,Category,Proportion,Background characteristics
<20,None,2.7,Age at birth
<20,1,4.4,Age at birth
<20,2-3,35.6,Age at birth
<20,4-7,55.0,Age at birth
<20,8+,2.2,Age at birth
20-34,None,1.5,Age at birth
20-34,1,2.3,Age at birth
20-34,2-3,27.5,Age at birth
20-34,4-7,64.2,Age at birth
20-34,8+,4.5,Age at birth
35-49,None,4.0,Age at birth
35-49,1,3.3,Age at birth
35-49,2-3,32.8,Age at birth
35-49,4-7,56.6,Age at birth
35-49,8+,3.4,Age at birth
1,None,1.2,Birth order
1,1,2.4,Birth order
1,2-3,25.7,Birth order
1,4-7,65.8,Birth order
1,8+,4.8,Birth order
2-3,None,0.9,Birth order
2-3,1,1.9,Birth order
2-3,2-3,28.1,Birth order
2-3,4-7,64.7,Birth order
2-3,8+,4.4,Birth order
4-5,None,3.2,Birth order
4-5,1,2.7,Birth order
4-5,2-3,33.7,Birth order
4-5,4-7,57.3,Birth order
4-5,8+,3.0,Birth order
6+,None,6.4,Birth order
6+,1,7.0,Birth order
6+,2-3,36.7,Birth order
6+,4-7,47.8,Birth order
6+,8+,2.1,Birth order
Urban,None,1.1,Residence
Urban,1,1.6,Residence
Urban,2-3,23.1,Residence
Urban,4-7,68.5,Residence
Urban,8+,5.5,Residence
Rural,None,2.4,Residence
Rural,1,3.3,Residence
Rural,2-3,32.7,Residence
Rural,4-7,58.3,Residence
Rural,8+,3.2,Residence
No education,None,9.0,Education
No education,1,5.5,Education
No education,2-3,36.3,Education
No education,4-7,47.5,Education
No education,8+,1.6,Education
Primary,None,2.1,Education
Primary,1,3.6,Education
Primary,2-3,34.7,Education
Primary,4-7,56.2,Education
Primary,8+,3.5,Education
Secondary,None,0.8,Education
Secondary,1,2.1,Education
Secondary,2-3,28.9,Education
Secondary,4-7,64.4,Education
Secondary,8+,3.6,Education
More than secondary,None,0.4,Education
More than secondary,1,0.7,Education
More than secondary,2-3,15.7,Education
More than secondary,4-7,75.9,Education
More than secondary,8+,7.3,Education
Lowest,None,4.5,Wealth quintile
Lowest,1,5.0,Wealth quintile
Lowest,2-3,36.6,Wealth quintile
Lowest,4-7,51.6,Wealth quintile
Lowest,8+,2.3,Wealth quintile
Second,None,2.0,Wealth quintile
Second,1,3.5,Wealth quintile
Second,2-3,35.0,Wealth quintile
Second,4-7,56.2,Wealth quintile
Second,8+,3.3,Wealth quintile
Middle,None,1.6,Wealth quintile
Middle,1,2.0,Wealth quintile
Middle,2-3,31.0,Wealth quintile
Middle,4-7,62.0,Wealth quintile
Middle,8+,3.2,Wealth quintile
Fourth,None,1.2,Wealth quintile
Fourth,1,2.1,Wealth quintile
Fourth,2-3,26.9,Wealth quintile
Fourth,4-7,66.3,Wealth quintile
Fourth,8+,3.4,Wealth quintile
Highest,None,0.3,Wealth quintile
Highest,1,0.6,Wealth quintile
Highest,2-3,17.1,Wealth quintile
Highest,4-7,74.1,Wealth quintile
Highest,8+,8.0,Wealth quintile
