Characteristics,Vaccines,Percent,group,indicator
Male,BCG,96.4,CountyFullyVaccinated12,Gender
Male,DPT1,96.9,CountyFullyVaccinated12,Gender
Male,DPT2,93.8,CountyFullyVaccinated12,Gender
Male,DPT3,88.8,CountyFullyVaccinated12,Gender
Male,OPV0,86,CountyFullyVaccinated12,Gender
Male,OPV1,95.9,CountyFullyVaccinated12,Gender
Male,OPV2,93.6,CountyFullyVaccinated12,Gender
Male,OPV3,77.5,CountyFullyVaccinated12,Gender
Male,IPV,88.2,CountyFullyVaccinated12,Gender
Male,Pneumococcal1,96.2,CountyFullyVaccinated12,Gender
Male,Pneumococcal2,95.2,CountyFullyVaccinated12,Gender
Male,Pneumococcal3,91.2,CountyFullyVaccinated12,Gender
Male,Rotavirus1,95.8,CountyFullyVaccinated12,Gender
Male,Rotavirus2,92.1,CountyFullyVaccinated12,Gender
Male,MR1,89.5,CountyFullyVaccinated12,Gender
Male,"Fully vaccinated
(basic antigens)",80.2,CountyFullyVaccinated12,Gender
Male,"Fully vaccinated
(national schedule)",56,CountyFullyVaccinated12,Gender
Male,No vaccinations,2.5,CountyFullyVaccinated12,Gender
Female,BCG,97.4,CountyFullyVaccinated12,Gender
Female,DPT1,97.3,CountyFullyVaccinated12,Gender
Female,DPT2,94.1,CountyFullyVaccinated12,Gender
Female,DPT3,89.5,CountyFullyVaccinated12,Gender
Female,OPV0,86.2,CountyFullyVaccinated12,Gender
Female,OPV1,97,CountyFullyVaccinated12,Gender
Female,OPV2,94.8,CountyFullyVaccinated12,Gender
Female,OPV3,78.9,CountyFullyVaccinated12,Gender
Female,IPV,86.5,CountyFullyVaccinated12,Gender
Female,Pneumococcal1,96.8,CountyFullyVaccinated12,Gender
Female,Pneumococcal2,95.6,CountyFullyVaccinated12,Gender
Female,Pneumococcal3,91.1,CountyFullyVaccinated12,Gender
Female,Rotavirus1,96.2,CountyFullyVaccinated12,Gender
Female,Rotavirus2,92.5,CountyFullyVaccinated12,Gender
Female,MR1,88.6,CountyFullyVaccinated12,Gender
Female,"Fully vaccinated
(basic antigens)",80,CountyFullyVaccinated12,Gender
Female,"Fully vaccinated
(national schedule)",54.4,CountyFullyVaccinated12,Gender
Female,No vaccinations,1.8,CountyFullyVaccinated12,Gender
1,BCG,97.1,CountyFullyVaccinated12,Birth
1,DPT1,98,CountyFullyVaccinated12,Birth
1,DPT2,95.8,CountyFullyVaccinated12,Birth
1,DPT3,92,CountyFullyVaccinated12,Birth
1,OPV0,89.9,CountyFullyVaccinated12,Birth
1,OPV1,96.5,CountyFullyVaccinated12,Birth
1,OPV2,94.7,CountyFullyVaccinated12,Birth
1,OPV3,79.8,CountyFullyVaccinated12,Birth
1,IPV,89.5,CountyFullyVaccinated12,Birth
1,Pneumococcal1,97.2,CountyFullyVaccinated12,Birth
1,Pneumococcal2,96.2,CountyFullyVaccinated12,Birth
1,Pneumococcal3,93.4,CountyFullyVaccinated12,Birth
1,Rotavirus1,96.6,CountyFullyVaccinated12,Birth
1,Rotavirus2,94.7,CountyFullyVaccinated12,Birth
1,MR1,94.1,CountyFullyVaccinated12,Birth
1,"Fully vaccinated
(basic antigens)",85.1,CountyFullyVaccinated12,Birth
1,"Fully vaccinated
(national schedule)",61.2,CountyFullyVaccinated12,Birth
1,No vaccinations,1.6,CountyFullyVaccinated12,Birth
2–3,BCG,97.6,CountyFullyVaccinated12,Birth
2–3,DPT1,97.4,CountyFullyVaccinated12,Birth
2–3,DPT2,94.3,CountyFullyVaccinated12,Birth
2–3,DPT3,89,CountyFullyVaccinated12,Birth
2–3,OPV0,88.9,CountyFullyVaccinated12,Birth
2–3,OPV1,97.2,CountyFullyVaccinated12,Birth
2–3,OPV2,94.6,CountyFullyVaccinated12,Birth
2–3,OPV3,79.1,CountyFullyVaccinated12,Birth
2–3,IPV,88.2,CountyFullyVaccinated12,Birth
2–3,Pneumococcal1,96.7,CountyFullyVaccinated12,Birth
2–3,Pneumococcal2,95.8,CountyFullyVaccinated12,Birth
2–3,Pneumococcal3,91.2,CountyFullyVaccinated12,Birth
2–3,Rotavirus1,96.7,CountyFullyVaccinated12,Birth
2–3,Rotavirus2,92.3,CountyFullyVaccinated12,Birth
2–3,MR1,91.2,CountyFullyVaccinated12,Birth
2–3,"Fully vaccinated
(basic antigens)",81.9,CountyFullyVaccinated12,Birth
2–3,"Fully vaccinated
(national schedule)",56.8,CountyFullyVaccinated12,Birth
2–3,No vaccinations,1.9,CountyFullyVaccinated12,Birth
4–5,BCG,97,CountyFullyVaccinated12,Birth
4–5,DPT1,96.9,CountyFullyVaccinated12,Birth
4–5,DPT2,92.8,CountyFullyVaccinated12,Birth
4–5,DPT3,88.9,CountyFullyVaccinated12,Birth
