"County","Category","Proportion","proportion_groups"
"Mombasa","Total thin",4.3,"≤ 9"
"Mombasa","Total normal",48.8,">43"
"Mombasa","Over-weight",23.6,">18-26"
"Mombasa","Obese",23.3,">18-26"
"Kwale","Total thin",10.2,">9-18"
"Kwale","Total normal",51.2,">43"
"Kwale","Over-weight",23.3,">18-26"
"Kwale","Obese",15.4,">9-18"
"Kilifi","Total thin",5.7,"≤ 9"
"Kilifi","Total normal",56,">43"
"Kilifi","Over-weight",28.3,">26-43"
"Kilifi","Obese",10,">9-18"
"Tana River","Total thin",24.8,">18-26"
"Tana River","Total normal",53.4,">43"
"Tana River","Over-weight",15.7,">9-18"
"Tana River","Obese",6.2,"≤ 9"
"Lamu","Total thin",12.4,">9-18"
"Lamu","Total normal",38.4,">26-43"
"Lamu","Over-weight",23.3,">18-26"
"Lamu","Obese",26,">18-26"
"Taita Taveta","Total thin",5,"≤ 9"
"Taita Taveta","Total normal",49.2,">43"
"Taita Taveta","Over-weight",27.5,">26-43"
"Taita Taveta","Obese",18.3,">18-26"
"Garissa","Total thin",14.8,">9-18"
"Garissa","Total normal",42.3,">26-43"
"Garissa","Over-weight",28.4,">26-43"
"Garissa","Obese",14.5,">9-18"
"Wajir","Total thin",22.6,">18-26"
"Wajir","Total normal",44.6,">43"
"Wajir","Over-weight",19.6,">18-26"
"Wajir","Obese",13.2,">9-18"
"Mandera","Total thin",18,">9-18"
"Mandera","Total normal",57.8,">43"
"Mandera","Over-weight",20.4,">18-26"
"Mandera","Obese",3.8,"≤ 9"
"Marsabit","Total thin",36.5,">26-43"
"Marsabit","Total normal",47.2,">43"
"Marsabit","Over-weight",12.3,">9-18"
"Marsabit","Obese",3.9,"≤ 9"
"Isiolo","Total thin",21.7,">18-26"
"Isiolo","Total normal",44.3,">43"
"Isiolo","Over-weight",22.5,">18-26"
"Isiolo","Obese",11.5,">9-18"
"Meru","Total thin",10.5,">9-18"
"Meru","Total normal",52.5,">43"
"Meru","Over-weight",22.3,">18-26"
"Meru","Obese",14.7,">9-18"
"Tharaka Nithi","Total thin",7.3,"≤ 9"
"Tharaka Nithi","Total normal",50.3,">43"
"Tharaka Nithi","Over-weight",28.3,">26-43"
"Tharaka Nithi","Obese",14,">9-18"
