"County","Category","Proportion","proportion_groups"
"Mombasa","<60 days",37.8,">35"
"Mombasa","60-89 days",8.7,"≤ 11"
"Mombasa","90-179 days",34.7,">23-35"
"Mombasa","180+ days",11.2,">11-16"
"Kwale","<60 days",13.4,">11-16"
"Kwale","60-89 days",10.6,"≤ 11"
"Kwale","90-179 days",54.1,">35"
"Kwale","180+ days",18.1,">16-23"
"Kilifi","<60 days",18.9,">16-23"
"Kilifi","60-89 days",9.5,"≤ 11"
"Kilifi","90-179 days",47.4,">35"
"Kilifi","180+ days",19.3,">16-23"
"Tana River","<60 days",21.9,">16-23"
"Tana River","60-89 days",15.1,">11-16"
"Tana River","90-179 days",26.9,">23-35"
"Tana River","180+ days",22.2,">16-23"
"Lamu","<60 days",18.5,">16-23"
"Lamu","60-89 days",13.7,">11-16"
"Lamu","90-179 days",40.9,">35"
"Lamu","180+ days",13.8,">11-16"
"Taita Taveta","<60 days",23.4,">23-35"
"Taita Taveta","60-89 days",3.2,"≤ 11"
"Taita Taveta","90-179 days",39.4,">35"
"Taita Taveta","180+ days",26.8,">23-35"
"Garissa","<60 days",21.2,">16-23"
"Garissa","60-89 days",17,">16-23"
"Garissa","90-179 days",9.7,"≤ 11"
"Garissa","180+ days",0,"≤ 11"
"Wajir","<60 days",54.2,">35"
"Wajir","60-89 days",5.2,"≤ 11"
"Wajir","90-179 days",11.6,">11-16"
"Wajir","180+ days",0.5,"≤ 11"
"Mandera","<60 days",41.5,">35"
"Mandera","60-89 days",5,"≤ 11"
"Mandera","90-179 days",4.3,"≤ 11"
"Mandera","180+ days",10,"≤ 11"
"Marsabit","<60 days",27.1,">23-35"
"Marsabit","60-89 days",17.1,">16-23"
"Marsabit","90-179 days",35.8,">35"
"Marsabit","180+ days",7.1,"≤ 11"
"Isiolo","<60 days",14.6,">11-16"
"Isiolo","60-89 days",8.2,"≤ 11"
"Isiolo","90-179 days",28.7,">23-35"
"Isiolo","180+ days",25,">23-35"
"Meru","<60 days",43,">35"
"Meru","60-89 days",12.4,">11-16"
"Meru","90-179 days",20.7,">16-23"
"Meru","180+ days",7.3,"≤ 11"
"Tharaka Nithi","<60 days",30.4,">23-35"
"Tharaka Nithi","60-89 days",3.7,"≤ 11"
"Tharaka Nithi","90-179 days",47.7,">35"
"Tharaka Nithi","180+ days",11.6,">11-16"
"Embu","<60 days",9.6,"≤ 11"
"Embu","60-89 days",11,"≤ 11"
"Embu","90-179 days",54.6,">35"
"Embu","180+ days",12.5,">11-16"
"Kitui","<60 days",10.1,"≤ 11"
"Kitui","60-89 days",12.3,">11-16"
"Kitui","90-179 days",41,">35"
"Kitui","180+ days",25.2,">23-35"
"Machakos","<60 days",21,">16-23"
"Machakos","60-89 days",9.1,"≤ 11"
"Machakos","90-179 days",39.1,">35"
"Machakos","180+ days",22.5,">16-23"
"Makueni","<60 days",12.1,">11-16"
"Makueni","60-89 days",8.4,"≤ 11"
"Makueni","90-179 days",55.4,">35"
"Makueni","180+ days",17.1,">16-23"
"Nyandarua","<60 days",23.4,">23-35"
"Nyandarua","60-89 days",14.6,">11-16"
"Nyandarua","90-179 days",43.5,">35"
