"Value","Category","Proportion","Background characteristics"
"Urban","Households with 1/+ ITN",40,"Residence"
"Urban","Households with 1/+ ITN per 2 persons",28,"Residence"
"Rural","Households with 1/+ ITN",64,"Residence"
"Rural","Households with 1/+ ITN per 2 persons",43,"Residence"
"Highland epidemic prone","Households with 1/+ ITN",81,"Endemicity zone"
"Highland epidemic prone","Households with 1/+ ITN per 2 persons",63,"Endemicity zone"
"Lake endemic","Households with 1/+ ITN",88,"Endemicity zone"
"Lake endemic","Households with 1/+ ITN per 2 persons",62,"Endemicity zone"
"Coast endemic","Households with 1/+ ITN",72,"Endemicity zone"
"Coast endemic","Households with 1/+ ITN per 2 persons",50,"Endemicity zone"
"Seasonal","Households with 1/+ ITN",39,"Endemicity zone"
"Seasonal","Households with 1/+ ITN per 2 persons",18,"Endemicity zone"
"Low risk","Households with 1/+ ITN",31,"Endemicity zone"
"Low risk","Households with 1/+ ITN per 2 persons",19,"Endemicity zone"
"Lowest","Households with 1/+ ITN",58,"Wealth quintile"
"Lowest","Households with 1/+ ITN per 2 persons",32,"Wealth quintile"
"Second","Households with 1/+ ITN",68,"Wealth quintile"
"Second","Households with 1/+ ITN per 2 persons",46,"Wealth quintile"
"Middle","Households with 1/+ ITN",62,"Wealth quintile"
"Middle","Households with 1/+ ITN per 2 persons",45,"Wealth quintile"
"Fourth","Households with 1/+ ITN",49,"Wealth quintile"
"Fourth","Households with 1/+ ITN per 2 persons",36,"Wealth quintile"
"Highest","Households with 1/+ ITN",40,"Wealth quintile"
"Highest","Households with 1/+ ITN per 2 persons",28,"Wealth quintile"
