"","County","Category","Proportion","Names","cat"
"1","Mombasa","Fixed handwashing place",30.1,"Mombasa, 30.1%","13.1-39.7"
"2","Mombasa","Mobile handwashing place",25.9,"Mombasa, 25.9%","13.1-39.7"
"3","Mombasa","Water available",97.7,"Mombasa, 97.7%",">63.7"
"4","Mombasa","Soap available",81.7,"Mombasa, 81.7%",">63.7"
"5","Mombasa","Other cleansing agent available",0.9,"Mombasa, 0.9%","<13.1"
"6","Mombasa","Pop. with basic handwashing facility",47.9,"Mombasa, 47.9%","39.8-63.7"
"7","Mombasa","Pop. with limited handwashing facility",11,"Mombasa, 11%","<13.1"
"8","Kwale","Fixed handwashing place",9.3,"Kwale, 9.3%","<13.1"
"9","Kwale","Mobile handwashing place",37.2,"Kwale, 37.2%","13.1-39.7"
"10","Kwale","Water available",76.3,"Kwale, 76.3%",">63.7"
"11","Kwale","Soap available",46.1,"Kwale, 46.1%","39.8-63.7"
"12","Kwale","Other cleansing agent available",1.3,"Kwale, 1.3%","<13.1"
"13","Kwale","Pop. with basic handwashing facility",22.7,"Kwale, 22.7%","13.1-39.7"
"14","Kwale","Pop. with limited handwashing facility",26.6,"Kwale, 26.6%","13.1-39.7"
"15","Kilifi","Fixed handwashing place",8.4,"Kilifi, 8.4%","<13.1"
"16","Kilifi","Mobile handwashing place",9.6,"Kilifi, 9.6%","<13.1"
"17","Kilifi","Water available",82.3,"Kilifi, 82.3%",">63.7"
"18","Kilifi","Soap available",55.6,"Kilifi, 55.6%","39.8-63.7"
"19","Kilifi","Other cleansing agent available",0.9,"Kilifi, 0.9%","<13.1"
"20","Kilifi","Pop. with basic handwashing facility",9.7,"Kilifi, 9.7%","<13.1"
"21","Kilifi","Pop. with limited handwashing facility",8.7,"Kilifi, 8.7%","<13.1"
"22","Tana River","Fixed handwashing place",3.7,"Tana River, 3.7%","<13.1"
"23","Tana River","Mobile handwashing place",44,"Tana River, 44%","39.8-63.7"
"24","Tana River","Water available",82.4,"Tana River, 82.4%",">63.7"
"25","Tana River","Soap available",11.7,"Tana River, 11.7%","<13.1"
"26","Tana River","Other cleansing agent available",9.7,"Tana River, 9.7%","<13.1"
"27","Tana River","Pop. with basic handwashing facility",7.3,"Tana River, 7.3%","<13.1"
"28","Tana River","Pop. with limited handwashing facility",55.4,"Tana River, 55.4%","39.8-63.7"
"29","Lamu","Fixed handwashing place",20.7,"Lamu, 20.7%","13.1-39.7"
"30","Lamu","Mobile handwashing place",21.1,"Lamu, 21.1%","13.1-39.7"
"31","Lamu","Water available",87.6,"Lamu, 87.6%",">63.7"
"32","Lamu","Soap available",45.4,"Lamu, 45.4%","39.8-63.7"
"33","Lamu","Other cleansing agent available",3.6,"Lamu, 3.6%","<13.1"
"34","Lamu","Pop. with basic handwashing facility",23.4,"Lamu, 23.4%","13.1-39.7"
"35","Lamu","Pop. with limited handwashing facility",31.8,"Lamu, 31.8%","13.1-39.7"
"36","Taita Taveta","Fixed handwashing place",31.5,"Taita Taveta, 31.5%","13.1-39.7"
"37","Taita Taveta","Mobile handwashing place",44.9,"Taita Taveta, 44.9%","39.8-63.7"
"38","Taita Taveta","Water available",91.7,"Taita Taveta, 91.7%",">63.7"
"39","Taita Taveta","Soap available",57,"Taita Taveta, 57%","39.8-63.7"
"40","Taita Taveta","Other cleansing agent available",0,"Taita Taveta, 0%","<13.1"
"41","Taita Taveta","Pop. with basic handwashing facility",43.5,"Taita Taveta, 43.5%","39.8-63.7"
"42","Taita Taveta","Pop. with limited handwashing facility",34,"Taita Taveta, 34%","13.1-39.7"
"43","Garissa","Fixed handwashing place",2.8,"Garissa, 2.8%","<13.1"
"44","Garissa","Mobile handwashing place",38.2,"Garissa, 38.2%","13.1-39.7"
"45","Garissa","Water available",94.1,"Garissa, 94.1%",">63.7"
"46","Garissa","Soap available",24.1,"Garissa, 24.1%","13.1-39.7"
"47","Garissa","Other cleansing agent available",1.6,"Garissa, 1.6%","<13.1"
"48","Garissa","Pop. with basic handwashing facility",10,"Garissa, 10%","<13.1"
"49","Garissa","Pop. with limited handwashing facility",31.5,"Garissa, 31.5%","13.1-39.7"
"50","Wajir","Fixed handwashing place",5,"Wajir, 5%","<13.1"
"51","Wajir","Mobile handwashing place",54.9,"Wajir, 54.9%","39.8-63.7"
"52","Wajir","Water available",56.3,"Wajir, 56.3%","39.8-63.7"
"53","Wajir","Soap available",10.8,"Wajir, 10.8%","<13.1"
"54","Wajir","Other cleansing agent available",3.4,"Wajir, 3.4%","<13.1"
"55","Wajir","Pop. with basic handwashing facility",7,"Wajir, 7%","<13.1"
"56","Wajir","Pop. with limited handwashing facility",59.1,"Wajir, 59.1%","39.8-63.7"
"57","Mandera","Fixed handwashing place",1.8,"Mandera, 1.8%","<13.1"
"58","Mandera","Mobile handwashing place",90.6,"Mandera, 90.6%",">63.7"
"59","Mandera","Water available",67.3,"Mandera, 67.3%",">63.7"
"60","Mandera","Soap available",41.5,"Mandera, 41.5%","39.8-63.7"
"61","Mandera","Other cleansing agent available",4.1,"Mandera, 4.1%","<13.1"
"62","Mandera","Pop. with basic handwashing facility",37.8,"Mandera, 37.8%","13.1-39.7"
"63","Mandera","Pop. with limited handwashing facility",54.8,"Mandera, 54.8%","39.8-63.7"
"64","Marsabit","Fixed handwashing place",5,"Marsabit, 5%","<13.1"
"65","Marsabit","Mobile handwashing place",45.5,"Marsabit, 45.5%","39.8-63.7"
"66","Marsabit","Water available",88.2,"Marsabit, 88.2%",">63.7"
"67","Marsabit","Soap available",63.9,"Marsabit, 63.9%",">63.7"
"68","Marsabit","Other cleansing agent available",4,"Marsabit, 4%","<13.1"
"69","Marsabit","Pop. with basic handwashing facility",34,"Marsabit, 34%","13.1-39.7"
"70","Marsabit","Pop. with limited handwashing facility",21.9,"Marsabit, 21.9%","13.1-39.7"
"71","Isiolo","Fixed handwashing place",19.7,"Isiolo, 19.7%","13.1-39.7"
"72","Isiolo","Mobile handwashing place",16.4,"Isiolo, 16.4%","13.1-39.7"
"73","Isiolo","Water available",88.5,"Isiolo, 88.5%",">63.7"
"74","Isiolo","Soap available",61,"Isiolo, 61%","39.8-63.7"
"75","Isiolo","Other cleansing agent available",2.5,"Isiolo, 2.5%","<13.1"
"76","Isiolo","Pop. with basic handwashing facility",26.2,"Isiolo, 26.2%","13.1-39.7"
"77","Isiolo","Pop. with limited handwashing facility",19.9,"Isiolo, 19.9%","13.1-39.7"
"78","Meru","Fixed handwashing place",22.1,"Meru, 22.1%","13.1-39.7"
"79","Meru","Mobile handwashing place",58.9,"Meru, 58.9%","39.8-63.7"
"80","Meru","Water available",85.8,"Meru, 85.8%",">63.7"
"81","Meru","Soap available",62.1,"Meru, 62.1%","39.8-63.7"
"82","Meru","Other cleansing agent available",0.3,"Meru, 0.3%","<13.1"
"83","Meru","Pop. with basic handwashing facility",49.9,"Meru, 49.9%","39.8-63.7"
"84","Meru","Pop. with limited handwashing facility",36.3,"Meru, 36.3%","13.1-39.7"
"85","Tharaka Nithi","Fixed handwashing place",34.1,"Tharaka Nithi, 34.1%","13.1-39.7"
"86","Tharaka Nithi","Mobile handwashing place",44.1,"Tharaka Nithi, 44.1%","39.8-63.7"
"87","Tharaka Nithi","Water available",90.6,"Tharaka Nithi, 90.6%",">63.7"
"88","Tharaka Nithi","Soap available",58.7,"Tharaka Nithi, 58.7%","39.8-63.7"
"89","Tharaka Nithi","Other cleansing agent available",0.2,"Tharaka Nithi, 0.2%","<13.1"
